datetime_utc_start,datetime_utc_end,datetime_nem_start,datetime_nem_end,REGION,rrp_aud_per_mwh,total_demand_mw,SETTLEMENTDATE,PERIODTYPE
2010-07-01 00:00:00+00:00,2010-07-01 00:30:00+00:00,2010-07-01 10:00:00+10:00,2010-07-01 10:30:00+10:00,NSW1,34.05,11369.63,2010-07-01 10:30:00,TRADE
2010-07-01 00:30:00+00:00,2010-07-01 01:00:00+00:00,2010-07-01 10:30:00+10:00,2010-07-01 11:00:00+10:00,NSW1,30.3,11156.53,2010-07-01 11:00:00,TRADE
2010-07-01 01:00:00+00:00,2010-07-01 01:30:00+00:00,2010-07-01 11:00:00+10:00,2010-07-01 11:30:00+10:00,NSW1,28.29,10934.76,2010-07-01 11:30:00,TRADE
2010-07-01 01:30:00+00:00,2010-07-01 02:00:00+00:00,2010-07-01 11:30:00+10:00,2010-07-01 12:00:00+10:00,NSW1,25.5,10702.92,2010-07-01 12:00:00,TRADE
2010-07-01 02:00:00+00:00,2010-07-01 02:30:00+00:00,2010-07-01 12:00:00+10:00,2010-07-01 12:30:00+10:00,NSW1,3.96,10366.46,2010-07-01 12:30:00,TRADE
2010-07-01 02:30:00+00:00,2010-07-01 03:00:00+00:00,2010-07-01 12:30:00+10:00,2010-07-01 13:00:00+10:00,NSW1,26.35,10237.27,2010-07-01 13:00:00,TRADE
2010-07-01 03:00:00+00:00,2010-07-01 03:30:00+00:00,2010-07-01 13:00:00+10:00,2010-07-01 13:30:00+10:00,NSW1,23.14,10243.33,2010-07-01 13:30:00,TRADE
2010-07-01 03:30:00+00:00,2010-07-01 04:00:00+00:00,2010-07-01 13:30:00+10:00,2010-07-01 14:00:00+10:00,NSW1,24.69,10090.36,2010-07-01 14:00:00,TRADE
2010-07-01 04:00:00+00:00,2010-07-01 04:30:00+00:00,2010-07-01 14:00:00+10:00,2010-07-01 14:30:00+10:00,NSW1,25.49,10039.39,2010-07-01 14:30:00,TRADE
2010-07-01 04:30:00+00:00,2010-07-01 05:00:00+00:00,2010-07-01 14:30:00+10:00,2010-07-01 15:00:00+10:00,NSW1,25.51,10005.23,2010-07-01 15:00:00,TRADE
2010-07-01 05:00:00+00:00,2010-07-01 05:30:00+00:00,2010-07-01 15:00:00+10:00,2010-07-01 15:30:00+10:00,NSW1,25.53,10053.51,2010-07-01 15:30:00,TRADE
