count,mean,std,min,max,range,client,date
28,14.490178571428572,7.293488445707716,6.041,28.658,22.617,1,2010-07-01
48,13.886895833333334,8.262164044065338,3.56,30.98,27.42,1,2010-07-02
48,12.378187500000001,5.876717985682543,4.825,24.349,19.524,1,2010-07-03
48,12.2938125,6.501668848469566,3.562,26.981,23.419,1,2010-07-04
48,11.592020833333335,6.2331519723327,4.222,30.525,26.302999999999997,1,2010-07-05
48,10.34025,5.86419191617969,4.136,25.828,21.692,1,2010-07-06
48,12.019479166666665,5.6551367836781745,5.143,28.709,23.566,1,2010-07-07
48,11.684624999999999,5.531960895174936,4.363,28.541,24.178,1,2010-07-08
48,10.820479166666667,4.895576440053591,5.106,24.175,19.069000000000003,1,2010-07-09
48,10.199145833333334,5.331917929607261,3.725,21.787,18.061999999999998,1,2010-07-10
48,10.9194375,4.620807044304219,3.985,21.007,17.022000000000002,1,2010-07-11
48,9.588958333333332,4.981845616125393,3.937,20.665,16.727999999999998,1,2010-07-12
48,9.507208333333333,4.709635564156011,3.726,24.443,20.717000000000002,1,2010-07-13
48,9.909208333333334,5.5171620786852245,3.413,23.953,20.54,1,2010-07-14
48,11.024791666666667,5.8709628807516,4.274,23.383,19.108999999999998,1,2010-07-15
48,11.963604166666668,6.676984083926182,3.663,29.592,25.929,1,2010-07-16
48,11.350479166666666,6.00157465858215,4.549,23.918,19.369,1,2010-07-17
48,11.9555,6.904899040967755,4.856,29.252,24.396,1,2010-07-18
48,12.184666666666667,6.384256154986442,4.666,27.67,23.004,1,2010-07-19
48,11.782729166666668,6.443387452362217,5.073,27.906,22.833,1,2010-07-20
48,12.911375,7.322729707357857,4.616,29.049,24.433,1,2010-07-21
48,12.274520833333334,6.9218340485236585,4.6370000000000005,31.325,26.688,1,2010-07-22
48,11.750479166666667,6.1025288374839075,4.885,28.378,23.493000000000002,1,2010-07-23
48,11.231499999999999,6.3499120617130895,4.451,28.172,23.721,1,2010-07-24
48,11.255562499999998,5.926072144333076,4.554,25.921,21.366999999999997,1,2010-07-25
48,10.993645833333334,5.830719869025273,4.7330000000000005,24.716,19.983,1,2010-07-26
48,11.599208333333332,5.780950565870241,5.318,26.617,21.299,1,2010-07-27
48,12.255520833333334,6.734387021307005,4.143,28.686,24.543,1,2010-07-28
48,10.988854166666668,6.408708981383643,4.203,30.607,26.404,1,2010-07-29
48,8.867291666666667,3.6534525143790626,3.974,17.033,13.059000000000001,1,2010-07-30
48,9.620791666666667,3.7691699066851565,4.248,17.525,13.276999999999997,1,2010-07-31
48,10.362666666666668,5.349967350599653,4.996,24.322,19.326,1,2010-08-01
48,13.201145833333333,5.966707559947923,4.797,26.511,21.714,1,2010-08-02
48,12.652791666666666,5.8022259960178415,4.803,23.136,18.333,1,2010-08-03
48,10.441333333333333,5.336381156174251,4.8100000000000005,22.663,17.853,1,2010-08-04
48,11.244979166666667,6.172796336878288,4.408,25.539,21.131,1,2010-08-05
48,12.067895833333333,7.367228319834942,4.685,28.535,23.85,1,2010-08-06
48,11.914187499999999,6.325619665739088,4.881,29.189,24.308,1,2010-08-07
48,11.415645833333334,5.696949469222619,5.235,25.361,20.126,1,2010-08-08
48,10.415000000000001,5.907100422733247,3.785,23.489,19.704,1,2010-08-09
48,12.15525,4.822619150221702,4.815,24.744,19.929,1,2010-08-10
48,10.0544375,5.197570888881344,4.685,24.028,19.343,1,2010-08-11
48,10.442854166666667,5.208990852524545,4.629,25.593,20.964,1,2010-08-12
48,9.699416666666666,5.134536929682121,4.959,22.533,17.574,1,2010-08-13
48,9.680541666666667,3.404877233756064,5.498,16.751,11.253,1,2010-08-14
48,10.414,4.947701925179562,5.004,22.982,17.978,1,2010-08-15
48,9.167625,5.0833430389978265,4.455,20.746,16.290999999999997,1,2010-08-16
48,11.059458333333334,7.381984138970646,4.228,28.337,24.109,1,2010-08-17
48,9.660083333333334,4.7836268037089935,4.891,20.788,15.897,1,2010-08-18
48,7.591875000000001,2.862829641894648,4.352,16.322,11.969999999999999,1,2010-08-19
48,8.641145833333333,4.446487430280428,3.775,19.284,15.508999999999999,1,2010-08-20
48,9.921625,5.112699006687048,4.192,22.904,18.712,1,2010-08-21
48,11.4014375,6.481598981556385,3.446,27.272,23.825999999999997,1,2010-08-22
48,12.952666666666666,6.430277146779691,5.0920000000000005,33.591,28.499000000000002,1,2010-08-23
48,9.416125,4.6494557339908535,4.238,20.659,16.421,1,2010-08-24
48,9.505354166666667,5.164841562067404,4.221,21.053,16.832,1,2010-08-25
48,9.981291666666666,6.12191497629217,3.757,23.432,19.674999999999997,1,2010-08-26
48,10.595291666666666,5.500578008151403,4.738,24.193,19.455000000000002,1,2010-08-27
48,10.1448125,5.520635904846739,4.656,24.231,19.575000000000003,1,2010-08-28
48,9.790333333333333,5.284047901651758,3.648,24.399,20.751,1,2010-08-29
48,8.7268125,4.14119794907916,3.939,17.049,13.11,1,2010-08-30
48,8.4259375,3.4821542696602004,4.51,18.279,13.769,1,2010-08-31
48,7.530166666666666,2.5728563010979233,4.729,13.793,9.064,1,2010-09-01
48,7.992854166666667,3.400968723007592,3.975,16.012,12.037,1,2010-09-02
48,9.417625,4.328175487185373,4.299,19.237,14.937999999999999,1,2010-09-03
48,8.852395833333334,2.5982149251801863,4.832,14.755,9.923000000000002,1,2010-09-04
48,7.504270833333333,2.7489317595578244,4.634,15.101,10.467,1,2010-09-05
48,7.801520833333334,3.65401402127056,2.884,16.927,14.043,1,2010-09-06
48,9.096375,4.349194626472373,4.609999999999999,19.605,14.995000000000001,1,2010-09-07
48,9.198291666666668,4.329948056090247,4.567,18.187,13.620000000000001,1,2010-09-08
48,9.517354166666665,4.296083533052051,4.228,18.531,14.302999999999999,1,2010-09-09
48,7.479291666666666,2.704567924419984,4.446,15.183,10.737,1,2010-09-10
48,8.018375,3.3035892835301603,4.492,17.644,13.151999999999997,1,2010-09-11
48,8.299729166666667,3.8993240916724488,4.365,20.471,16.106,1,2010-09-12
48,7.608125,2.7158413658511216,4.9110000000000005,14.641,9.73,1,2010-09-13
48,8.2926875,3.7376382698752666,4.068,20.117,16.049,1,2010-09-14
48,7.163645833333334,2.474887613950258,4.143,13.439,9.296,1,2010-09-15
48,6.917437499999999,3.2375205176791724,3.105,14.779,11.674,1,2010-09-16
