task,metric,gcml_all_clients_mean,fedavg_baseline_mean_common_clients,gcml_relative_improvement_percent,winner,num_common_clients
gg,loss,0.0013974201611037752,0.0013421625413742376,-4.117058703855603,FedAvg baseline,8
gg,MAE,0.32378862239420414,0.300210140645504,-7.85399243943003,FedAvg baseline,8
gg,RMSE,0.7140498323620261,0.6991646106486095,-2.1290010230363006,FedAvg baseline,8
gg,MAPE_percent,181245353.125,71742301.5625,-152.63387036322473,FedAvg baseline,8
gg,R2,0.9722931310534477,0.9733621254563332,-0.10982494335130097,FedAvg baseline,8
net_load,loss,,,,FedAvg baseline,8
net_load,MAE,1.0577172751236565,1.0674914494156837,0.9156208508627705,GCML all-client,8
net_load,RMSE,1.4458607779390997,1.4537851642858501,0.5450864777976425,GCML all-client,8
net_load,MAPE_percent,147780.60334348283,597144.0319277346,75.25210075927427,GCML all-client,8
net_load,R2,0.9440110559756334,0.943436287343502,0.06092288794082384,GCML all-client,8
