global_round,pair_index,client_a_id,client_b_id,a_selected_model,b_selected_model,a_selected_val_loss,b_selected_val_loss,a_best_alpha,b_best_alpha,idle_client_ids
1,1,1,8,same_origin_merge,teacher_guided,0.0007254762606619516,0.0009775230520469393,0.6,1.0,
1,2,2,7,same_origin_merge,same_origin_merge,0.0013194175494529701,0.0008358881338710379,0.3,0.5,
1,3,3,6,teacher_guided,local_continue,0.0009355022692238808,0.0012080597834349912,1.0,0.0,
1,4,4,5,same_origin_merge,same_origin_merge,0.0007996948107075667,0.0008763948427326477,0.5,0.95,
2,1,1,7,same_origin_merge,same_origin_merge,0.000670601032770644,0.0007699789312090692,0.6,0.95,
2,2,8,6,same_origin_merge,local_continue,0.0008745305712539985,0.0011626325305839035,0.7,0.0,
2,3,2,5,same_origin_merge,teacher_guided,0.0010861404180549789,0.0008244417045746914,0.65,1.0,
2,4,3,4,receiver_loc,same_origin_merge,0.0009355022692238808,0.0007515750228851995,1.0,0.9,
3,1,1,6,receiver_loc,same_origin_merge,0.000670601032770644,0.0010141542120517657,0.35,0.8,
3,2,7,5,same_origin_merge,same_origin_merge,0.0007318226098953517,0.0007944342586356804,0.55,0.9,
3,3,8,4,same_origin_merge,receiver_loc,0.0008600003277844329,0.0007515750228851995,0.65,0.25,
3,4,2,3,teacher_guided,same_origin_merge,0.001004960253099103,0.0008596828295238033,1.0,0.6,
4,1,1,5,same_origin_merge,same_origin_merge,0.0006226988584271429,0.0007051592436266126,0.45,0.3,
4,2,6,4,receiver_loc,same_origin_merge,0.0010141542120517657,0.0007349553031447794,0.2,0.15,
4,3,7,3,receiver_loc,receiver_loc,0.0007318226098953517,0.0008596828295238033,0.0,0.25,
4,4,8,2,same_origin_merge,same_origin_merge,0.000816842856917881,0.0008941295684309546,0.65,0.6,
5,1,1,4,receiver_loc,receiver_loc,0.0006226988584271429,0.0007349553031447794,0.1,1.0,
5,2,5,3,same_origin_merge,same_origin_merge,0.0006985699833577884,0.0008363210946283777,0.45,0.15,
5,3,6,2,same_origin_merge,same_origin_merge,0.0009464464011233757,0.0008827615310252106,0.25,0.05,
5,4,7,8,same_origin_merge,same_origin_merge,0.00070602934446475,0.0007810747954567114,0.7,0.3,
6,1,1,3,receiver_loc,local_continue,0.0006226988584271429,0.0007847189250073482,0.95,0.0,
6,2,4,2,same_origin_merge,local_continue,0.000703730639879885,0.0008542165036413856,0.85,0.0,
6,3,5,8,same_origin_merge,receiver_loc,0.0006629744172502845,0.0007810747954567114,0.75,0.65,
6,4,6,7,receiver_loc,receiver_loc,0.0009464464011233757,0.00070602934446475,1.0,1.0,
7,1,1,2,same_origin_merge,same_origin_merge,0.0006165807126243632,0.0008008447482321762,0.75,0.4,
7,2,3,8,receiver_loc,receiver_loc,0.0007847189250073482,0.0007810747954567114,1.0,0.6,
7,3,4,7,same_origin_merge,same_origin_merge,0.0007025037448015225,0.0006935334415644167,0.5,0.6,
7,4,5,6,same_origin_merge,receiver_loc,0.0006404813510566668,0.0009464464011233757,0.35,0.35,
8,1,1,8,same_origin_merge,receiver_loc,0.0006115187561274668,0.0007810747954567114,0.8,0.95,
8,2,2,7,same_origin_merge,same_origin_merge,0.0007837042612768656,0.0006767016722312413,0.25,0.5,
8,3,3,6,same_origin_merge,receiver_loc,0.0007729571676879908,0.0009464464011233757,0.45,0.25,
8,4,4,5,same_origin_merge,receiver_loc,0.0006934958333277339,0.0006404813510566668,0.4,0.3,
9,1,1,7,same_origin_merge,local_continue,0.0006018806623561335,0.0006584374507101165,0.05,0.0,
9,2,8,6,receiver_loc,receiver_loc,0.0007810747954567114,0.0009464464011233757,0.55,0.4,
9,3,2,5,teacher_guided,teacher_guided,0.0007580755976111131,0.0006232935951857711,1.0,1.0,
9,4,3,4,receiver_loc,receiver_loc,0.0007729571676879908,0.0006934958333277339,0.6,1.0,
10,1,1,6,same_origin_merge,same_origin_merge,0.0005859384690709855,0.000927715575107327,0.6,0.75,
10,2,7,5,teacher_guided,receiver_loc,0.0006419025980855829,0.0006232935951857711,1.0,0.05,
10,3,8,4,receiver_loc,same_origin_merge,0.0007810747954567114,0.000691394067767595,0.4,0.45,
10,4,2,3,receiver_loc,receiver_loc,0.0007580755976111131,0.0007729571676879908,0.15,0.0,
11,1,1,5,same_origin_merge,receiver_loc,0.0005616239247695909,0.0006232935951857711,0.55,0.45,
11,2,6,4,receiver_loc,same_origin_merge,0.000927715575107327,0.0006727036844142428,0.8,0.4,
11,3,7,3,receiver_loc,local_continue,0.0006419025980855829,0.0007589551889453054,1.0,0.0,
11,4,8,2,receiver_loc,same_origin_merge,0.0007810747954567114,0.0007433038468814377,0.45,0.3,
12,1,1,4,receiver_loc,receiver_loc,0.0005616239247695909,0.0006727036844142428,0.55,0.4,
12,2,5,3,receiver_loc,receiver_loc,0.0006232935951857711,0.0007589551889453054,0.7,0.55,
12,3,6,2,receiver_loc,same_origin_merge,0.000927715575107327,0.0007243742630327743,0.5,0.3,
12,4,7,8,teacher_guided,receiver_loc,0.0006405014052881295,0.0007810747954567114,1.0,0.5,
13,1,1,3,receiver_loc,teacher_guided,0.0005616239247695909,0.0007463479312933871,0.35,1.0,
13,2,4,2,receiver_loc,receiver_loc,0.0006727036844142428,0.0007243742630327743,0.15,0.0,
13,3,5,8,receiver_loc,same_origin_merge,0.0006232935951857711,0.0007789696955783416,1.0,0.85,
13,4,6,7,teacher_guided,receiver_loc,0.0009131370496285057,0.0006405014052881295,1.0,0.0,
14,1,1,2,receiver_loc,receiver_loc,0.0005616239247695909,0.0007243742630327743,0.7,1.0,
14,2,3,8,receiver_loc,same_origin_merge,0.0007463479312933871,0.0007712422737610374,0.75,0.65,
14,3,4,7,teacher_guided,receiver_loc,0.0006654351300192128,0.0006405014052881295,1.0,0.4,
14,4,5,6,receiver_loc,receiver_loc,0.0006232935951857711,0.0009131370496285057,0.7,0.4,
15,1,1,8,receiver_loc,receiver_loc,0.0005616239247695909,0.0007712422737610374,0.9,0.4,
15,2,2,7,receiver_loc,receiver_loc,0.0007243742630327743,0.0006405014052881295,0.8,0.25,
15,3,3,6,receiver_loc,same_origin_merge,0.0007463479312933871,0.0008933053080861481,0.3,0.2,
15,4,4,5,receiver_loc,receiver_loc,0.0006654351300192128,0.0006232935951857711,0.85,0.55,
16,1,1,7,receiver_loc,local_continue,0.0005616239247695909,0.0006207816185132298,0.25,0.0,
16,2,8,6,local_continue,same_origin_merge,0.0007656996990039761,0.0008756462480353502,0.0,0.2,
16,3,2,5,receiver_loc,receiver_loc,0.0007243742630327743,0.0006232935951857711,0.55,0.8,
16,4,3,4,receiver_loc,receiver_loc,0.0007463479312933871,0.0006654351300192128,1.0,0.85,
17,1,1,6,receiver_loc,same_origin_merge,0.0005616239247695909,0.0008680183385981194,0.1,0.2,
17,2,7,5,receiver_loc,same_origin_merge,0.0006207816185132298,0.0006081209160414146,0.25,0.5,
17,3,8,4,same_origin_merge,same_origin_merge,0.0007629000026789606,0.0006582266113586257,0.3,0.25,
17,4,2,3,receiver_loc,receiver_loc,0.0007243742630327743,0.0007463479312933871,0.35,0.0,
18,1,1,5,same_origin_merge,same_origin_merge,0.0005608774536689434,0.000599335399307089,0.35,0.55,
18,2,6,4,receiver_loc,receiver_loc,0.0008680183385981194,0.0006582266113586257,0.35,0.1,
18,3,7,3,local_continue,receiver_loc,0.0006086016853611271,0.0007463479312933871,0.0,0.4,
18,4,8,2,same_origin_merge,receiver_loc,0.0007605733427004537,0.0007243742630327743,0.3,0.55,
19,1,1,4,same_origin_merge,receiver_loc,0.0005482321475311503,0.0006582266113586257,0.3,0.65,
19,2,5,3,receiver_loc,receiver_loc,0.000599335399307089,0.0007463479312933871,0.1,0.1,
19,3,6,2,receiver_loc,receiver_loc,0.0008680183385981194,0.0007243742630327743,0.2,0.65,
19,4,7,8,same_origin_merge,same_origin_merge,0.0005956145464519521,0.000752540157207652,0.65,0.3,
20,1,1,3,receiver_loc,receiver_loc,0.0005482321475311503,0.0007463479312933871,0.4,0.85,
20,2,4,2,receiver_loc,receiver_loc,0.0006582266113586257,0.0007243742630327743,0.5,1.0,
20,3,5,8,receiver_loc,receiver_loc,0.000599335399307089,0.000752540157207652,0.85,0.3,
20,4,6,7,receiver_loc,receiver_loc,0.0008680183385981194,0.0005956145464519521,0.85,0.0,
