global_round,pair_index,client_a_id,client_b_id,a_selected_model,b_selected_model,a_selected_val_loss,b_selected_val_loss,a_best_alpha,b_best_alpha,idle_client_ids
1,1,1,8,same_origin_merge,local_continue,0.0019516377577372646,0.002824897572502381,0.35,0.0,
1,2,2,7,same_origin_merge,same_origin_merge,0.0020621467310204464,0.002550699583015177,0.2,0.95,
1,3,3,6,same_origin_merge,teacher_guided,0.002421364595994176,0.003022204191218243,0.9,1.0,
1,4,4,5,same_origin_merge,same_origin_merge,0.0030685101371781083,0.002680723406689006,0.2,0.5,
2,1,1,7,same_origin_merge,same_origin_merge,0.0018618383051075486,0.0024763352596181344,0.75,0.4,
2,2,8,6,same_origin_merge,teacher_guided,0.0023324026723862885,0.002902066516194895,0.95,1.0,
2,3,2,5,same_origin_merge,same_origin_merge,0.001994168025625909,0.0026498189876208124,0.55,0.5,
2,4,3,4,same_origin_merge,same_origin_merge,0.002342490805741925,0.0029466253903436554,0.7,0.05,
3,1,1,6,same_origin_merge,receiver_loc,0.001849765135540077,0.002902066516194895,0.3,0.85,
3,2,7,5,local_continue,receiver_loc,0.002476046273974168,0.0026498189876208124,0.0,0.0,
3,3,8,4,same_origin_merge,same_origin_merge,0.0023214439606573556,0.002933167676285704,0.35,0.2,
3,4,2,3,same_origin_merge,same_origin_merge,0.001930227216978875,0.002315016280856313,0.8,0.3,
4,1,1,5,same_origin_merge,receiver_loc,0.0018473278976270202,0.0026498189876208124,0.6,0.6,
4,2,6,4,same_origin_merge,local_continue,0.0027896859429087156,0.0029124948318537975,0.8,0.0,
4,3,7,3,same_origin_merge,same_origin_merge,0.002456516180772065,0.0022663694568115286,0.6,0.5,
4,4,8,2,local_continue,receiver_loc,0.0022580519321842314,0.001930227216978875,0.0,0.0,
5,1,1,4,receiver_loc,receiver_loc,0.0018473278976270202,0.0029124948318537975,0.85,1.0,
5,2,5,3,same_origin_merge,receiver_loc,0.0026451502268949128,0.0022663694568115286,0.65,0.0,
5,3,6,2,same_origin_merge,same_origin_merge,0.0027609239128634343,0.0019183091484092432,0.9,0.6,
5,4,7,8,same_origin_merge,same_origin_merge,0.0024458219255364517,0.0022210023017897574,0.55,0.1,
6,1,1,3,receiver_loc,same_origin_merge,0.0018473278976270202,0.002264269056344468,1.0,0.75,
6,2,4,2,receiver_loc,same_origin_merge,0.0029124948318537975,0.0018647931657763345,0.6,0.55,
6,3,5,8,receiver_loc,same_origin_merge,0.0026451502268949128,0.002196109540183422,0.0,0.6,
6,4,6,7,same_origin_merge,same_origin_merge,0.0027342952141660506,0.0024381188368224603,0.1,0.45,
7,1,1,2,same_origin_merge,receiver_loc,0.0018112856886331567,0.0018647931657763345,0.7,0.0,
7,2,3,8,receiver_loc,receiver_loc,0.002264269056344468,0.002196109540183422,0.75,0.8,
7,3,4,7,receiver_loc,same_origin_merge,0.0029124948318537975,0.002417621610622647,0.8,0.7,
7,4,5,6,same_origin_merge,same_origin_merge,0.0025802086181781372,0.0027194734985767333,0.65,0.85,
8,1,1,8,same_origin_merge,receiver_loc,0.0018072163147665595,0.002196109540183422,0.75,0.5,
8,2,2,7,receiver_loc,receiver_loc,0.0018647931657763345,0.002417621610622647,0.05,0.15,
8,3,3,6,receiver_loc,receiver_loc,0.002264269056344468,0.0027194734985767333,0.6,1.0,
8,4,4,5,receiver_loc,same_origin_merge,0.0029124948318537975,0.0025634739855906656,0.55,0.4,
9,1,1,7,receiver_loc,same_origin_merge,0.0018072163147665595,0.0024090137148169272,0.0,0.65,
9,2,8,6,receiver_loc,receiver_loc,0.002196109540183422,0.0027194734985767333,0.45,0.0,
9,3,2,5,same_origin_merge,receiver_loc,0.0018567906100963492,0.0025634739855906656,0.6,0.15,
9,4,3,4,receiver_loc,same_origin_merge,0.002264269056344468,0.002891949382600789,0.75,0.15,
10,1,1,6,receiver_loc,receiver_loc,0.0018072163147665595,0.0027194734985767333,0.4,0.3,
10,2,7,5,receiver_loc,receiver_loc,0.0024090137148169272,0.0025634739855906656,0.8,0.3,
10,3,8,4,receiver_loc,receiver_loc,0.002196109540183422,0.002891949382600789,0.3,0.25,
10,4,2,3,same_origin_merge,receiver_loc,0.0018545966297950159,0.002264269056344468,0.55,1.0,
11,1,1,5,teacher_guided,receiver_loc,0.00179592452555408,0.0025634739855906656,1.0,0.45,
11,2,6,4,same_origin_merge,receiver_loc,0.0027181887080543698,0.002891949382600789,0.65,1.0,
11,3,7,3,receiver_loc,receiver_loc,0.0024090137148169272,0.002264269056344468,0.0,0.55,
11,4,8,2,receiver_loc,receiver_loc,0.002196109540183422,0.0018545966297950159,0.65,0.9,
12,1,1,4,receiver_loc,receiver_loc,0.00179592452555408,0.002891949382600789,0.5,0.8,
12,2,5,3,same_origin_merge,receiver_loc,0.0025458852658175163,0.002264269056344468,0.05,1.0,
12,3,6,2,same_origin_merge,same_origin_merge,0.0026781421183422424,0.0018479147259852107,0.2,0.65,
12,4,7,8,receiver_loc,receiver_loc,0.0024090137148169272,0.002196109540183422,0.35,0.85,
13,1,1,3,receiver_loc,receiver_loc,0.00179592452555408,0.002264269056344468,0.95,1.0,
13,2,4,2,receiver_loc,same_origin_merge,0.002891949382600789,0.0018175670241092935,0.4,0.4,
13,3,5,8,receiver_loc,receiver_loc,0.0025458852658175163,0.002196109540183422,0.2,0.15,
13,4,6,7,receiver_loc,receiver_loc,0.0026781421183422424,0.0024090137148169272,0.75,0.35,
14,1,1,2,receiver_loc,receiver_loc,0.00179592452555408,0.0018175670241092935,0.5,0.5,
14,2,3,8,receiver_loc,receiver_loc,0.002264269056344468,0.002196109540183422,0.3,1.0,
14,3,4,7,receiver_loc,receiver_loc,0.002891949382600789,0.0024090137148169272,0.3,0.55,
14,4,5,6,same_origin_merge,receiver_loc,0.0025443520630716795,0.0026781421183422424,0.75,0.3,
15,1,1,8,receiver_loc,receiver_loc,0.00179592452555408,0.002196109540183422,0.4,0.2,
15,2,2,7,receiver_loc,receiver_loc,0.0018175670241092935,0.0024090137148169272,0.45,0.65,
15,3,3,6,receiver_loc,receiver_loc,0.002264269056344468,0.0026781421183422424,0.25,0.35,
15,4,4,5,receiver_loc,same_origin_merge,0.002891949382600789,0.0025392550842114818,0.7,0.55,
16,1,1,7,receiver_loc,same_origin_merge,0.00179592452555408,0.00240313714195475,0.95,0.55,
16,2,8,6,receiver_loc,receiver_loc,0.002196109540183422,0.0026781421183422424,0.6,1.0,
16,3,2,5,receiver_loc,same_origin_merge,0.0018175670241092935,0.0025259480489776428,0.55,0.35,
16,4,3,4,receiver_loc,receiver_loc,0.002264269056344468,0.002891949382600789,0.0,0.6,
17,1,1,6,receiver_loc,receiver_loc,0.00179592452555408,0.0026781421183422424,0.9,1.0,
17,2,7,5,receiver_loc,receiver_loc,0.00240313714195475,0.0025259480489776428,0.15,0.5,
17,3,8,4,same_origin_merge,receiver_loc,0.0021810209621171135,0.002891949382600789,0.3,0.1,
17,4,2,3,receiver_loc,same_origin_merge,0.0018175670241092935,0.0022551892609897566,1.0,0.45,
18,1,1,5,receiver_loc,receiver_loc,0.00179592452555408,0.0025259480489776428,0.7,0.0,
18,2,6,4,receiver_loc,same_origin_merge,0.0026781421183422424,0.0028880257226492423,0.0,0.25,
18,3,7,3,same_origin_merge,receiver_loc,0.0023863308608861335,0.0022551892609897566,0.45,0.4,
18,4,8,2,receiver_loc,receiver_loc,0.0021810209621171135,0.0018175670241092935,0.7,0.7,
19,1,1,4,receiver_loc,receiver_loc,0.00179592452555408,0.0028880257226492423,0.65,0.05,
19,2,5,3,receiver_loc,receiver_loc,0.0025259480489776428,0.0022551892609897566,0.35,1.0,
19,3,6,2,receiver_loc,receiver_loc,0.0026781421183422424,0.0018175670241092935,0.8,1.0,
19,4,7,8,receiver_loc,receiver_loc,0.0023863308608861335,0.0021810209621171135,0.0,0.35,
20,1,1,3,receiver_loc,receiver_loc,0.00179592452555408,0.0022551892609897566,0.3,0.9,
