round,global_round,pair_index,pair_id,direction,receiver_id,sender_id,selected_sender_id,selected_model,receiver_local_update_executed,receiver_local_train_loss,receiver_local_val_loss,sender_local_train_loss,sender_local_val_loss,val_loss_receiver_loc,val_loss_local_continue,val_loss_teacher_guided,val_loss_same_origin_merge,selected_val_loss,best_alpha,delta_local_continue_vs_loc,delta_teacher_guided_vs_loc,delta_teacher_guided_vs_local_continue,delta_same_origin_merge_vs_loc,delta_same_origin_merge_vs_local_continue,delta_same_origin_merge_vs_teacher_guided,rollback_to_local,accept_local_continue,accept_teacher_guided,accept_same_origin_merge,teacher_guided_teacher_better_ratio_avg,teacher_guided_teacher_worse_ratio_avg,teacher_guided_positive_active_ratio_avg,teacher_guided_repulsion_active_ratio_avg,teacher_guided_positive_loss_avg,teacher_guided_repulsion_loss_avg,teacher_guided_total_loss_avg,local_continue_pred_loss_avg,local_continue_total_loss_avg,local_continue_num_batches,teacher_guided_pred_loss_avg,teacher_guided_teacher_better_ratio_min,teacher_guided_teacher_better_ratio_max,teacher_guided_teacher_better_ratio_std,teacher_guided_teacher_worse_ratio_min,teacher_guided_teacher_worse_ratio_max,teacher_guided_teacher_worse_ratio_std,teacher_guided_positive_active_ratio_min,teacher_guided_positive_active_ratio_max,teacher_guided_positive_active_ratio_std,teacher_guided_repulsion_active_ratio_min,teacher_guided_repulsion_active_ratio_max,teacher_guided_repulsion_active_ratio_std,teacher_guided_positive_weight_mean_avg,teacher_guided_negative_weight_mean_avg,teacher_guided_num_batches,idle_client_ids
1,1,1,1-8,Client8 -> Client1,1,8,8,same_origin_merge,,,,,,0.0021944915897864725,0.0021860661991587546,0.0031195567281692618,0.0019516377577372646,0.0019516377577372646,0.35,-8.425390627717945e-06,0.0009250651383827893,0.0009334905290105072,-0.00024285383204920787,-0.00023442844142148992,-0.0011679189704319971,False,False,False,True,0.376812607049942,0.6231874227523804,0.3735356330871582,0.6200291514396667,0.001042616406358876,0.0009615937162243804,0.00230570530904933,0.0023509271231041597,0.0023509271231041597,329,0.0022696188445088493,0.1484375,0.8515625,0.10580664873123169,0.1484375,0.8515625,0.10580664873123169,0.1484375,0.84375,0.10503953695297241,0.140625,0.8359375,0.10604091733694077,0.3270849585533142,0.5863757133483887,329,
1,1,1,1-8,Client1 -> Client8,8,1,1,local_continue,,,,,,0.0033799692533279025,0.002824897572502381,0.003152248770005878,0.002824897572502381,0.002824897572502381,0.0,-0.0005550716808255217,-0.0002277204833220246,0.0003273511975034971,-0.0005550716808255217,0.0,-0.0003273511975034971,False,True,False,False,0.6516170501708984,0.34838294982910156,0.6466541290283203,0.34353873133659363,0.00039618433826032914,0.0013806721942262233,0.002653823563280173,0.002691051603912991,0.002691051603912991,329,0.0026350346718487586,0.4453125,0.9296875,0.07865236699581146,0.0703125,0.5546875,0.07865236699581146,0.4296875,0.9296875,0.07995809614658356,0.0703125,0.5546875,0.0769105926156044,0.5748481154441833,0.29444703459739685,329,
1,1,2,2-7,Client7 -> Client2,2,7,7,same_origin_merge,,,,,,0.002472491414232401,0.0020940474658562693,0.0025949788828643306,0.0020621467310204464,0.0020621467310204464,0.2,-0.00037844394837613154,0.00012248746863192982,0.0005009314170080614,-0.00041034468321195445,-3.1900734835822904e-05,-0.0005328321518438843,False,False,False,True,0.5288528203964233,0.4711471498012543,0.5250771641731262,0.46682536602020264,0.000515494816365931,0.001260622968111839,0.002410998639794232,0.002372451579069634,0.002372451579069634,329,0.0023892306866599828,0.34375,0.9375,0.10010578483343124,0.0625,0.65625,0.10010578483343124,0.328125,0.9375,0.1005648672580719,0.0625,0.6484375,0.10001030564308167,0.46371766924858093,0.42088091373443604,329,
1,1,2,2-7,Client2 -> Client7,7,2,2,same_origin_merge,,,,,,0.0028422435345169285,0.0026184898364439682,0.0025507005655640677,0.002550699583015177,0.002550699583015177,0.95,-0.00022375369807296026,-0.00029154296895286076,-6.77892708799005e-05,-0.00029154395150175153,-6.779025342879127e-05,-9.825488907731772e-10,False,False,False,True,0.38425007462501526,0.6157499551773071,0.3790971338748932,0.6109294295310974,0.0005584042644311995,0.0013032312589119262,0.0024066051246509138,0.0024585146594639598,0.0024585146594639598,329,0.002383336847582823,0.1796875,0.9453125,0.10997685045003891,0.0546875,0.8203125,0.10997685045003891,0.1796875,0.9453125,0.1101013794541359,0.0546875,0.8046875,0.10979876667261124,0.31419047713279724,0.5589584708213806,329,
1,1,3,3-6,Client6 -> Client3,3,6,6,same_origin_merge,,,,,,0.0026657332394917637,0.0025407188610906345,0.0024230529536226645,0.002421364595994176,0.002421364595994176,0.9,-0.00012501437840112912,-0.00024268028586909912,-0.00011766590746797,-0.0002443686434975877,-0.00011935426509645857,-1.6883576284885786e-06,False,False,False,True,0.40826416015625,0.59173583984375,0.4027075469493866,0.585904598236084,0.0004538163936032546,0.0013245376684948202,0.0025990764576827104,0.0025804496113983224,0.0025804496113983224,329,0.002578839283099494,0.203125,0.9375,0.12784534692764282,0.0625,0.796875,0.12784534692764282,0.203125,0.9375,0.12749968469142914,0.0625,0.78125,0.1273585855960846,0.32470911741256714,0.5304233431816101,329,
1,1,3,3-6,Client3 -> Client6,6,3,3,teacher_guided,,,,,,0.003339096204862227,0.003268597478655027,0.003022204191218243,0.003022204191218243,0.003022204191218243,1.0,-7.049872620720028e-05,-0.000316892013643984,-0.0002463932874367837,-0.000316892013643984,-0.0002463932874367837,0.0,False,False,True,False,0.5681260228157043,0.43187400698661804,0.5631393194198608,0.42634114623069763,0.0003236157323409549,0.0013182033329021388,0.0025047379650234834,0.0024746255109981343,0.0024746255109981343,329,0.002488438479554278,0.296875,0.875,0.11307848989963531,0.125,0.703125,0.11307848989963531,0.296875,0.875,0.11367443948984146,0.125,0.6875,0.11201564222574234,0.4871542453765869,0.37341272830963135,329,
1,1,4,4-5,Client5 -> Client4,4,5,5,same_origin_merge,,,,,,0.003158746407774955,0.0030806829751279926,0.003302589466854661,0.0030685101371781083,0.0030685101371781083,0.2,-7.806343264696227e-05,0.00014384305907970624,0.0002219064917266685,-9.023627059684663e-05,-1.2172837949884358e-05,-0.00023407932967655287,False,False,False,True,0.5054597854614258,0.4945402145385742,0.5010667443275452,0.48980802297592163,0.00042837691459634745,0.001450964285927882,0.0027074115030986372,0.002760935926052092,0.002760935926052092,329,0.0026873053780878584,0.3203125,0.8515625,0.10335823148488998,0.1484375,0.6796875,0.10335823148488998,0.3203125,0.8515625,0.10322312265634537,0.1484375,0.671875,0.10287953913211823,0.43175208568573,0.44095173478126526,329,
1,1,4,4-5,Client4 -> Client5,5,4,4,same_origin_merge,,,,,,0.003050963179430133,0.002730179953829778,0.0027204520222585274,0.002680723406689006,0.002680723406689006,0.5,-0.00032078322560035507,-0.0003305111571716055,-9.727931571250435e-06,-0.0003702397727411268,-4.945654714077173e-05,-3.9728615569521297e-05,False,False,False,True,0.5407088994979858,0.45929113030433655,0.5360242128372192,0.45482683181762695,0.0005241839764025953,0.0013036624040605373,0.002866728557328043,0.0027987148107472496,0.0027987148107472496,329,0.0028444847226978135,0.2890625,0.890625,0.1082901582121849,0.109375,0.7109375,0.1082901582121849,0.2890625,0.890625,0.10858306288719177,0.109375,0.6953125,0.10711483657360077,0.47253432869911194,0.40878647565841675,329,
2,2,1,1-7,Client7 -> Client1,1,7,7,same_origin_merge,,,,,,0.0019516377577372646,0.0021730874172433126,0.0018961211661371216,0.0018618383051075486,0.0018618383051075486,0.75,0.00022144965950604794,-5.5516591600143035e-05,-0.000276966251106191,-8.979945262971604e-05,-0.000311249112135764,-3.428286102957301e-05,False,False,False,True,0.4949067234992981,0.5050932765007019,0.4893263578414917,0.4988887906074524,0.00031011565398276754,0.0015297185667941331,0.002163803004996467,0.0021284633717750926,0.0021284633717750926,329,0.002146850945272601,0.2734375,0.9140625,0.12879601120948792,0.0859375,0.7265625,0.12879601120948792,0.265625,0.9140625,0.12943880259990692,0.0859375,0.71875,0.12814949452877045,0.4078480303287506,0.44056710600852966,329,
2,2,1,1-7,Client1 -> Client7,7,1,1,same_origin_merge,,,,,,0.002550699583015177,0.0026645586644436945,0.0029100793548038424,0.0024763352596181344,0.0024763352596181344,0.4,0.00011385908142851758,0.0003593797717886655,0.0002455206903601479,-7.436432339704259e-05,-0.00018822340482556018,-0.00043374409518570807,False,False,False,True,0.6328374743461609,0.3671625554561615,0.6273995637893677,0.3627695143222809,0.0002807148500266877,0.0014821561369408726,0.002343585493507895,0.002284151746840488,0.002284151746840488,329,0.002327753266954048,0.4140625,0.953125,0.09661618620157242,0.046875,0.5859375,0.09661618620157242,0.40625,0.953125,0.09773403406143188,0.046875,0.5703125,0.09542778879404068,0.5556430220603943,0.3129380941390991,329,
