receiver_id,sender_id,num_events,num_selected_receiver_loc,num_selected_local_continue,num_selected_teacher_guided,num_selected_same_origin_merge,rollback_rate,local_continue_accept_rate,teacher_guided_accept_rate,same_origin_merge_accept_rate,mean_best_alpha,mean_selected_val_loss,mean_delta_local_continue_vs_loc,mean_delta_teacher_guided_vs_loc,mean_delta_teacher_guided_vs_local_continue,mean_delta_same_origin_merge_vs_loc,mean_delta_same_origin_merge_vs_local_continue,mean_delta_same_origin_merge_vs_teacher_guided,mean_teacher_better_ratio_avg,mean_teacher_worse_ratio_avg,mean_positive_active_ratio_avg,mean_repulsion_active_ratio_avg,mean_positive_loss_avg,mean_repulsion_loss_avg
1,2,2,1,0,0,1,0.5,0.0,0.0,0.5,0.6,0.0018036051070936185,0.00013186351471966443,4.0190028289600866e-05,-9.167348643006356e-05,-1.2598727989978904e-05,-0.00014446224270964333,-5.278875627957977e-05,0.59067302942276,0.4093269556760788,0.5847331285476685,0.4036482572555542,0.00024007310590313635,0.0016737146204585428
1,3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.75,0.0018130589829117268,0.0001494792673063862,5.9382883275555454e-05,-9.009638403083074e-05,3.357136716853736e-05,-0.00011590790013784882,-2.5811516107018095e-05,0.5582011143366495,0.4417988657951355,0.5527610182762146,0.4362660050392151,0.00025840425031309046,0.001605613177046484
1,4,3,3,0,0,0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0018130589829117268,0.00028417769707260384,8.202129021923938e-05,-0.00020215640685336444,2.844551152983454e-05,-0.0002557321855427693,-5.357577868940485e-05,0.5756738583246866,0.4243261416753133,0.5710490345954895,0.41961424549420673,0.0003132624687530144,0.0015076079576046295
1,5,3,1,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.7666666666666666,0.0018130589829117268,6.266060481984038e-05,1.69079213253694e-05,-4.575268349447098e-05,5.886870334677315e-06,-5.6773734485163065e-05,-1.1021050990692085e-05,0.6250284314155579,0.37497158845265705,0.6197342276573181,0.3699769675731659,0.00022755338438599455,0.0015635465461649387
1,6,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5333333333333333,0.0018176353252869057,5.427757961400176e-05,3.368900110179582e-05,-2.0588578512205937e-05,6.124955589003111e-06,-4.815262402499865e-05,-2.756404551279271e-05,0.4593379994233449,0.54066202044487,0.4533856113751729,0.5352716247240702,0.00030282478536938876,0.001614127760038053
1,7,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.5666666666666667,0.0018216597151427295,0.00014408145497595286,7.692296001641961e-05,-6.715849495953325e-05,1.5702060353970553e-05,-0.0001283793946219823,-6.122089966244906e-05,0.5107249617576599,0.48927504817644757,0.5050767958164215,0.48375576734542847,0.00029947209058827045,0.0015444472732658882
1,8,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.5,0.0018515928660193014,6.607160093007221e-05,0.0003402740364616178,0.0002742024355315456,-7.60154640383083e-05,-0.00014208706496838053,-0.0004162895004999261,0.43987520535786945,0.5601247946421305,0.4351338843504588,0.5553122162818909,0.0005379916664140994,0.0014211390785651057
2,1,2,2,0,0,0,1.0,0.0,0.0,0.0,0.25,0.001841180094942814,8.599895521289056e-05,0.00015734585711011913,7.134690189722858e-05,1.8539614698879505e-05,-6.745934051401105e-05,-0.00013880624241123963,0.6199024617671967,0.38009752333164215,0.6136928498744965,0.37438322603702545,0.0001975157028704803,0.0016590633218054127
2,3,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.7833333333333333,0.0018674636236277282,0.00018187291618710155,5.86090559910261e-05,-0.00012326386019607545,3.253746009817529e-05,-0.00014933545608892626,-2.6071595892850812e-05,0.5984357198079427,0.40156427025794983,0.5930351813634237,0.3964667518933614,0.0002524219487292625,0.0015602628097253664
2,4,3,0,0,1,2,0.0,0.0,0.3333333333333333,0.6666666666666666,0.65,0.0018332439168676988,5.020240427961216e-05,7.758922612280019e-05,2.7386821843188025e-05,-2.8019715966883803e-05,-7.822212024649596e-05,-0.00010560894208968398,0.5993409156799316,0.4006511668364207,0.59421173731486,0.39553781350453693,0.0002374216342139582,0.0015074093106054523
2,5,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.5666666666666667,0.001889508553277184,0.00019910251379709715,9.714258455053645e-05,-0.0001019599292465607,-1.9862734774200516e-05,-0.00021896524857129766,-0.00011700531932473696,0.6244790156682333,0.3755209942658742,0.6200498541196188,0.37103071808815,0.0002584596274969239,0.0014933008344682258
2,6,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.75,0.0018612636328345824,0.00043287671730664004,6.682590423024359e-05,-0.00036605081307639645,4.851323354971179e-05,-0.0003843634837569282,-1.8312670680531802e-05,0.5336921910444895,0.46630780895551044,0.528020312388738,0.4607885281244914,0.0002651070988696718,0.0015601481951671794
