round,client_id,client_name,num_samples,local_rc_norm,global_rc_norm,rc_rg_l2_norm,rc_rg_mean_abs,use_rc_regularization,rc_lambda
1,1,client_1,42023,0.6220212578773499,1.1821823120117188,0.7657654285430908,0.12830235064029694,True,1.0
1,2,client_2,42023,1.4609661102294922,1.1821823120117188,0.2960087060928345,0.05273716524243355,True,1.0
1,3,client_3,42023,1.3977398872375488,1.1821823120117188,0.2541728913784027,0.04316569119691849,True,1.0
1,4,client_4,42023,1.4003236293792725,1.1821823120117188,0.26340875029563904,0.05060608312487602,True,1.0
1,5,client_5,42023,1.0491905212402344,1.1821823120117188,0.26573091745376587,0.04357937350869179,True,1.0
1,6,client_6,42023,1.231932282447815,1.1821823120117188,0.2381933629512787,0.04228934645652771,True,1.0
1,7,client_7,42023,1.2040809392929077,1.1821823120117188,0.16120058298110962,0.02969583310186863,True,1.0
1,8,client_8,42023,1.4148136377334595,1.1821823120117188,0.2698196470737457,0.048774972558021545,True,1.0
1,9,client_9,42023,1.0701428651809692,1.1821823120117188,0.19735276699066162,0.03522320091724396,True,1.0
2,1,client_1,42023,1.186938762664795,1.1816734075546265,0.015498081222176552,0.002812463091686368,True,1.0
2,2,client_2,42023,1.177535057067871,1.1816734075546265,0.025707868859171867,0.004685197025537491,True,1.0
2,3,client_3,42023,1.180066466331482,1.1816734075546265,0.026262903586030006,0.004783807322382927,True,1.0
2,4,client_4,42023,1.1769509315490723,1.1816734075546265,0.0116423349827528,0.002063782885670662,True,1.0
2,5,client_5,42023,1.1927244663238525,1.1816734075546265,0.017922818660736084,0.0035362050402909517,True,1.0
2,6,client_6,42023,1.1834710836410522,1.1816734075546265,0.009971055202186108,0.0018403928261250257,True,1.0
2,7,client_7,42023,1.1727067232131958,1.1816734075546265,0.05095623433589935,0.009307491593062878,True,1.0
2,8,client_8,42023,1.1855719089508057,1.1816734075546265,0.016884377226233482,0.003281091805547476,True,1.0
2,9,client_9,42023,1.1811455488204956,1.1816734075546265,0.010362602770328522,0.0018837600946426392,True,1.0
3,1,client_1,42023,1.1719028949737549,1.1784801483154297,0.011055829003453255,0.0021025286987423897,True,1.0
3,2,client_2,42023,1.191131830215454,1.1784801483154297,0.04466409981250763,0.008521039970219135,True,1.0
3,3,client_3,42023,1.1712404489517212,1.1784801483154297,0.013079643249511719,0.0026111449114978313,True,1.0
3,4,client_4,42023,1.182884931564331,1.1784801483154297,0.008805880323052406,0.001523296581581235,True,1.0
3,5,client_5,42023,1.1775400638580322,1.1784801483154297,0.04638177901506424,0.008683680556714535,True,1.0
