round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share
1,1,client_1,1.0,fc1,336,336,1.0,,,1.5988615012608894e-05,,1.919341968914523e-06,,0.0,0.0004962640232406557,,,,,0.9999999998138556
1,1,client_1,1.0,fc2,17,17,1.0,,,2.6727671850282188e-05,,3.4670399600145174e-06,,0.0,0.00023047137074172497,,,,,0.9999999977991526
1,2,client_2,1.0,fc1,336,336,1.0,,,1.51915200971993e-05,,8.349966549303645e-07,,0.0,0.0010141241364181042,,,,,0.9999999998040886
1,2,client_2,1.0,fc2,17,17,1.0,,,1.9046911766488793e-05,,4.547109710983932e-06,,0.0,0.00014932523481547832,,,,,0.9999999969116502
1,3,client_3,1.0,fc1,336,336,1.0,,,1.4459720322277435e-05,,7.296200124073948e-07,,0.0,0.0005606369813904166,,,,,0.9999999997941736
1,3,client_3,1.0,fc2,17,17,1.0,,,1.7713877885144565e-05,,4.394518782646628e-06,,0.0,0.00012074827827746049,,,,,0.9999999966792406
1,4,client_4,1.0,fc1,336,336,1.0,,,1.8182117998836803e-05,,1.0334423450331087e-06,,0.0,0.0008754399605095387,,,,,0.9999999998363122
1,4,client_4,1.0,fc2,17,17,1.0,,,2.658854193234273e-05,,4.980368885298958e-06,,0.0,0.0002077597746392712,,,,,0.9999999977876362
1,5,client_5,1.0,fc1,336,336,1.0,,,8.901068818652147e-06,,4.356507474767568e-07,,0.0,0.00019906516536138952,,,,,0.9999999996656368
1,5,client_5,1.0,fc2,17,17,1.0,,,1.3645021783424776e-05,,2.384224671914126e-06,,0.0,0.0001673959195613861,,,,,0.999999995689012
1,6,client_6,1.0,fc1,336,336,1.0,,,1.5714496877853805e-05,,8.701583169568039e-07,,0.0,0.0013228545431047678,,,,,0.9999999998106085
1,6,client_6,1.0,fc2,17,17,1.0,,,2.529379519073165e-05,,5.152586254553171e-06,,0.0,0.0001678982807788998,,,,,0.999999997674389
1,7,client_7,1.0,fc1,336,336,1.0,,,1.4959363336239291e-05,,5.786023677956109e-07,,0.0,0.0010105425026267767,,,,,0.9999999998010483
1,7,client_7,1.0,fc2,17,17,1.0,,,1.7342487950600116e-05,,1.283406732000003e-06,,0.0,0.00013377612049225718,,,,,0.9999999966081263
1,8,client_8,1.0,fc1,336,336,1.0,,,9.141937745491916e-06,,7.660815128929244e-07,,0.0,0.00023987666645552963,,,,,0.9999999996744464
1,8,client_8,1.0,fc2,17,17,1.0,,,1.3425974692475339e-05,,4.667374923883472e-06,,0.0,0.00010601544636301696,,,,,0.9999999956186771
1,9,client_9,1.0,fc1,336,336,1.0,,,6.639898278527049e-06,,3.150958747255572e-07,,0.0,0.0002190755621995777,,,,,0.9999999995517717
1,9,client_9,1.0,fc2,17,17,1.0,,,1.1087719209800685e-05,,8.750461688578071e-07,,0.0,0.00012527481885626912,,,,,0.9999999946947136
