round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_param_exact_names,head_personalization_tau,use_head_importance_ema,head_importance_ema_beta,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.004175569964193413,0.0015942417154515252,0.004175569964193413,0.0,0.0,0.004175569964193413,0.0,0.0,1.2247658967971802,0.2855647967921363,0.14396727085113525,0.7528213858604431,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.003227753370729588,14.653568267822266,342.4640808105469,18.505785063340245,18.142308294773102,0.6080005168914795,1.8311472071541681,6.266435119840834,2.460991187044019,0.5050884087880453,5208
2,9,0.001465320524473083,0.0011030311846464554,0.001465320524473083,0.0,0.0,0.001465320524473083,0.0,0.0,1.2177847623825073,0.1449312385585573,0.06442868709564209,0.22172881662845612,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0010126722527574574,5.215109825134277,50.08234786987305,7.076888290051854,7.003064453601837,0.9426735639572144,1.064522021346622,2.0494327545166016,1.3987578504480427,0.8474276463190714,5208
3,9,0.0012566844626689256,0.0009761929044614123,0.0012566844626689256,0.0,0.0,0.0012566844626689256,0.0,0.0,1.0140469074249268,0.14158430281612608,0.07785094529390335,0.1971350461244583,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0008770000201921461,4.240550994873047,34.550941467285156,5.878004888334575,5.560550466179848,0.9604514837265015,0.9750975966453552,1.7498075763384502,1.2979059022927455,0.8659128546714783,5208
4,9,0.0011147935899853989,0.0009746234514492238,0.0011147935899853989,0.0,0.0,0.0011147935899853989,0.0,0.0,0.8239744901657104,0.11382031606303321,0.06928081065416336,0.17929837107658386,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0008647576645198674,4.361337661743164,34.939796447753906,5.910989464358223,5.780776962637901,0.9600063562393188,0.983922024567922,1.7323895692825317,1.2901456211064803,0.868217236465878,5208
5,9,0.0010432490775862723,0.0008882962254470209,0.0010432490775862723,0.0,0.0,0.0010432490775862723,0.0,0.0,0.6605420112609863,0.09225873649120331,0.04889870434999466,0.15245376527309418,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0008840312375414455,4.693630218505859,38.765018463134766,6.226155994121474,6.286794692277908,0.9556278586387634,1.0077501469188266,1.7774957683351305,1.3054800428837021,0.8654908206727769,5208
6,9,0.001001483012369728,0.0010327491095610045,0.001001483012369728,0.0,0.0,0.001001483012369728,0.0,0.0,0.5645627975463867,0.12753706673781076,0.06840266287326813,0.24136430025100708,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0008177028528006467,4.114363670349121,30.197114944458008,5.495190164540078,5.439800396561623,0.9654350280761719,0.956866529252794,1.6344441374142964,1.2537341323179334,0.8750515845086839,5208
7,9,0.000961582438667205,0.0008188228436311277,0.000961582438667205,0.0,0.0,0.000961582438667205,0.0,0.0,0.5154183506965637,0.08934244803256458,0.04737093299627304,0.12023579329252243,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007855464350667809,3.6621694564819336,25.438201904296875,5.043629834186572,4.793918877840042,0.9708822965621948,0.9287033213509454,1.556746522585551,1.2264038233877226,0.8796010414759318,5208
8,9,0.0009510691461682026,0.0008202336409290066,0.0009510691461682026,0.0,0.0,0.0009510691461682026,0.0,0.0,0.47243672609329224,0.10213645878765318,0.04337935894727707,0.15656708180904388,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007881212980230694,3.8339622020721436,26.882848739624023,5.184867282739648,5.043599382042885,0.9692286849021912,0.9390399720933702,1.5675545533498128,1.2296389494630233,0.879102521472507,5208
9,9,0.0009308576051884973,0.0007797666766301986,0.0009308576051884973,0.0,0.0,0.0009308576051884973,0.0,0.0,0.4190124273300171,0.10155132205949889,0.05161699280142784,0.17448768019676208,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007673946654646292,3.483198881149292,22.854412078857422,4.780628837177953,4.5211587101221085,0.9738398194313049,0.9052589005894132,1.5041913390159607,1.2080924994401216,0.8811164432101779,5208
10,9,0.0009177454659812759,0.0008145104403650305,0.0009177454659812759,0.0,0.0,0.0009177454659812759,0.0,0.0,0.39763057231903076,0.10516243427991867,0.039132412523031235,0.14899538457393646,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.0,True,0.3,0.0007567893373884863,3.3268423080444336,21.509599685668945,4.637844292952162,4.2722247540950775,0.9753791689872742,0.9045726524458991,1.4873611198531256,1.201011696790684,0.8834385805659823,5208
