round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_param_exact_names,head_personalization_tau,use_head_importance_ema,head_importance_ema_beta,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
1,9,0.0041738546345232615,0.0016047369148021106,0.0041738546345232615,0.0,0.0,0.0041738546345232615,0.0,0.0,1.225990891456604,0.28671589824888444,0.14496059715747833,0.7525017857551575,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.0,0.0032634641440277834,14.833477020263672,347.65802001953125,18.64558982761155,18.406307697296143,0.6020553112030029,1.8454131152894762,6.33278587129381,2.474187607678297,0.4992854595184326,5208,,,,,,,
2,9,0.001519830463501819,0.001041716717907316,0.001519830463501819,0.00012249483759720076,0.00012249483759720076,0.0016423253009318678,0.08039849316605993,0.08059769853169314,1.2232139110565186,0.024684600842495758,0.01092703826725483,0.0651167631149292,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.0,0.0010724863721414469,5.178362846374512,54.72016143798828,7.3973077155130085,6.700138747692108,0.9373648762702942,1.0670833388964336,2.1649029652277627,1.4377843359211953,0.8389751381344266,5208,,,,,,,
3,9,0.001329656813937109,0.0011777961995029186,0.001329656813937109,0.00010634898303208383,0.00010634898303208383,0.0014360057962694384,0.07957907169174934,0.07998227951557109,1.2239634990692139,0.03005499444488022,0.009341022931039333,0.05932953953742981,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.0,0.0009144233177638723,4.486116886138916,37.6113166809082,6.132806590861007,5.9726376086473465,0.9569483995437622,1.0061414374245539,1.83039214875963,1.3263460147838861,0.8610395855373807,5208,,,,,,,
4,9,0.0011440021370678476,0.0010023665235654113,0.0011440021370678476,7.049097705386255e-05,7.049097705386255e-05,0.0012144931140891683,0.06152296664224867,0.061617871775063,1.2254884243011475,0.025654196532236204,0.012798952870070934,0.05041371285915375,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.0,0.0009215299909389025,5.070260047912598,42.920406341552734,6.551366753705118,6.935587525367737,0.9508714079856873,1.0346283581521776,1.8545281622144911,1.3330351451970361,0.8603710995780097,5208,,,,,,,
5,9,0.001092155626135795,0.000937259342882418,0.001092155626135795,6.108972809410084e-05,6.108972809410084e-05,0.0011532453538857885,0.05693061509420358,0.05593500282950531,1.2264537811279297,0.01923083865808116,0.00883827731013298,0.03784821182489395,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.0,0.0008873458118822516,4.763601303100586,38.88920211791992,6.236120758766616,6.4704835414886475,0.9554857015609741,1.011947254339854,1.7821952369478014,1.3076857478248938,0.8651805188920763,5208,,,,,,,
6,9,0.0010524328952664086,0.0009223162089629083,0.0010524328952664086,5.234809244959257e-05,5.234809244959257e-05,0.0011047809876124893,0.05074658278329818,0.049740076194217886,1.2242445945739746,0.016971665434539318,0.0063513582572340965,0.03703142702579498,0.10119047619047618,34.0,336.0,3.0464982122187695e-07,True,5,1,True,fc1,,0.1,True,0.0,0.0008257179270857456,4.338772296905518,32.96860122680664,5.741829083733392,5.7595230638980865,0.9622626900672913,0.9625706540213691,1.6358354687690735,1.2571164085428599,0.8733242220348783,5208,,,2.5348649749576058e-06,5.3565986072103296e-08,54.13464348030651,1.0106816233400542,0.8223924406073668
7,9,0.0010062110442601248,0.000856496012449701,0.0010062110442601248,4.357561171826283e-05,4.357561171826283e-05,0.0010497866552641908,0.04419834690440685,0.043306632265200096,1.2241870164871216,0.018668337311181758,0.007894017733633518,0.045526742935180664,0.10119047619047618,34.0,336.0,2.258335866953429e-07,True,5,1,True,fc1,,0.1,True,0.0,0.0008109131796894469,4.089813232421875,29.178348541259766,5.401698671830905,5.524210631847382,0.9666011929512024,0.9475381506813897,1.5780285133255854,1.2383632468177226,0.8743226793077257,5208,0.6326014324287584,0.04695767371190919,1.879521875443569e-06,3.965675483615032e-08,71.05929158426304,1.020862388455152,0.8325494808068425
8,9,0.000977928364853796,0.0008499401522103542,0.000977928364853796,3.629894490059145e-05,3.629894490059145e-05,0.0010142273088929333,0.03771016979599231,0.037118204326653394,1.2236130237579346,0.017088149053355057,0.007625035010278225,0.025631597265601158,0.10119047619047618,34.0,336.0,1.8039228185292208e-07,True,5,1,True,fc1,,0.1,True,0.0,0.0007681749009998253,3.7853643894195557,25.993783950805664,5.0984099433848655,5.0018977373838425,0.9702463746070862,0.9146461619271172,1.51323135693868,1.2100841414397394,0.8822904758983188,5208,0.5453549711024794,0.06084656280775865,1.5077845978878321e-06,3.0950759126345006e-08,53.45270013089558,1.0318139138556637,0.8338001305390308
9,9,0.0009534752493531758,0.0007526925661010843,0.0009534752493531758,3.211406802535793e-05,3.211406802535793e-05,0.0009855893164163977,0.03449628029320501,0.03368107144203543,1.2202565670013428,0.012612335176931487,0.00809129886329174,0.018160482868552208,0.10119047619047618,34.0,336.0,1.731172195225857e-07,True,5,1,True,fc1,,0.1,True,0.0,0.0007605653710324822,3.5779566764831543,23.674978256225586,4.8656940158856665,4.667513445019722,0.9729005694389343,0.8986363543404473,1.5042039553324382,1.2048055838941352,0.8839590549468994,5208,0.5722904917952447,0.056216933040155306,1.4020469051018278e-06,3.476089616116458e-08,53.52385880113562,1.0272288194204013,0.825591409721551
10,9,0.0009644227711446187,0.0008660992948881778,0.0009644227711446187,3.346003732191082e-05,3.346003732191082e-05,0.0009978828082270088,0.03523870265700669,0.03469436671171154,1.2220577001571655,0.018726107353965443,0.008306634612381458,0.03588469326496124,0.10119047619047618,34.0,336.0,1.2231639345827716e-07,True,5,1,True,fc1,,0.1,True,0.0,0.0007679626576627177,3.4535059928894043,22.544679641723633,4.748123802274287,4.466700926423073,0.974194347858429,0.9070637689696418,1.501322070757548,1.2058475643058335,0.8820121354526944,5208,0.4281016415843242,0.08201058415902986,9.809353569713504e-07,2.5650686802416848e-08,43.780797721223024,1.0194544748808316,0.8052039397908115
