round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.002430680792535725,0.0026706997563942392,0.002430680792535725,0.0,0.0,0.002430680792535725,0.0,0.0,0.4272593557834625,0.3002832861189802,106.0,353.0,2.015321883340625e-05,0.002676952959328056,3.2017130851745605,5.287631000311858,362378025.0,0.9875451326370239,0.5312653614415063,0.9948952971724457,0.9655435151524014,5211
2,9,0.0023603131878156495,0.002594463257017734,0.0023603131878156495,4.4534621141520316e-05,0.00044534621141520305,0.002805659398717563,0.19018966935000503,0.18868098247532458,0.4281400442123413,0.3002832861189802,106.0,353.0,0.00010630110692646768,0.0024866519845448253,2.957289218902588,4.9040652713756865,380995525.0,0.9892865419387817,0.5143924554189047,0.9594673409551567,0.9680136839548746,5211
3,9,0.0022649016650756453,0.002463674040089922,0.0022649016650756453,2.1583275395227293e-05,0.00021583275395227299,0.0024807344197130127,0.09602085067101035,0.09529453626401474,0.4300285279750824,0.3002832861189802,106.0,353.0,3.601144251458916e-05,0.002448025164803898,2.9659740924835205,4.891493845047013,367531300.0,0.9893414378166199,0.506317224767473,0.9512031042065817,0.9685062302483453,5211
4,9,0.002233719369340635,0.00248441371188107,0.002233719369340635,1.4474208937167508e-05,0.0001447420893716751,0.00237846145920983,0.06531311681147489,0.06479869015488836,0.4308180510997772,0.3002832861189802,106.0,353.0,2.10832606373717e-05,0.0023850373578625807,2.6226632595062256,4.7679695740695465,151681675.0,0.989872932434082,0.47141773502031964,0.9395699458986585,0.9693162441253662,5211
5,9,0.0022004132265045977,0.002484980306867109,0.0022004132265045977,1.1086977628343197e-05,0.00011086977628343196,0.0023112830004214952,0.050424765265057035,0.050385888840145276,0.4304765462875366,0.3002832861189802,106.0,353.0,1.4547023157420983e-05,0.0023696207140569926,2.517249822616577,4.717882291327258,120804700.0,0.9900845885276794,0.46196333236164516,0.9364490258020256,0.9695161249902513,5211
6,9,0.0021879792364783834,0.0025399163443882797,0.0021879792364783834,9.003894883632327e-06,9.003894883632325e-05,0.0022780181826421914,0.041548367782256346,0.04115164682279706,0.4318714737892151,0.3002832861189802,106.0,353.0,9.89475069622535e-06,0.0023897124281231797,2.7626967430114746,4.833753545625155,183242787.5,0.9895915389060974,0.4818243516816033,0.9401265674414265,0.9692266782124838,5211
7,9,0.0021892151971135863,0.0024262035893851206,0.0021892151971135863,7.974031944565503e-06,7.974031944565502e-05,0.002268955517869894,0.03666952220850121,0.036424157622496886,0.43047410249710083,0.3002832861189802,106.0,353.0,8.028349182293621e-06,0.0023616314374559225,2.556244134902954,4.720002873306693,132871550.0,0.9900756478309631,0.46690041820208233,0.9354928198600678,0.9696090618769327,5211
8,9,0.0021658166196515034,0.0025070898949934983,0.0021658166196515034,7.373447889332537e-06,7.373447889332535e-05,0.0022395510980306155,0.0343402042726404,0.03404465465370062,0.43101218342781067,0.3002832861189802,106.0,353.0,7.192849352577468e-06,0.0024122723229481947,2.7193076610565186,4.763555358738022,220877075.0,0.9898917078971863,0.49258751339382595,0.9464208059307803,0.9690285854869418,5211
9,9,0.00215569546874865,0.002433094984209806,0.00215569546874865,6.521325056130251e-06,6.52132505613025e-05,0.002220908720978024,0.03037560962511691,0.030251606257216953,0.43093806505203247,0.3002832861189802,106.0,353.0,7.287229739934749e-06,0.002334614971611183,2.527038335800171,4.67497410894558,130053950.0,0.9902641177177429,0.4577566550837623,0.9295881786772608,0.9699534111552768,5211
10,9,0.002142871057756163,0.002396128841212689,0.002142871057756163,6.206250268843147e-06,6.206250268843148e-05,0.002204933558834668,0.029133381421007323,0.0289623131708428,0.4307622015476227,0.3002832861189802,106.0,353.0,5.186163990502892e-06,0.0023212795896188176,2.467420816421509,4.641804657579418,89067506.25,0.9904018044471741,0.4593983723057641,0.9269000965747236,0.9701270792219374,5211
11,9,0.0021349984434878458,0.002391921129490592,0.0021349984434878458,5.761498626687141e-06,5.7614986266871416e-05,0.0021926134277676177,0.02708610482916314,0.02698596170672733,0.4310087561607361,0.3002832861189802,106.0,353.0,4.649386786089356e-06,0.002333827127512582,2.4139976501464844,4.608016715920117,95148525.0,0.9905410408973694,0.4647275706132253,0.9291197872665928,0.969967762629191,5211
12,9,0.002119268901322681,0.0023994589059603676,0.002119268901322681,5.460597394632855e-06,5.460597394632856e-05,0.0021738748751195707,0.02594051458506456,0.02576642062103652,0.4316016733646393,0.3002832861189802,106.0,353.0,4.940808644783425e-06,0.002327746657739377,2.4395828247070312,4.56318722082545,174525600.0,0.9907241463661194,0.4623655577500661,0.9284961751649031,0.9700498382250468,5211
13,9,0.0021165025566667324,0.0024646405549488084,0.0021165025566667324,5.265365973864099e-06,5.265365973864099e-05,0.0021691562165551924,0.024940297848012417,0.02487767356949819,0.4313223659992218,0.3002832861189802,106.0,353.0,3.2901332360779634e-06,0.0023089626211502024,2.308424711227417,4.54204856363502,67307056.25,0.9908099174499512,0.4606742362181346,0.9247034435797556,0.9703005419837104,5211
14,9,0.0021179066792373935,0.002435808086100175,0.0021179066792373935,4.8979109390064545e-06,4.8979109390064545e-05,0.0021668857901381406,0.023267448745411534,0.02312618863101869,0.4284394085407257,0.3002832861189802,106.0,353.0,4.009027684838253e-06,0.0023421692217165464,2.545668601989746,4.674543454322321,154119600.0,0.9902659058570862,0.47123055656750995,0.930336399125916,0.9698548449410332,5211
15,9,0.002111097657742431,0.0023754636606057814,0.002111097657742431,4.797062048567538e-06,4.797062048567538e-05,0.002159068275951112,0.022868398182799066,0.022723070288586843,0.4301379919052124,0.3002832861189802,106.0,353.0,3.7454978307020306e-06,0.0023217946468190513,2.3953659534454346,4.549561850442948,120951775.0,0.990779459476471,0.45629311270183986,0.9275761830689184,0.9701387087504069,5211
