round,client_id,ref_client_ids,num_refs,importance_values_for_refs
1,1,"[1, 2, 3]",3,"[1.0, 0.0, 0.0]"
1,2,"[2, 1, 3]",3,"[1.0, 0.0, 0.0]"
1,3,"[3, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,4,"[4, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,5,"[5, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,6,"[6, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,7,"[7, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,8,"[8, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,9,"[9, 1, 2]",3,"[1.0, 0.0, 0.0]"
2,1,"[1, 3, 4]",3,"[1.0, 0.06406253576278687, 0.0]"
2,2,"[2, 3, 1]",3,"[1.0, 0.04355175420641899, 0.006331899669021368]"
2,3,"[3, 4, 5]",3,"[1.0, 0.0, 0.0]"
2,4,"[4, 3, 5]",3,"[1.0, 0.0, 0.0]"
2,5,"[5, 1, 2]",3,"[1.0, 0.02538972534239292, 0.01992669142782688]"
2,6,"[6, 3, 4]",3,"[1.0, 0.0, 0.0]"
2,7,"[7, 1, 2]",3,"[1.0, 0.0373627245426178, 0.012367546558380127]"
2,8,"[8, 3, 4]",3,"[1.0, 0.0, 0.0]"
2,9,"[9, 3, 4]",3,"[1.0, 0.0, 0.0]"
3,1,"[1, 3, 4]",3,"[1.0, 0.2809101343154907, 0.20402121543884277]"
3,2,"[2, 3, 4]",3,"[1.0, 0.1422605663537979, 0.0]"
3,3,"[3, 4, 6]",3,"[1.0, 0.012564683333039284, 0.0]"
3,4,"[4, 6, 7]",3,"[1.0, 0.0, 0.0]"
3,5,"[5, 1, 3]",3,"[1.0, 0.049318984150886536, 0.0]"
3,6,"[6, 5, 7]",3,"[1.0, 0.0, 0.0]"
3,7,"[7, 1, 3]",3,"[1.0, 0.026651715859770775, 0.0]"
3,8,"[8, 3, 4]",3,"[1.0, 0.1112232431769371, 0.02619664929807186]"
3,9,"[9, 3, 4]",3,"[1.0, 0.13363339006900787, 0.024269554764032364]"
4,1,"[1, 3, 4]",3,"[1.0, 0.5200753808021545, 0.2359941005706787]"
4,2,"[2, 3, 4]",3,"[1.0, 0.4076005220413208, 0.06054617092013359]"
4,3,"[3, 7, 8]",3,"[1.0, 0.0, 0.0]"
4,4,"[4, 6, 8]",3,"[1.0, 0.058309830725193024, 0.0]"
4,5,"[5, 3, 4]",3,"[1.0, 0.40497666597366333, 0.0]"
4,6,"[6, 8, 9]",3,"[1.0, 0.0, 0.0]"
4,7,"[7, 3, 1]",3,"[1.0, 0.5979104042053223, 0.1422264724969864]"
4,8,"[8, 3, 4]",3,"[1.0, 0.6274355053901672, 0.13700948655605316]"
4,9,"[9, 3, 4]",3,"[1.0, 0.5494641661643982, 0.048257626593112946]"
5,1,"[1, 3, 4]",3,"[1.0, 1.0047893524169922, 0.25940796732902527]"
5,2,"[2, 3, 4]",3,"[1.0, 0.9576457142829895, 0.1530936062335968]"
5,3,"[3, 9, 1]",3,"[1.0, 0.0, -0.0010058998595923185]"
5,4,"[4, 6, 9]",3,"[1.0, 0.20940256118774414, 0.0]"
5,5,"[5, 3, 6]",3,"[1.0, 0.7515397071838379, 0.0]"
5,6,"[6, 2, 1]",3,"[1.0, -0.04459153860807419, -0.06528764218091965]"
5,7,"[7, 3, 1]",3,"[1.0, 1.2919503450393677, 0.16724812984466553]"
5,8,"[8, 3, 4]",3,"[1.0, 1.2699662446975708, 0.31835466623306274]"
5,9,"[9, 3, 4]",3,"[1.0, 1.0396748781204224, 0.13910366594791412]"
6,1,"[1, 3, 4]",3,"[1.0, 1.5970045328140259, 0.41181424260139465]"
6,2,"[2, 3, 4]",3,"[1.0, 1.595045566558838, 0.3492012023925781]"
6,3,"[3, 2, 5]",3,"[1.0, -0.018650561571121216, -0.04287862032651901]"
6,4,"[4, 6, 3]",3,"[1.0, 0.2518966794013977, -0.0387021005153656]"
6,5,"[5, 3, 7]",3,"[1.0, 1.078571081161499, 0.0]"
6,6,"[6, 3, 5]",3,"[1.0, -0.08024846017360687, -0.09030870348215103]"
6,7,"[7, 3, 1]",3,"[1.0, 2.032992362976074, 0.16618768870830536]"
6,8,"[8, 3, 4]",3,"[1.0, 1.9629554748535156, 0.5561069250106812]"
6,9,"[9, 3, 4]",3,"[1.0, 1.597993016242981, 0.2902176082134247]"
7,1,"[1, 3, 4]",3,"[1.0, 2.2670915126800537, 0.6505545377731323]"
7,2,"[2, 3, 4]",3,"[1.0, 2.2710013389587402, 0.5929423570632935]"
7,3,"[3, 6, 4]",3,"[1.0, -0.10011179745197296, -0.1592041254043579]"
7,4,"[4, 3, 6]",3,"[1.0, 0.2897869050502777, 0.15645000338554382]"
7,5,"[5, 3, 8]",3,"[1.0, 1.5750365257263184, 0.0]"
7,6,"[6, 3, 5]",3,"[1.0, 0.3732907772064209, -0.09279444813728333]"
7,7,"[7, 3, 1]",3,"[1.0, 2.831907272338867, 0.20966890454292297]"
7,8,"[8, 3, 4]",3,"[1.0, 2.6723310947418213, 0.8165554404258728]"
7,9,"[9, 3, 4]",3,"[1.0, 2.2499217987060547, 0.508832573890686]"
8,1,"[1, 3, 4]",3,"[1.0, 2.9688618183135986, 0.9113157987594604]"
8,2,"[2, 3, 4]",3,"[1.0, 2.9783806800842285, 0.843036413192749]"
8,3,"[3, 5, 4]",3,"[1.0, -0.4927769601345062, -0.5234453678131104]"
8,4,"[4, 3, 6]",3,"[1.0, 0.709365725517273, 0.002730429172515869]"
8,5,"[5, 3, 9]",3,"[1.0, 2.173377513885498, 0.0]"
8,6,"[6, 3, 4]",3,"[1.0, 0.9892033934593201, -0.09661366790533066]"
8,7,"[7, 3, 1]",3,"[1.0, 3.693345785140991, 0.28191548585891724]"
8,8,"[8, 3, 4]",3,"[1.0, 3.411693572998047, 1.0618131160736084]"
8,9,"[9, 3, 4]",3,"[1.0, 2.9758994579315186, 0.7399131059646606]"
9,1,"[1, 3, 4]",3,"[1.0, 3.713594675064087, 1.1512339115142822]"
9,2,"[2, 3, 4]",3,"[1.0, 3.7335638999938965, 1.0674878358840942]"
9,3,"[3, 2, 6]",3,"[1.0, -0.5622876882553101, -0.6039543151855469]"
9,4,"[4, 3, 1]",3,"[1.0, 1.2294074296951294, -0.04583775997161865]"
9,5,"[5, 3, 6]",3,"[1.0, 2.9580769538879395, -0.022277167066931725]"
9,6,"[6, 3, 4]",3,"[1.0, 1.7256979942321777, 0.09391743689775467]"
9,7,"[7, 3, 1]",3,"[1.0, 4.568888187408447, 0.3844980299472809]"
9,8,"[8, 3, 4]",3,"[1.0, 4.184664726257324, 1.2781667709350586]"
9,9,"[9, 3, 4]",3,"[1.0, 3.747373580932617, 0.9522923827171326]"
