round,client_id,ref_client_ids,num_refs,importance_values_for_refs
1,1,"[1, 2, 3]",3,"[1.0, 0.0, 0.0]"
1,2,"[2, 1, 3]",3,"[1.0, 0.0, 0.0]"
1,3,"[3, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,4,"[4, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,5,"[5, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,6,"[6, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,7,"[7, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,8,"[8, 1, 2]",3,"[1.0, 0.0, 0.0]"
1,9,"[9, 1, 2]",3,"[1.0, 0.0, 0.0]"
2,1,"[1, 4, 5]",3,"[1.0, 0.0, 0.0]"
2,2,"[2, 1, 3]",3,"[1.0, 0.07343830913305283, 0.0627649575471878]"
2,3,"[3, 1, 4]",3,"[1.0, 0.06618055701255798, 0.0]"
2,4,"[4, 1, 3]",3,"[1.0, 0.059518616646528244, 0.0]"
2,5,"[5, 3, 4]",3,"[1.0, 0.0, 0.0]"
2,6,"[6, 3, 4]",3,"[1.0, 0.0, 0.0]"
2,7,"[7, 3, 4]",3,"[1.0, 0.0, 0.0]"
2,8,"[8, 1, 3]",3,"[1.0, 0.028032219037413597, 0.0]"
2,9,"[9, 3, 4]",3,"[1.0, 0.0, 0.0]"
3,1,"[1, 5, 6]",3,"[1.0, 0.0016392290126532316, 0.0]"
3,2,"[2, 1, 3]",3,"[1.0, 0.21017932891845703, 0.15192553400993347]"
3,3,"[3, 4, 1]",3,"[1.0, 0.23250353336334229, 0.12777391076087952]"
3,4,"[4, 5, 6]",3,"[1.0, 0.0, 0.0]"
3,5,"[5, 4, 6]",3,"[1.0, 0.23611898720264435, 0.0]"
3,6,"[6, 4, 5]",3,"[1.0, 0.14663057029247284, 0.0]"
3,7,"[7, 4, 5]",3,"[1.0, 0.010867360047996044, 0.0]"
3,8,"[8, 4, 5]",3,"[1.0, 0.0, 0.0]"
3,9,"[9, 4, 5]",3,"[1.0, 0.2187601625919342, 0.0]"
4,1,"[1, 6, 7]",3,"[1.0, 0.045040495693683624, 0.0]"
4,2,"[2, 1, 3]",3,"[1.0, 0.31424620747566223, 0.2438734918832779]"
4,3,"[3, 4, 1]",3,"[1.0, 0.6099650859832764, 0.24977681040763855]"
4,4,"[4, 7, 8]",3,"[1.0, 0.0, 0.0]"
4,5,"[5, 4, 6]",3,"[1.0, 0.6586376428604126, 0.17508070170879364]"
4,6,"[6, 4, 7]",3,"[1.0, 0.43855738639831543, 0.0]"
4,7,"[7, 4, 6]",3,"[1.0, 0.3652591109275818, 0.0]"
4,8,"[8, 4, 6]",3,"[1.0, 0.34319838881492615, 0.0]"
4,9,"[9, 4, 6]",3,"[1.0, 0.4593026041984558, 0.0]"
5,1,"[1, 6, 7]",3,"[1.0, 0.3448788523674011, 0.041827112436294556]"
5,2,"[2, 3, 1]",3,"[1.0, 0.5366171002388, 0.39297163486480713]"
5,3,"[3, 4, 1]",3,"[1.0, 1.1078858375549316, 0.32330113649368286]"
5,4,"[4, 9, 2]",3,"[1.0, 0.0, -0.018100213259458542]"
5,5,"[5, 4, 6]",3,"[1.0, 1.117337942123413, 0.4611480236053467]"
5,6,"[6, 4, 8]",3,"[1.0, 0.6654098629951477, 0.0]"
5,7,"[7, 4, 6]",3,"[1.0, 0.6921923756599426, 0.09763766825199127]"
5,8,"[8, 4, 6]",3,"[1.0, 0.6578347682952881, 0.09119178354740143]"
5,9,"[9, 4, 6]",3,"[1.0, 0.8632439970970154, 0.17154479026794434]"
6,1,"[1, 6, 7]",3,"[1.0, 0.7143682837486267, 0.2238127589225769]"
6,2,"[2, 3, 1]",3,"[1.0, 0.9553844928741455, 0.5058091282844543]"
6,3,"[3, 4, 1]",3,"[1.0, 1.7248555421829224, 0.37928369641304016]"
6,4,"[4, 1, 3]",3,"[1.0, -0.025827329605817795, -0.16661499440670013]"
6,5,"[5, 4, 6]",3,"[1.0, 1.714186191558838, 0.7261422872543335]"
6,6,"[6, 4, 9]",3,"[1.0, 1.1085573434829712, 0.0]"
6,7,"[7, 4, 6]",3,"[1.0, 1.0453466176986694, 0.06190408766269684]"
6,8,"[8, 4, 6]",3,"[1.0, 0.9930681586265564, 0.048687614500522614]"
6,9,"[9, 4, 6]",3,"[1.0, 1.3813060522079468, 0.31126996874809265]"
7,1,"[1, 6, 7]",3,"[1.0, 1.0229475498199463, 0.6199415922164917]"
7,2,"[2, 3, 1]",3,"[1.0, 1.5413274765014648, 0.6541424989700317]"
7,3,"[3, 4, 1]",3,"[1.0, 2.513477325439453, 0.3986318111419678]"
7,4,"[4, 6, 7]",3,"[1.0, -0.26037850975990295, -0.37203875184059143]"
7,5,"[5, 4, 6]",3,"[1.0, 2.5493876934051514, 0.8331205248832703]"
7,6,"[6, 4, 9]",3,"[1.0, 1.9214751720428467, -0.003253187285736203]"
7,7,"[7, 4, 6]",3,"[1.0, 1.669142484664917, 0.0016900934278964996]"
7,8,"[8, 4, 7]",3,"[1.0, 1.503563642501831, 0.0]"
7,9,"[9, 4, 6]",3,"[1.0, 2.1497833728790283, 0.36335688829421997]"
8,1,"[1, 6, 7]",3,"[1.0, 1.3079807758331299, 1.1058685779571533]"
8,2,"[2, 3, 1]",3,"[1.0, 2.2647104263305664, 0.8164800405502319]"
8,3,"[3, 4, 1]",3,"[1.0, 3.437567710876465, 0.391868531703949]"
8,4,"[4, 8, 5]",3,"[1.0, -0.3731708824634552, -0.4065968990325928]"
8,5,"[5, 4, 6]",3,"[1.0, 3.5132761001586914, 0.8543790578842163]"
8,6,"[6, 4, 9]",3,"[1.0, 2.8800861835479736, 0.00033795670606195927]"
8,7,"[7, 4, 8]",3,"[1.0, 2.500715732574463, 0.0]"
8,8,"[8, 4, 9]",3,"[1.0, 2.28532338142395, 0.0]"
8,9,"[9, 4, 6]",3,"[1.0, 3.097233772277832, 0.3775802552700043]"
