round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,h2a_num_refs,h2a_reference_mode,h2a_reference_summary,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.004167336052532758,0.0014944251467962392,0.004167336052532758,0.0,0.0,0.004167336052532758,0.0,0.0,,0.0,0.0,353.0,0.0,0.5,0.5,0.5,0.0,1.730248557196723,9,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 1, 2, 3, 4, 5, 6, 7, 8]",0.002535291715623904,10.367652893066406,209.74705505371094,14.482646686766579,12.526625394821167,0.7601943612098694,1.602218124601576,5.382803757985433,2.201043746493683,0.6238383054733276,5211
2,9,0.0015204818158099896,0.0009888146708624769,0.0015204818158099896,0.0,0.0,0.0015204818158099896,0.0,0.0,,0.0,0.0,353.0,0.0,0.9452242785029941,0.8953714370727539,0.9878854751586914,12.24837057131291,3.1902895238664417,5,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 2, 8, 4, 3]",0.0012201628944379208,4.816671848297119,48.88047409057617,6.991457222251751,6.055249646306038,0.9441145062446594,1.131227195262909,2.3601030773586698,1.5099850375344948,0.8185226983494229,5211
3,9,0.001223181110441748,0.0009790922986608727,0.001223181110441748,0.0,0.0,0.001223181110441748,0.0,0.0,,0.0,0.0,353.0,0.0,0.7092687156465318,0.6699593663215637,0.8619318604469299,3.674566708260843,2.6426591873168945,5,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 8, 1, 7, 2]",0.0011155235210037473,4.862720489501953,45.20173645019531,6.72322366504308,6.152982264757156,0.9483204483985901,1.0978641046418085,2.176217900382148,1.4477246430305224,0.8357391489876641,5211
4,9,0.0011061130659319022,0.0008444763339624863,0.0011061130659319022,0.0,0.0,0.0011061130659319022,0.0,0.0,,0.0,0.0,353.0,0.0,0.6225760181744894,0.5903019309043884,0.7058520317077637,2.0137612404814313,2.774979141023424,5,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 8, 6, 3, 5]",0.0010014047279638056,4.305811405181885,36.9301872253418,6.077021246082804,5.462761223316193,0.9577773809432983,1.0225766433609857,1.9464104308022394,1.3697399790678721,0.8513603938950433,5211
5,9,0.0010746211401242308,0.0008533168916240405,0.0010746211401242308,0.0,0.0,0.0010746211401242308,0.0,0.0,,0.0,0.0,353.0,0.0,0.6024240056673685,0.5634293556213379,0.6675615906715393,1.670797818336319,2.7043908304638333,5,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 8, 3, 6, 2]",0.0009648947107304379,4.212366580963135,33.75082778930664,5.809546263634247,5.438046157360077,0.9614123702049255,1.014037509759267,1.8598783413569133,1.3429534303097754,0.855526328086853,5211
6,9,0.0010117302404673786,0.0008414720081804433,0.0010117302404673786,0.0,0.0,0.0010117302404673786,0.0,0.0,,0.0,0.0,353.0,0.0,0.5915306210517883,0.5582662224769592,0.6294454336166382,1.4845971929223094,2.784740765889486,5,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 3, 8, 6, 2]",0.0009271028777096172,4.270166397094727,34.51015090942383,5.874534101477651,5.624739453196526,0.960544228553772,1.001821928554111,1.8446516858206854,1.3295288781828216,0.8581628137164645,5211
7,9,0.0009732634424893678,0.0008212939323321507,0.0009732634424893678,0.0,0.0,0.0009732634424893678,0.0,0.0,,0.0,0.0,353.0,0.0,0.5813253853056166,0.5497807264328003,0.6256486773490906,1.3163968360667544,2.982645458645291,5,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 3, 8, 6, 2]",0.0009190871492992493,4.166878700256348,32.88383483886719,5.734442853396238,5.483531579375267,0.9624035954475403,0.9901041587193807,1.7893481453259785,1.3125123506801404,0.8614266978369819,5211
8,9,0.0009502554141404618,0.0007837628572290101,0.0009502554141404618,0.0,0.0,0.0009502554141404618,0.0,0.0,,0.0,0.0,353.0,0.0,0.5815309683481852,0.5484569668769836,0.6179431676864624,1.318741840220011,2.8769210841920643,5,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 3, 8, 6, 2]",0.0009163848859939404,3.8301572799682617,27.584688186645508,5.252112735523249,5.018579587340355,0.9684621691703796,1.000850584771898,1.7751379542880588,1.3145161716053082,0.8602401481734382,5211
9,9,0.0009348466118312963,0.0007894497010246133,0.0009348466118312963,0.0,0.0,0.0009348466118312963,0.0,0.0,,0.0,0.0,353.0,0.0,0.5785150527954102,0.5568033456802368,0.6101139783859253,1.2682928188335305,2.715137905544705,5,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 3, 8, 6, 2]",0.0008979958443924457,3.8224425315856934,27.864990234375,5.278729983090156,4.96608093380928,0.9681417346000671,0.9838954011599222,1.7489282819959853,1.3011496723423441,0.8652605281935798,5211
10,9,0.0009238650200513788,0.000769438625885164,0.0009238650200513788,0.0,0.0,0.0009238650200513788,0.0,0.0,,0.0,0.0,353.0,0.0,0.5881984896130033,0.5578926801681519,0.6222730875015259,1.4286890530075955,2.835115909576416,5,fixed,"client_1->[1, 8, 6, 7]; client_2->[2, 5, 3, 8]; client_3->[3, 5, 2, 8]; client_4->[4, 2, 5, 3]; client_5->[5, 2, 3, 8]; client_6->[6, 7, 1, 8]; client_7->[7, 6, 1, 8]; client_8->[8, 1, 5, 3]; client_9->[9, 3, 8, 6, 2]",0.0009121639260808796,3.741051197052002,27.029861450195312,5.199025048044615,4.845254495739937,0.9690965414047241,0.9958521789974637,1.7902374002668593,1.3149150828141538,0.8624143931600783,5211
