round,client_id,client_name,reference_mode,ref_client_ids,aggregation_client_ids,num_refs,importance_values_for_refs
1,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 0.0, 0.0, 0.0]"
1,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, 0.0, 0.0, 0.0]"
1,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, 0.0, 0.0, 0.0]"
1,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.0, 0.0, 0.0]"
1,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.0, 0.0, 0.0]"
1,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, 0.0, 0.0, 0.0]"
1,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 0.0, 0.0, 0.0]"
1,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, 0.0, 0.0, 0.0]"
1,9,client_9,fixed,"[9, 1, 2, 3, 4, 5, 6, 7, 8]","[9, 1, 2, 3, 4, 5, 6, 7, 8]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 0.07617153972387314, -0.0027138255536556244, 0.002768583595752716]"
2,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.09212614595890045, -0.06198804825544357, 0.000502999871969223]"
2,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.03817037120461464, 0.01192852109670639, 0.057962581515312195]"
2,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.022061746567487717, -0.05750052258372307, -0.022959187626838684]"
2,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.055556703358888626, 0.05041764676570892, 0.0859137699007988]"
2,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.008980885148048401, -0.016938675194978714, 0.07412800192832947]"
2,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 0.036407966166734695, 0.05192315950989723, 0.09237562119960785]"
2,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.03559992462396622, -0.07882530987262726, -0.04361943155527115]"
2,9,client_9,fixed,"[9, 2, 8, 4, 3]","[9, 2, 8, 4, 3]",5,"[1.0, -0.0022578053176403046, -0.0029328763484954834, -0.01971806399524212, -0.02463347651064396]"
3,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 0.19948041439056396, 0.0038585439324378967, 0.02358224242925644]"
3,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.27006983757019043, -0.17748945951461792, -0.03304458037018776]"
3,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.09641887247562408, 0.022253256291151047, 0.13460569083690643]"
3,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.0631648600101471, -0.13685083389282227, -0.048030316829681396]"
3,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.13136668503284454, 0.14605633914470673, 0.20588308572769165]"
3,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.0190841443836689, -0.07088153809309006, 0.17194822430610657]"
3,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 0.0807487890124321, 0.07214905321598053, 0.23406675457954407]"
3,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.10369653254747391, -0.1636551320552826, -0.03906841576099396]"
3,9,client_9,fixed,"[9, 8, 1, 7, 2]","[9, 8, 1, 7, 2]",5,"[1.0, -0.014310777187347412, -0.03267836198210716, -0.03467833995819092, -0.03565426170825958]"
4,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 0.3640071451663971, 0.06765303760766983, 0.10526295751333237]"
4,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.3338794410228729, -0.16763104498386383, -0.025320421904325485]"
4,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.17073014378547668, -0.05817713215947151, 0.1339123547077179]"
4,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.06055307760834694, -0.15464092791080475, 0.018254108726978302]"
4,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.12107518315315247, 0.25112462043762207, 0.26810866594314575]"
4,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.021686173975467682, -0.16137951612472534, 0.21247437596321106]"
4,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 0.1296563744544983, 0.03432043269276619, 0.3354438543319702]"
4,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.19535396993160248, -0.1892441213130951, 0.047449760138988495]"
4,9,client_9,fixed,"[9, 8, 6, 3, 5]","[9, 8, 6, 3, 5]",5,"[1.0, 0.04868047684431076, -0.03647672012448311, -0.04144323617219925, -0.0481022447347641]"
5,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 0.5387792587280273, 0.1663232147693634, 0.19677439332008362]"
5,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.35738998651504517, -0.08729027956724167, -0.008408240973949432]"
5,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.25525325536727905, -0.16048823297023773, 0.10075166821479797]"
5,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.05841195210814476, -0.15103821456432343, 0.1394357681274414]"
5,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.10474009066820145, 0.3741043210029602, 0.3184279203414917]"
5,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.04671116918325424, -0.28061509132385254, 0.2289440631866455]"
5,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 0.2190445363521576, -0.006578963249921799, 0.45749011635780334]"
5,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.292686402797699, -0.20294374227523804, 0.15880031883716583]"
5,9,client_9,fixed,"[9, 8, 3, 6, 2]","[9, 8, 3, 6, 2]",5,"[1.0, 0.11699608713388443, 0.08849786967039108, -0.01548130065202713, -0.054866645485162735]"
6,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 0.7372943758964539, 0.29719308018684387, 0.2803689241409302]"
6,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.36781013011932373, 0.02778034657239914, 0.006907142698764801]"
6,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.336667001247406, -0.26527518033981323, 0.05620189011096954]"
6,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.06641390919685364, -0.13113519549369812, 0.29600974917411804]"
6,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.08840683102607727, 0.5171385407447815, 0.36267897486686707]"
6,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.09650073945522308, -0.4222738444805145, 0.24222660064697266]"
6,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 0.35629427433013916, -0.03889399766921997, 0.6148542165756226]"
6,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.38839423656463623, -0.20725028216838837, 0.3045696020126343]"
6,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 0.2468283474445343, 0.20294779539108276, 0.03168801590800285, -0.03840501233935356]"
7,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 0.9504196643829346, 0.4573451280593872, 0.3489466905593872]"
7,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.37131813168525696, 0.17798861861228943, 0.024120599031448364]"
7,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.41669392585754395, -0.37468284368515015, 0.0003097616136074066]"
7,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.0818401426076889, -0.1018364429473877, 0.4907827377319336]"
7,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.07445386052131653, 0.6944249868392944, 0.41054919362068176]"
7,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.16355815529823303, -0.5752750635147095, 0.2610265016555786]"
7,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 0.5425341725349426, -0.0567580945789814, 0.8020162582397461]"
7,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.4804304242134094, -0.2086716592311859, 0.48252367973327637]"
7,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 0.43088409304618835, 0.29900816082954407, 0.10712829232215881, -0.014790983870625496]"
8,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 1.180219292640686, 0.646245002746582, 0.39844468235969543]"
8,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.3740920424461365, 0.36104151606559753, 0.04639575630426407]"
8,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.4963465631008148, -0.48257315158843994, -0.06074179336428642]"
8,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.10455580055713654, -0.0730048269033432, 0.7261691093444824]"
8,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.06906150281429291, 0.9099087715148926, 0.46887871623039246]"
8,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.25073787569999695, -0.7388305068016052, 0.2845608592033386]"
8,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 0.7722954154014587, -0.059704337269067764, 1.02227783203125]"
8,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.5703307390213013, -0.21472996473312378, 0.6894834637641907]"
8,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 0.6412278413772583, 0.4080764651298523, 0.21724259853363037, 0.0130684245377779]"
9,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 1.436165452003479, 0.8533023595809937, 0.43115758895874023]"
9,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.37841036915779114, 0.5845469236373901, 0.07945874333381653]"
9,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.5787659883499146, -0.5939980745315552, -0.11774401366710663]"
9,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.13292133808135986, -0.04701121151447296, 1.0054876804351807]"
9,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.07200265675783157, 1.166439175605774, 0.5448768138885498]"
9,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.33569425344467163, -0.899100661277771, 0.3342818319797516]"
9,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 1.0335607528686523, -0.05233645439147949, 1.2835659980773926]"
9,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.6651444435119629, -0.23068884015083313, 0.9241658449172974]"
9,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 0.8713775277137756, 0.5335036516189575, 0.35342782735824585, 0.044084444642066956]"
10,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 1.725538969039917, 1.0752668380737305, 0.45011967420578003]"
10,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.384039968252182, 0.8419821262359619, 0.1265333890914917]"
10,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.6504466533660889, -0.697415828704834, -0.156293585896492]"
10,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.16740702092647552, -0.022826913744211197, 1.331603765487671]"
10,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.0832228735089302, 1.4598984718322754, 0.6415337920188904]"
10,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.4151046872138977, -1.0505690574645996, 0.4211372137069702]"
10,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 1.3246769905090332, -0.0376085489988327, 1.5907654762268066]"
10,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.7693160176277161, -0.25957250595092773, 1.1806079149246216]"
10,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 1.1149808168411255, 0.6797738075256348, 0.5090479850769043, 0.07749590277671814]"
11,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 2.060457706451416, 1.3120789527893066, 0.45791471004486084]"
11,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.3901185393333435, 1.1358463764190674, 0.19197621941566467]"
11,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.697634756565094, -0.7833809852600098, -0.1590605229139328]"
11,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.2088603377342224, 0.0018813107162714005, 1.7081515789031982]"
11,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.10036640614271164, 1.7911529541015625, 0.7626253962516785]"
11,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.4824175238609314, -1.190624713897705, 0.5562328696250916]"
11,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 1.6369067430496216, -0.020046915858983994, 1.9503341913223267]"
11,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -0.885758638381958, -0.30300605297088623, 1.4662280082702637]"
11,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 1.3725306987762451, 0.8537977337837219, 0.6802597045898438, 0.11217787116765976]"
12,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 2.4424870014190674, 1.5584956407546997, 0.4602964222431183]"
12,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.39439862966537476, 1.4696418046951294, 0.2799738943576813]"
12,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.7149655222892761, -0.8495266437530518, -0.12115029990673065]"
12,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.2543554902076721, 0.02707315795123577, 2.148983955383301]"
12,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.1209559515118599, 2.164132595062256, 0.9056664705276489]"
12,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.5307341814041138, -1.3169488906860352, 0.7440750002861023]"
12,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 1.959375262260437, -0.0034571532160043716, 2.353447198867798]"
12,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -1.009644627571106, -0.3577245771884918, 1.7844990491867065]"
12,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 1.6477041244506836, 1.0477558374404907, 0.8579548597335815, 0.14734849333763123]"
13,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 2.873638153076172, 1.8115904331207275, 0.4605332016944885]"
13,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.3954927921295166, 1.8469641208648682, 0.3887125253677368]"
13,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.691733717918396, -0.8936991095542908, -0.03626091778278351]"
13,4,client_4,fixed,"[4, 2, 5, 3]","[4, 2, 5, 3]",4,"[1.0, 0.3021388053894043, 0.05307834595441818, 2.6571834087371826]"
13,5,client_5,fixed,"[5, 2, 3, 8]","[5, 2, 3, 8]",4,"[1.0, 0.14206890761852264, 2.5858280658721924, 1.066239833831787]"
13,6,client_6,fixed,"[6, 7, 1, 8]","[6, 7, 1, 8]",4,"[1.0, -0.5659273266792297, -1.4339370727539062, 0.9775280952453613]"
13,7,client_7,fixed,"[7, 6, 1, 8]","[7, 6, 1, 8]",4,"[1.0, 2.2851991653442383, 0.010460260324180126, 2.8028805255889893]"
13,8,client_8,fixed,"[8, 1, 5, 3]","[8, 1, 5, 3]",4,"[1.0, -1.1376606225967407, -0.42248091101646423, 2.156496524810791]"
13,9,client_9,fixed,"[9, 3, 8, 6, 2]","[9, 3, 8, 6, 2]",5,"[1.0, 1.9460397958755493, 1.2563670873641968, 1.0407915115356445, 0.1814810335636139]"
14,1,client_1,fixed,"[1, 8, 6, 7]","[1, 8, 6, 7]",4,"[1.0, 3.351652145385742, 2.068267345428467, 0.4595186710357666]"
14,2,client_2,fixed,"[2, 5, 3, 8]","[2, 5, 3, 8]",4,"[1.0, -0.39114123582839966, 2.276088237762451, 0.5146264433860779]"
14,3,client_3,fixed,"[3, 5, 2, 8]","[3, 5, 2, 8]",4,"[1.0, -0.6274089217185974, -0.9207160472869873, 0.0928877741098404]"
