round,client_id,client_name,alpha,distance_avg,gamma,ref_client_ids,train_loss,val_loss,meta_loss
1,1,client_1,0.5,0.0,0.1,"[1, 2, 3, 4, 5, 6, 7, 8]",0.008596375653399399,0.0015407718813422666,1.5185452699661255
1,2,client_2,0.5,0.0,0.1,"[2, 1, 3, 4, 5, 6, 7, 8]",0.011453838276041465,0.0015082924667292946,2.0157642364501953
1,3,client_3,0.5,0.0,0.1,"[3, 1, 2, 4, 5, 6, 7, 8]",0.012818584185330844,0.0014008708073954361,1.6186929941177368
1,4,client_4,0.5,0.0,0.1,"[4, 1, 2, 3, 5, 6, 7, 8]",0.011789739775858829,0.0016823953873985626,1.6850401163101196
1,5,client_5,0.5,0.0,0.1,"[5, 1, 2, 3, 4, 6, 7, 8]",0.008496915222914878,0.002466437086075862,1.431993007659912
1,6,client_6,0.5,0.0,0.1,"[6, 1, 2, 3, 4, 5, 7, 8]",0.015234266863933189,0.002753725390092419,1.650085210800171
1,7,client_7,0.5,0.0,0.1,"[7, 1, 2, 3, 4, 5, 6, 8]",0.009152029228439686,0.0015514380742858854,1.6404064893722534
1,8,client_8,0.5,0.0,0.1,"[8, 1, 2, 3, 4, 5, 6, 7]",0.0128492378198955,0.001755834111080701,1.7889267206192017
2,1,client_1,0.8559989333152771,17.82448502909392,0.1,"[1, 4, 6]",0.001404629866629597,0.0010041108181866947,2.6967124938964844
2,2,client_2,0.7074459791183472,8.830118546068357,0.1,"[2, 4, 7]",0.0015879603305182996,0.000989473969218071,2.388044834136963
2,3,client_3,0.7347944378852844,10.190855136917284,0.1,"[3, 7, 4]",0.0017708602576609362,0.0009731527133081648,1.7564914226531982
2,4,client_4,0.8505558371543884,17.389673224339884,0.1,"[4, 7, 5]",0.001524656210735289,0.0012550021151702324,2.3885018825531006
2,5,client_5,0.8509179949760437,17.41819139298362,0.1,"[5, 6, 8]",0.0012296475207748607,0.0012548737786267925,3.1229090690612793
2,6,client_6,0.7939705848693848,13.490275336041426,0.1,"[6, 4, 7]",0.001958304702595205,0.0014319389091986563,1.2061371803283691
2,7,client_7,0.8148292303085327,14.816998375346884,0.1,"[7, 4, 8]",0.0013703345977632766,0.0011316336666983935,2.8835129737854004
2,8,client_8,0.7119531631469727,9.048891667587062,0.1,"[8, 7, 2]",0.0016739817048070768,0.0011543803234861471,2.7126097679138184
3,1,client_1,0.6629531383514404,6.76482374415112,0.1,"[1, 4, 8]",0.0009911909242377652,0.0007642064414134456,4.964099407196045
3,2,client_2,0.6383400559425354,5.681665910000447,0.1,"[2, 4, 7]",0.0012764087239895965,0.0009495914075773826,4.017088413238525
3,3,client_3,0.628882110118866,5.274239496910013,0.1,"[3, 7, 4]",0.0014507234118838906,0.000895840277577831,2.949018955230713
3,4,client_4,0.6629652380943298,6.765366811887361,0.1,"[4, 5, 7]",0.001245869443691657,0.0010123542076169035,3.571014881134033
3,5,client_5,0.6455919146537781,5.997185952903237,0.1,"[5, 6, 7]",0.0009495508308154998,0.0010687156345457914,4.872933864593506
3,6,client_6,0.6303650140762329,5.337830708536785,0.1,"[6, 5, 8]",0.0015857040207570474,0.0012086676572415727,2.1844863891601562
3,7,client_7,0.6088843941688538,4.426251927739941,0.1,"[7, 8, 6]",0.0011618938661906405,0.0008950339185629441,4.017066478729248
3,8,client_8,0.5928120613098145,3.756025584996678,0.1,"[8, 7, 2]",0.0013201121946460263,0.0010407655070718315,4.489302635192871
4,1,client_1,0.6060316562652588,4.306616279024941,0.1,"[1, 4, 2]",0.0009125063203891668,0.0007822153611960541,4.723942756652832
4,2,client_2,0.5795255303382874,3.208261037701353,0.1,"[2, 7, 4]",0.0011318438187437202,0.0008524391254883047,3.566103458404541
4,3,client_3,0.5767696499824524,3.0952638612361625,0.1,"[3, 7, 4]",0.0013346894098522854,0.000810107148927641,2.724536180496216
4,4,client_4,0.5782296061515808,3.155098327435553,0.1,"[4, 7, 5]",0.0010791423187240063,0.0010272462346648783,3.3950090408325195
4,5,client_5,0.585850179195404,3.468362275394611,0.1,"[5, 6, 7]",0.0008528096152233178,0.0009331131123913897,4.871757507324219
4,6,client_6,0.631746232509613,5.397154563261817,0.1,"[6, 1, 2]",0.0015160392644873921,0.0011214686082159546,2.8602406978607178
4,7,client_7,0.5995067358016968,4.034104718632686,0.1,"[7, 1, 2]",0.000998605237512911,0.0007755757328753745,3.9622254371643066
4,8,client_8,0.559736967086792,2.4009465380416564,0.1,"[8, 7, 2]",0.0012119352727670406,0.0009455055010707334,3.957669258117676
5,1,client_1,0.5779391527175903,3.143191629613284,0.1,"[1, 4, 7]",0.0008289183653474481,0.0006835940378581624,3.918498992919922
5,2,client_2,0.5516233444213867,2.072317995785852,0.1,"[2, 7, 4]",0.0010828612987520139,0.0008370116570249745,3.0202949047088623
5,3,client_3,0.568771481513977,2.768405739509035,0.1,"[3, 7, 4]",0.0013090409902460978,0.0009159390830396969,1.1561765670776367
5,4,client_4,0.5740980505943298,2.985911384903981,0.1,"[4, 7, 5]",0.0010264285671046287,0.0009749292428089645,2.267158031463623
5,5,client_5,0.614639937877655,4.668582987156697,0.1,"[5, 6, 7]",0.0007658920686675068,0.0008291442624378697,4.048490047454834
5,6,client_6,0.5771730542182922,3.1117907646112144,0.1,"[6, 8, 7]",0.0014073102138138015,0.001235766330222928,3.1322689056396484
5,7,client_7,0.594025731086731,3.8063272940926254,0.1,"[7, 5, 3]",0.0009145452405338679,0.0007328796039827453,3.681417465209961
5,8,client_8,0.553371787071228,2.1430355118160755,0.1,"[8, 7, 2]",0.001128726237360173,0.0009460575944680425,2.832385540008545
6,1,client_1,0.5465266704559326,1.866464943945175,0.1,"[1, 4, 7]",0.0007782510017308894,0.0007066424409484012,3.0931241512298584
6,2,client_2,0.5401198863983154,1.6082515559295036,0.1,"[2, 7, 4]",0.0010382931251889538,0.0008228504254395648,2.3930411338806152
6,3,client_3,0.5497767925262451,1.997691067799072,0.1,"[3, 7, 4]",0.0012544634875624049,0.0008911791657362325,1.3235944509506226
6,4,client_4,0.5574837923049927,2.309564043447608,0.1,"[4, 7, 6]",0.0009717499210160788,0.0008499952180898544,2.581799268722534
6,5,client_5,0.5586300492286682,2.3560389652169156,0.1,"[5, 6, 7]",0.0007407353329240095,0.0008124205753927637,3.404125452041626
6,6,client_6,0.5644251704216003,2.5914140309905633,0.1,"[6, 3, 4]",0.00137535044669612,0.0010706612957045265,3.3201189041137695
6,7,client_7,0.551414430141449,2.063871959913134,0.1,"[7, 6, 4]",0.0008669028143883971,0.0007825282888707346,3.478205680847168
6,8,client_8,0.5503923296928406,2.02256051976777,0.1,"[8, 7, 2]",0.0010667772881972559,0.0007996904656078865,2.223423480987549
7,1,client_1,0.5389421582221985,1.5608477705682162,0.1,"[1, 4, 7]",0.0007488996500110009,0.0006479557351464975,3.7637877464294434
7,2,client_2,0.5348424911499023,1.3959638440283015,0.1,"[2, 7, 4]",0.0009937967907313258,0.0007477723774649424,2.6922850608825684
7,3,client_3,0.5405939221382141,1.6273387162946165,0.1,"[3, 7, 4]",0.0012269714333891489,0.0011256363764868141,1.4794517755508423
7,4,client_4,0.5287927985191345,1.1529866500447195,0.1,"[4, 7, 6]",0.0009239188589298975,0.0008275483771789561,2.5462417602539062
7,5,client_5,0.5482014417648315,1.934063838479536,0.1,"[5, 6, 7]",0.0006837347224541405,0.0007303975677850289,3.4052720069885254
7,6,client_6,0.5467202663421631,1.874278310579636,0.1,"[6, 7, 5]",0.001301450727074334,0.0009872165757081823,2.6977696418762207
7,7,client_7,0.5326446890830994,1.3076467093390722,0.1,"[7, 6, 4]",0.000844688791132433,0.000661728121293807,3.8337461948394775
7,8,client_8,0.5346569418907166,1.388503971247701,0.1,"[8, 7, 2]",0.001060046950407076,0.0008287843838506551,2.5898313522338867
8,1,client_1,0.533045768737793,1.3237609732605051,0.1,"[1, 4, 7]",0.000726728224667246,0.0006667833658140524,3.270343065261841
8,2,client_2,0.5317022800445557,1.2697940709476825,0.1,"[2, 7, 4]",0.000993403853089676,0.0007471013654254318,2.3817317485809326
8,3,client_3,0.5352858901023865,1.4137862550657398,0.1,"[3, 7, 4]",0.0011964220000201828,0.0008842895994554634,0.830512285232544
8,4,client_4,0.5318454504013062,1.2755438698950456,0.1,"[4, 7, 6]",0.0008985404142021044,0.0008702160822464583,2.2638254165649414
8,5,client_5,0.5384416580200195,1.5407068236187722,0.1,"[5, 6, 7]",0.0006659084314485432,0.000708984919157563,3.068856954574585
8,6,client_6,0.5362463593482971,1.4524013046272255,0.1,"[6, 7, 8]",0.0012846026536932234,0.001162010878171701,2.9790821075439453
8,7,client_7,0.5287299752235413,1.1504662755760364,0.1,"[7, 6, 4]",0.0008264684708626498,0.0007389119061637999,3.6304738521575928
8,8,client_8,0.5341819524765015,1.369414206293489,0.1,"[8, 7, 2]",0.001033770551103728,0.0008200749848701465,1.7242827415466309
9,1,client_1,0.5272445678710938,1.0908624373259954,0.1,"[1, 4, 7]",0.0007134427032749594,0.0007451243928791443,3.504642963409424
9,2,client_2,0.5279197692871094,1.117954557169772,0.1,"[2, 7, 4]",0.000969365303571688,0.0007196316846157652,1.8317523002624512
9,3,client_3,0.5373620986938477,1.4972759526184138,0.1,"[3, 7, 4]",0.0011922272073742674,0.0008717883410146901,1.1000102758407593
9,4,client_4,0.5301941633224487,1.2092372641976301,0.1,"[4, 7, 6]",0.0008781370638319615,0.0007691338222004356,2.1284008026123047
9,5,client_5,0.5352022647857666,1.4104229862180848,0.1,"[5, 6, 7]",0.0006566519849825134,0.0007921008048591608,3.0021889209747314
9,6,client_6,0.5351939797401428,1.4100903672127363,0.1,"[6, 7, 1]",0.0012619439124707946,0.0009188707969981603,2.206730604171753
9,7,client_7,0.5240612030029297,0.9631911180428384,0.1,"[7, 6, 4]",0.0007888286104817394,0.000790896557676823,3.456439256668091
9,8,client_8,0.5343170762062073,1.3748432162052875,0.1,"[8, 7, 2]",0.0010028172695163435,0.0007639326173795172,1.6007024049758911
10,1,client_1,0.529086709022522,1.1647826974998072,0.1,"[1, 4, 7]",0.0006985195457505364,0.0006490174168104249,3.1620781421661377
10,2,client_2,0.5300121903419495,1.201931468162608,0.1,"[2, 7, 4]",0.0009685785749297003,0.0007003969379564087,2.5066301822662354
10,3,client_3,0.5346629619598389,1.3887460710539017,0.1,"[3, 7, 4]",0.0011702338585359814,0.0008035846850494321,1.0128960609436035
10,4,client_4,0.5313581228256226,1.2559742609155364,0.1,"[4, 7, 6]",0.000848778388178121,0.0007322625528129736,2.042120933532715
10,5,client_5,0.5380151271820068,1.5235460853630987,0.1,"[5, 6, 7]",0.0006444800105842691,0.0008070641687801409,2.8338263034820557
10,6,client_6,0.529586136341095,1.1848300099469877,0.1,"[6, 7, 4]",0.0012371306425943433,0.0009098754045836781,2.938570022583008
10,7,client_7,0.5276371240615845,1.1066137646848802,0.1,"[7, 6, 4]",0.0007987318769873792,0.0006639693234899716,3.459530830383301
10,8,client_8,0.5330992937088013,1.3259104402532103,0.1,"[8, 7, 2]",0.0009738950546214739,0.0009461718014620331,1.5961942672729492
11,1,client_1,0.5291045904159546,1.165500699915962,0.1,"[1, 4, 7]",0.0007094848343670427,0.0007713292924771445,3.3661930561065674
11,2,client_2,0.5293400287628174,1.174951773675275,0.1,"[2, 7, 4]",0.0009373294850443912,0.0007134889139062124,2.35561466217041
11,3,client_3,0.5379946231842041,1.5227204856443375,0.1,"[3, 7, 4]",0.0011688944511746065,0.0010288386106642288,1.1651333570480347
11,4,client_4,0.5254868268966675,1.0203581935881327,0.1,"[4, 7, 6]",0.0008601746826163463,0.0007376476619515952,2.395991086959839
11,5,client_5,0.5382059216499329,1.5312225917393032,0.1,"[5, 6, 7]",0.0006434726178009434,0.000875947702193686,2.6149840354919434
11,6,client_6,0.5296549797058105,1.1875926277813658,0.1,"[6, 7, 2]",0.001247740462369514,0.0010166159290396787,2.597508668899536
11,7,client_7,0.5243772864341736,0.9758645124093164,0.1,"[7, 6, 4]",0.0007790822420536073,0.0007129149474081162,3.2996721267700195
11,8,client_8,0.5368518829345703,1.476752106847319,0.1,"[8, 7, 2]",0.0009833911231896056,0.000757463683890153,1.2931870222091675
12,1,client_1,0.5291413068771362,1.1669752913197347,0.1,"[1, 4, 7]",0.0006833289604498868,0.0005584931473296499,3.1854593753814697
12,2,client_2,0.5301885604858398,1.2090134658501484,0.1,"[2, 7, 4]",0.0009529108011700296,0.0009750026203179026,2.259552001953125
12,3,client_3,0.5350769758224487,1.4053873248243083,0.1,"[3, 7, 4]",0.0011538399358554173,0.0008267060407136952,1.2664084434509277
12,4,client_4,0.5273690819740295,1.0958578848512843,0.1,"[4, 7, 6]",0.0008621629938607336,0.0006986301612994337,2.597940683364868
12,5,client_5,0.5368366837501526,1.4761432389980957,0.1,"[5, 6, 7]",0.0006210104627517073,0.0006191547585407233,2.8992342948913574
12,6,client_6,0.5279064774513245,1.1174210031361629,0.1,"[6, 7, 4]",0.0012412875872209743,0.0009461636328193994,2.9708611965179443
