round,client_id,ref_client_ids,num_refs,importance_values_for_refs
1,1,"[1, 2, 3, 4, 5, 6, 7, 8]",8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,2,"[2, 1, 3, 4, 5, 6, 7, 8]",8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,3,"[3, 1, 2, 4, 5, 6, 7, 8]",8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,4,"[4, 1, 2, 3, 5, 6, 7, 8]",8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,5,"[5, 1, 2, 3, 4, 6, 7, 8]",8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,6,"[6, 1, 2, 3, 4, 5, 7, 8]",8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,7,"[7, 1, 2, 3, 4, 5, 6, 8]",8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,8,"[8, 1, 2, 3, 4, 5, 6, 7]",8,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,1,"[1, 4, 6]",3,"[1.0, 0.008012603968381882, -0.0024999193847179413]"
2,2,"[2, 4, 7]",3,"[1.0, 0.0341063067317009, 0.03307460620999336]"
2,3,"[3, 7, 4]",3,"[1.0, 0.023059995844960213, 0.0216778963804245]"
2,4,"[4, 7, 5]",3,"[1.0, 0.0018407199531793594, 0.00025410018861293793]"
2,5,"[5, 6, 8]",3,"[1.0, 0.009359605610370636, 0.0036157816648483276]"
2,6,"[6, 4, 7]",3,"[1.0, 0.004915166646242142, -0.003951799124479294]"
2,7,"[7, 4, 8]",3,"[1.0, 0.0050927624106407166, -0.00501357764005661]"
2,8,"[8, 7, 2]",3,"[1.0, 0.039911121129989624, 0.03763436898589134]"
3,1,"[1, 4, 8]",3,"[1.0, 0.01951390877366066, -0.0039518121629953384]"
3,2,"[2, 4, 7]",3,"[1.0, 0.1255524754524231, 0.12082003057003021]"
3,3,"[3, 7, 4]",3,"[1.0, 0.11828237026929855, 0.059518031775951385]"
3,4,"[4, 5, 7]",3,"[1.0, 0.06334811449050903, 0.051560088992118835]"
3,5,"[5, 6, 7]",3,"[1.0, 0.007407627999782562, 0.002439446747303009]"
3,6,"[6, 5, 8]",3,"[1.0, -0.005983728915452957, -0.006007811054587364]"
3,7,"[7, 8, 6]",3,"[1.0, -0.009457319974899292, -0.013161137700080872]"
3,8,"[8, 7, 2]",3,"[1.0, 0.17963597178459167, 0.13251934945583344]"
4,1,"[1, 4, 2]",3,"[1.0, 0.021857302635908127, -0.006433375179767609]"
4,2,"[2, 7, 4]",3,"[1.0, 0.29109662771224976, 0.2308773398399353]"
4,3,"[3, 7, 4]",3,"[1.0, 0.21027874946594238, 0.08500084280967712]"
4,4,"[4, 7, 5]",3,"[1.0, 0.10630449652671814, 0.07908567041158676]"
4,5,"[5, 6, 7]",3,"[1.0, 0.03121010959148407, 0.02325265109539032]"
4,6,"[6, 1, 2]",3,"[1.0, -0.00963621586561203, -0.013746844604611397]"
4,7,"[7, 1, 2]",3,"[1.0, -0.015981260687112808, -0.02150583453476429]"
4,8,"[8, 7, 2]",3,"[1.0, 0.3390355706214905, 0.19915339350700378]"
5,1,"[1, 4, 7]",3,"[1.0, 0.037978991866111755, -0.006742242723703384]"
5,2,"[2, 7, 4]",3,"[1.0, 0.4598628580570221, 0.3356567919254303]"
5,3,"[3, 7, 4]",3,"[1.0, 0.2953703999519348, 0.12297973036766052]"
5,4,"[4, 7, 5]",3,"[1.0, 0.1523331105709076, 0.04637141153216362]"
5,5,"[5, 6, 7]",3,"[1.0, 0.13575105369091034, 0.08621451258659363]"
5,6,"[6, 8, 7]",3,"[1.0, -0.015135383233428001, -0.018849652260541916]"
5,7,"[7, 5, 3]",3,"[1.0, -0.03888280689716339, -0.04143000394105911]"
5,8,"[8, 7, 2]",3,"[1.0, 0.5192181468009949, 0.2832641005516052]"
6,1,"[1, 4, 7]",3,"[1.0, 0.11665826290845871, 0.06896013021469116]"
6,2,"[2, 7, 4]",3,"[1.0, 0.6414387226104736, 0.450922429561615]"
6,3,"[3, 7, 4]",3,"[1.0, 0.43096035718917847, 0.20028436183929443]"
6,4,"[4, 7, 6]",3,"[1.0, 0.21757358312606812, -0.0008514281362295151]"
6,5,"[5, 6, 7]",3,"[1.0, 0.30398839712142944, 0.20393578708171844]"
6,6,"[6, 3, 4]",3,"[1.0, -0.03197469934821129, -0.035307519137859344]"
6,7,"[7, 6, 4]",3,"[1.0, -0.04848071560263634, -0.0552644319832325]"
