round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.0024300580873341765,0.002668849822278267,0.0024300580873341765,0.0,0.0,0.0024300580873341765,0.0,0.0,0.4280022978782654,0.3002832861189802,106.0,353.0,2.0133707342514146e-05,0.0026292812364789647,3.126664876937866,5.1666875449138185,371970650.0,0.9881083965301514,0.5245636933379703,0.9862226957202959,0.9661595821380615,5211
2,9,0.002357557847717479,0.0025951789734083744,0.002357557847717479,4.487783328417625e-05,0.0004487783328417626,0.002806336181666246,0.19198114206946412,0.19035729413210364,0.42880189418792725,0.3002832861189802,106.0,353.0,0.00010593008159452843,0.002498250329587076,2.961181879043579,4.907999686454881,381454800.0,0.9892693758010864,0.5164798630608453,0.9617613475633325,0.9678763747215271,5211
3,9,0.0022645048395780343,0.0024667035796983065,0.0022645048395780343,2.157375586190305e-05,0.00021573755861903053,0.0024802423967640375,0.09601448974807919,0.09526919737736647,0.43057671189308167,0.3002832861189802,106.0,353.0,3.7245672501740046e-05,0.002454623840428408,3.007229804992676,4.9122569249708254,388270575.0,0.9892507195472717,0.510977307955424,0.9527771419160553,0.9684240354432,5211
4,9,0.0022343786033862814,0.002485332764005482,0.0022343786033862814,1.4472356770064226e-05,0.00014472356770064225,0.0023791021689044413,0.06530357454115099,0.06477128245702728,0.4313780963420868,0.3002832861189802,106.0,353.0,2.1468407794600353e-05,0.002388930047926661,2.62717866897583,4.769772785141343,155379675.0,0.9898653030395508,0.47487978802786934,0.9403996824497768,0.9692675272623698,5211
5,9,0.002201393245292645,0.0024916643948883926,0.002201393245292645,1.104947738186883e-05,0.0001104947738186883,0.0023118880202462693,0.050239523432386836,0.05019311020635317,0.4309852421283722,0.3002832861189802,106.0,353.0,1.4835578945672347e-05,0.0023687290334747997,2.514294147491455,4.719685442836343,119685875.0,0.990077018737793,0.4596890111764272,0.9362344043220633,0.9695281386375427,5211
6,9,0.0021879976545841648,0.002542222382068567,0.0021879976545841648,9.000222463113581e-06,9.000222463113579e-05,0.0022779998781445186,0.04153597273851718,0.04113451602721505,0.4323212504386902,0.3002832861189802,106.0,353.0,1.0124263200042253e-05,0.002388259075604487,2.7651166915893555,4.833068489623401,189574525.0,0.9895945191383362,0.4794432951344384,0.9400293898389287,0.9692495796415541,5211
7,9,0.0021897101761500872,0.002430747512877021,0.0021897101761500872,7.972163867977228e-06,7.972163867977228e-05,0.0022694318154048952,0.03664862013459808,0.03640739286489967,0.4309123456478119,0.3002832861189802,106.0,353.0,8.260935677147549e-06,0.0023616753911405845,2.5731003284454346,4.741281438552813,136614162.5,0.989986002445221,0.4639964997768402,0.9354304043995713,0.9696084989441766,5211
8,9,0.0021663492542634264,0.00250235670265893,0.0021663492542634264,7.3685992930862575e-06,7.368599293086257e-05,0.0022400352468055834,0.034303691763389745,0.03401390276837075,0.4315265715122223,0.3002832861189802,106.0,353.0,7.3061098393938864e-06,0.002402145783355268,2.6845479011535645,4.746292474298957,206539762.5,0.9899648427963257,0.48479032185342574,0.9438820263284904,0.969151582982805,5211
9,9,0.002155946486427338,0.002435017857889059,0.002155946486427338,6.5077626309900485e-06,6.50776263099005e-05,0.0022210241118128843,0.030311655637726413,0.03018517699275401,0.4312954246997833,0.3002832861189802,106.0,353.0,7.397252880360207e-06,0.0023358589750826597,2.521667718887329,4.684852157425939,118816375.0,0.9902229309082031,0.4582713842391968,0.9297021052852412,0.9699370066324869,5211
10,9,0.0021431359558538744,0.0023868495675015483,0.0021431359558538744,6.211169421152132e-06,6.211169421152133e-05,0.002205247650201563,0.029158683897044537,0.028981686398795416,0.43101489543914795,0.3002832861189802,106.0,353.0,5.411345556341176e-06,0.002321182194006088,2.4708526134490967,4.647513982250076,94489593.75,0.9903781414031982,0.4605560070938534,0.9268568202796063,0.970127542813619,5211
