round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_param_exact_names,head_personalization_tau,use_head_importance_ema,head_importance_ema_beta,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
1,9,0.004112978580731094,0.0015090394399977678,0.004112978580731094,0.0,0.0,0.004112978580731094,0.0,0.0,1.1837624311447144,0.3018640809588962,0.16184349358081818,0.7573631405830383,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,True,0.5,0.0024651427704895468,10.750980377197266,225.73306274414062,15.024415554161854,12.590652704238892,0.7419173717498779,1.5392440425025091,4.827895614835951,2.1572289538649376,0.6269244949022929,5211,,,,,,,
2,9,0.0015324579451860723,0.0010530607691703097,0.0015324579451860723,0.000128363445082885,0.000128363445082885,0.0016608213900042134,0.0841904525135006,0.0837631110219706,1.1829485893249512,0.02030633172641198,0.008685033768415451,0.05036201328039169,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,True,0.5,0.0010353960817621162,5.094825744628906,50.150211334228516,7.081681391747903,6.6985465586185455,0.9426628351211548,1.0587815973493788,2.0877799325519137,1.4128723699214898,0.8433525562286377,5211,,,,,,,
3,9,0.0012610382251878557,0.0009888609925944925,0.0012610382251878557,8.691479674494267e-05,8.691479674494267e-05,0.0013479530209305375,0.06861847817782124,0.06892320545086716,1.1797690391540527,0.022740554581913684,0.00903616938740015,0.04836701229214668,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,True,0.5,0.0008965423711442696,4.239414691925049,34.91655731201172,5.909023380560591,5.506014823913574,0.9600796103477478,0.977027051978641,1.7792518470022414,1.3101849351124488,0.8630209498935275,5211,,,,,,,
4,9,0.0011657810442622712,0.0008540241709911544,0.0011657810442622712,6.98848227211081e-05,6.98848227211081e-05,0.0012356658677455889,0.06004024147406233,0.059946782464099665,1.1796374320983887,0.014830141224794917,0.008036897517740726,0.03201545029878616,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,True,0.5,0.0008524306669156936,4.01783561706543,31.250234603881836,5.5901909273191945,5.212559178471565,0.9642713069915771,0.9550305472479926,1.6872066391838922,1.276913296396775,0.8694163031048245,5211,,,,,,,
5,9,0.0011119495458516964,0.0008738678730033151,0.0011119495458516964,6.300537011835987e-05,6.300537011835987e-05,0.0011749549154076767,0.055680258922896596,0.05666207634757286,1.1771320104599,0.015342074808561139,0.007475721184164286,0.025169383734464645,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,True,0.5,0.0008555514899538681,4.071381092071533,32.04999542236328,5.661271537593236,5.199617147445679,0.9633569717407227,0.948206901550293,1.6825605167282953,1.2764838325443684,0.8686208195156522,5211,,,,,,,
6,9,0.0010783339619139327,0.0008497452560115456,0.0010783339619139327,5.5657226510693976e-05,5.5657226510693976e-05,0.001133991187714782,0.05189443513459426,0.051614090277091886,1.176093578338623,0.01524886747615205,0.00837574154138565,0.022489290684461594,0.10044642857142859,90.0,896.0,5.38483097519323e-07,True,5,1,True,attention,,0.1,True,0.5,0.0008403946092323844,4.399459362030029,33.63004684448242,5.799141905875595,5.913233011960983,0.9615504741668701,0.9770105216238234,1.6788922283384535,1.2710562397226233,0.8719357980622185,5211,,,4.680636483713998e-06,7.595979564770087e-08,58.535113753135974,1.0114826727531867,0.8570152159854569
7,9,0.0010221820929671227,0.0007712168343956794,0.0010221820929671227,4.614182452985001e-05,4.614182452985001e-05,0.001068323916846243,0.046324128184696986,0.04514051341945549,1.1745460033416748,0.014642213264273273,0.004380703903734684,0.025964146479964256,0.10044642857142859,90.0,896.0,5.529067992584816e-07,True,5,1,True,attention,,0.1,True,0.5,0.0007995224067803523,3.7712883949279785,26.4416561126709,5.142145088644514,4.9735236912965775,0.9697690010070801,0.9364109370443556,1.5830499860975478,1.2368580039149863,0.8777083158493042,5211,0.7726628457760872,0.026537699004014332,4.7654232129849495e-06,8.252655554281685e-08,56.663145237176096,1.0202833937698856,0.8529727307093784
8,9,0.0010123493916432676,0.0007704407719097904,0.0010123493916432676,4.440626049339335e-05,4.440626049339335e-05,0.0010567556518226466,0.04445460708090951,0.04386455982103924,1.1761759519577026,0.016618443239066336,0.007665177807211876,0.025912616401910782,0.10044642857142859,90.0,896.0,5.766514448168891e-07,True,5,1,True,attention,,0.1,True,0.5,0.0007931048791622659,3.8858180046081543,27.33679962158203,5.228460540310315,5.145293474197388,0.9687455892562866,0.9393611682785882,1.5761524438858032,1.2332076311447024,0.8784975012143453,5211,0.8055074637717661,0.021825397180186376,4.986818440517518e-06,8.42010321612683e-08,58.456780840816315,1.0135370229411123,0.8579176640390697
9,9,0.0009832215474643285,0.000824913509011082,0.0009832215474643285,3.737211624556603e-05,3.737211624556603e-05,0.0010205936646958307,0.03872790188933768,0.03800986288790832,1.1777329444885254,0.01460242447339826,0.006321500055491924,0.024150848388671875,0.10044642857142859,90.0,896.0,6.340132156563211e-07,True,5,1,True,attention,,0.1,True,0.5,0.0008206542283055657,4.392049789428711,31.9636287689209,5.653638542471644,6.037288159132004,0.9634556770324707,0.9751612411604987,1.64127602842119,1.2559186261994304,0.8754179345236884,5211,0.7578666209734171,0.028273809494243726,5.42949938891171e-06,9.853709936164055e-08,55.60757884908874,1.0179898497946565,0.8559492795997519
10,9,0.0009498677723276288,0.0007768428241296586,0.0009498677723276288,3.331805146708984e-05,3.331805146708984e-05,0.0009831858231117074,0.03598658710081101,0.03507651528208839,1.1769418716430664,0.013498990796506405,0.005405479110777378,0.026031820103526115,0.10044642857142859,90.0,896.0,9.028228254869141e-07,True,5,1,True,attention,,0.1,True,0.5,0.0007768739274601024,3.6990582942962646,24.91665267944336,4.991658309564404,4.894955828785896,0.9715125560760498,0.9293231235610114,1.5392176508903503,1.2194574479833524,0.8809752795431349,5211,0.7466134514114998,0.029761904540161293,7.886383329175966e-06,1.2302078294839249e-07,64.11977766040746,1.0235693953838962,0.8716483765703491
