round,client_id,client_name,tau,head_prefixes,head_exact_names,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,use_head_importance_ema,head_importance_ema_beta,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.1,attention,,896,90,0.10044642857142858,,,True,0.5,1.3089167511124186e-05,1.4557822651580511e-07,4.579867209031363e-06,2.06231689503511e-08,1.3455124872052693e-06,0.00017969189502764493,1.103224076085289e-14,1.3355544297155575e-06,1.3455124872052693e-06,89.91095655878577,222.06311536995997,1.0074553682072427,0.001178025035187602,0.00011733605060726404,0.9094182673824249,1.3089166714053135e-05,8.650788418940181e-11
6,2,client_2,0.1,attention,,896,90,0.10044642857142858,,,True,0.5,5.211366965340858e-06,1.0776688940518015e-07,3.767110229091486e-06,1.2115211056595854e-08,1.6047417830122868e-06,3.458106584730558e-05,2.1171304760583907e-15,1.6031017366913147e-06,1.6047417830122868e-06,48.35732604679144,310.91487359332,1.001022421260633,0.00046902301255613565,8.686012006364763e-05,0.84374391700278,5.211366897128755e-06,4.542950043928684e-11
6,3,client_3,0.1,attention,,896,90,0.10044642857142858,,,True,0.5,3.992633531248026e-06,6.686189771061084e-08,1.251281844361074e-06,1.296091456381987e-08,6.282093067966343e-07,9.418924310011789e-05,2.4723943053452102e-14,6.264856438065181e-07,6.282093067966343e-07,59.713737632618525,96.53526399979,1.0027497202169378,0.0003593370201997459,5.38906897418201e-05,0.8695859708463726,3.99263308281661e-06,6.601710844655884e-11
6,4,client_4,0.1,attention,,896,90,0.10044642857142858,,,True,0.5,1.4092801605001012e-06,4.2530857545971196e-08,8.287805428608408e-07,9.74555192101434e-09,3.7055139046060503e-07,9.566512744640931e-06,3.3582796374505286e-14,3.617253412357968e-07,3.7055139046060503e-07,33.13469577426426,85.03320451963368,1.0243970322831855,0.00012683520617429167,3.427987394388765e-05,0.7872336052840202,1.4092802302911878e-06,4.6090499472573043e-11
6,5,client_5,0.1,attention,,896,90,0.10044642857142858,,,True,0.5,3.1958394913544907e-06,6.489630825696395e-08,1.6097556567729043e-06,1.222999435057659e-08,6.417931786018016e-07,2.9592809369205497e-05,2.0384614440492003e-15,6.24211395461316e-07,6.417931786018016e-07,49.2445615571668,131.61281990920205,1.0281647453147622,0.00028762556030415,5.23064227309078e-05,0.8461267953958891,3.1958395538822515e-06,3.7933083757435426e-11
6,6,client_6,0.1,attention,,896,90,0.10044642857142858,,,True,0.5,2.483185614386861e-06,5.3696968773197235e-08,1.0403277883597184e-06,1.3527980069483192e-08,5.034971763961948e-07,4.8119734856300056e-05,2.864959348046741e-15,5.021024662710261e-07,5.034971763961948e-07,46.24356695641561,76.89624665102039,1.0027757428872568,0.00022348669881466776,4.327976057538763e-05,0.837761607991853,2.4831854261719855e-06,4.0397477030218454e-11
6,7,client_7,0.1,attention,,896,90,0.10044642857142858,,,True,0.5,3.7858838204051102e-06,7.469953089711494e-08,1.5238782111737237e-06,1.2304547603037008e-08,7.227653213703888e-07,5.495302320923656e-05,1.7480117288533326e-14,7.092117471074744e-07,7.227653213703888e-07,50.68081544988494,123.83668409828675,1.0191093213118187,0.00034072951530106366,6.020782166160643e-05,0.8498323379719447,3.7858837913518073e-06,4.731375707889285e-11
6,8,client_8,0.1,attention,,896,90,0.10044642857142858,,,True,0.5,4.9455229417263685e-06,5.08530074613053e-08,1.4020690173310868e-06,8.779477589371254e-09,5.751287517341552e-07,0.00012292909377720207,6.267552133525721e-17,5.695109166481416e-07,5.751287517341552e-07,97.24942415775995,159.6802683066224,1.0098625418043428,0.00044509704457595944,4.0987524698721245e-05,0.9156782004506754,4.945522960042581e-06,3.008393187342584e-11
6,9,client_9,0.1,attention,,896,90,0.10044642857142858,,,True,0.5,4.012848317339983e-06,7.675447426315899e-08,1.7768567772691313e-06,1.67978493337273e-08,7.060951929815928e-07,4.4539970986079425e-05,1.2481461405804031e-15,7.006242981333344e-07,7.060951929815928e-07,52.28093964453641,105.7725289375451,1.0078071614925008,0.0003611563879530877,6.186410610098392e-05,0.853756241543152,4.012848421552917e-06,4.9469105894983656e-11
7,1,client_1,0.1,attention,,896,90,0.10044642857142858,0.8947368421052632,0.01116071455180645,True,0.5,1.0241697624577581e-05,1.1992218015627294e-07,3.989209517385461e-06,2.1852959442014708e-08,1.0180377785218298e-06,0.00012595253065228462,2.5059435863200585e-14,1.014732220028236e-06,1.0180377785218298e-06,85.40215170437888,182.53943995686748,1.0032565786044747,0.0009217527695000172,9.665727702667937e-05,0.9050900192300532,1.0241697054880206e-05,1.9651989757729638e-10
7,2,client_2,0.1,attention,,896,90,0.10044642857142858,0.8947368421052632,0.01116071455180645,True,0.5,4.649059140623042e-06,1.004331122874856e-07,3.0686355785292108e-06,1.538078642226992e-08,1.3672635077455197e-06,2.7087422495242208e-05,1.0967251310941856e-14,1.3227934232418193e-06,1.3672635077455197e-06,46.28964238082214,199.49799680526093,1.0336175324921,0.0004184153222013265,8.094908844213933e-05,0.8378957579781736,4.6490590648318175e-06,1.274683969487711e-10
7,3,client_3,0.1,attention,,896,90,0.10044642857142858,0.8181818181818182,0.02008928544819355,True,0.5,4.187050962577309e-06,6.557511691618279e-08,1.3039806958659028e-06,1.614085487489092e-08,6.126044809207087e-07,6.600706547033042e-05,3.4091325140477025e-13,6.103983878347208e-07,6.126044809207087e-07,63.85024242788054,80.78258081072697,1.00361254144407,0.0003768345923162997,5.285353836370632e-05,0.8769955801267814,4.1870512177411e-06,1.3960324563022652e-10
7,4,client_4,0.1,attention,,896,90,0.10044642857142858,0.5929203539823009,0.0513392873108387,True,0.5,2.18197452884144e-06,6.250108723418894e-08,1.3555431905842852e-06,1.543608973975097e-08,6.435398063331377e-07,1.1192102647328284e-05,7.47908543907369e-14,6.354700303745631e-07,6.435398063331377e-07,34.91042660168778,87.81079940824084,1.012697315177088,0.0001963777031050995,5.0375874707242474e-05,0.7958454100252231,2.1819744233653182e-06,1.267928401160745e-10
7,5,client_5,0.1,attention,,896,90,0.10044642857142858,0.7821782178217822,0.0245535708963871,True,0.5,2.965190075580419e-06,6.939156166638905e-08,1.3803676779389207e-06,1.6324122498190263e-08,6.129116627562325e-07,3.700011075125076e-05,7.388478663519077e-14,6.021779199727462e-07,6.129116627562325e-07,42.730661678636906,84.55481287150786,1.017823179170689,0.0002668671077117324,5.592960224021226e-05,0.8267342840164855,2.965190105896909e-06,9.7098169782317e-11
7,6,client_6,0.1,attention,,896,90,0.10044642857142858,0.6363636363636364,0.0446428582072258,True,0.5,2.93615607094782e-06,7.844410095898479e-08,1.4449139484895568e-06,1.6298731253527876e-08,7.11448592483066e-07,4.003028880106285e-05,1.498498523075202e-14,7.000552386671188e-07,7.11448592483066e-07,37.429438359483996,88.64648907489335,1.0162734837384462,0.000264254049398005,6.322594708763063e-05,0.8069318780595022,2.936156079158536e-06,1.0732784799794004e-10
7,7,client_7,0.1,attention,,896,90,0.10044642857142858,0.6981132075471698,0.0357142873108387,True,0.5,4.5882792796368854e-06,9.966956810951871e-08,2.4113502377076657e-06,1.5343895043429256e-08,1.0934029432974057e-06,3.925442069885321e-05,4.081768560301735e-13,1.021857656269276e-06,1.0934029432974057e-06,46.03444493860266,157.14348197775487,1.0700138777405206,0.00041294514085166156,8.033366611925885e-05,0.8371434859532935,4.588278898154385e-06,1.1578363268149872e-10
7,8,client_8,0.1,attention,,896,90,0.10044642857142858,0.8367346938775511,0.01785714365541935,True,0.5,5.027105133750511e-06,6.164994266742308e-08,1.6621732470412098e-06,1.2309396169030151e-08,6.68590587338258e-07,9.018610580824316e-05,3.331707483329244e-16,6.59851252748922e-07,6.68590587338258e-07,81.5414155282151,135.0219135288934,1.0132428654337884,0.00045243947533890605,4.9689853767631575e-05,0.901041720153872,5.0271050895389635e-06,7.827215958711164e-11
7,9,client_9,0.1,attention,,896,90,0.10044642857142858,0.8,0.0223214291036129,True,0.5,6.112296100329534e-06,8.515232988890574e-08,2.484915853528946e-06,1.6729944540827546e-08,7.485801347684173e-07,5.6133183534257114e-05,4.792568658552529e-14,7.39693064133462e-07,7.485801347684173e-07,71.77988351487683,148.52214992794646,1.0120131701277948,0.0005501066334545612,6.863277667434886e-05,0.889076440841022,6.112295977800386e-06,1.204647492869526e-10
8,1,client_1,0.1,attention,,896,90,0.10044642857142858,0.7647058823529411,0.02678571455180645,True,0.5,9.33390222523182e-06,1.170067483502999e-07,3.5587116826718557e-06,1.988579700906712e-08,1.046347051669727e-06,0.00011357013136148453,9.142293584500638e-14,1.0331120847695274e-06,1.046347051669727e-06,79.7716592006182,178.9484591736572,1.0128097950701611,0.0008400511578656733,9.43074410315603e-05,0.8990671867932368,9.333902198704891e-06,2.1413033846062746e-10
