round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share
6,1,client_1,0.1,fc1,336,34,0.10119047619047619,,,5.0614804833645284e-06,9.458174109123377e-08,2.59996352269809e-06,0.0,7.136713406907802e-07,2.2595919290324673e-05,0.0,7.122591227926023e-07,53.51378512579017,1.0019813237509982,0.8576470624307523
6,2,client_2,0.1,fc1,336,34,0.10119047619047619,,,1.2780787958423816e-06,2.213948442423499e-08,7.114722393453121e-07,0.0,2.400066989594052e-07,5.324144694895949e-06,0.0,2.3717572616988036e-07,57.72587317210619,1.011931916066241,0.8666530150401595
6,3,client_3,0.1,fc1,336,34,0.10119047619047619,,,1.600458253559576e-06,9.509429958306254e-08,1.3458411558531225e-06,0.0,8.593688676228339e-07,4.637284291675314e-06,0.0,8.533194204574102e-07,16.830045865323022,1.0070881312815432,0.6545521937280234
6,4,client_4,0.1,fc1,336,34,0.10119047619047619,,,1.3954937158774448e-06,1.5251711006617095e-08,5.646943179726804e-07,0.0,1.9842340748255083e-07,1.3322760423761792e-05,0.0,1.962739872851671e-07,91.49152011547565,1.0109459703811485,0.9115125968638361
6,5,client_5,0.1,fc1,336,34,0.10119047619047619,,,3.2569638355706797e-06,6.587388100394523e-08,1.166840036148642e-06,0.0,4.862663445237558e-07,5.352353400667198e-05,0.0,4.780704330187291e-07,49.441665562562775,1.0171416046620498,0.8477087263602198
6,6,client_6,0.1,fc1,336,34,0.10119047619047619,,,2.406320262212723e-06,9.075898967268985e-08,1.2535367091004446e-06,0.0,7.254811862367205e-07,2.324382876395248e-05,0.0,7.240084300974559e-07,26.513007228082547,1.0020327858700218,0.7490552099420574
6,7,client_7,0.1,fc1,336,34,0.10119047619047619,,,5.939920442569126e-07,1.991471805959858e-08,3.6228841793217725e-07,0.0,1.7296778764830378e-07,3.3969135984079912e-06,0.0,1.7053265821687091e-07,29.825288873811513,1.0142736012168188,0.7705359900641408
6,8,client_8,0.1,fc1,336,34,0.10119047619047619,,,1.2444160462872093e-06,3.72717989373025e-08,9.60087959356315e-07,0.0,3.4052186492772307e-07,5.4624074437015224e-06,0.0,3.219989821445779e-07,33.38670778066526,1.0575213782925892,0.7898660514210372
6,9,client_9,0.1,fc1,336,34,0.10119047619047619,,,2.058512737836709e-06,3.035029481640272e-08,7.727465742846107e-07,0.0,3.104115648966399e-07,1.6625685020699166e-05,0.0,3.04816097695948e-07,67.8228968579037,1.0183535216461919,0.8842048528655994
7,1,client_1,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,6.236964577845035e-06,1.7073693595030464e-07,3.536200779308274e-06,0.0,4.993823381482798e-07,2.2767393602407537e-05,0.0,4.110806003154721e-06,36.5294598598192,0.121480365720172,0.8044052714374939
7,2,client_2,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.052130524533744e-06,3.675674673038341e-08,4.416820047481451e-07,0.0,1.0063982536223648e-08,7.133156941563357e-06,0.0,1.837662011894281e-06,28.62336835418882,0.005476511455628416,0.7631782918440947
7,3,client_3,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,7.052771402841153e-07,9.450214390681248e-08,5.24986944583361e-07,0.0,4.052149282784967e-09,2.9767600153718377e-06,0.0,2.452536591590615e-06,7.463001876208202,0.0016522271857031597,0.4565850534547004
7,4,client_4,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.814788571863346e-06,2.0206725069173242e-08,6.098295557421807e-07,0.0,1.919284642326602e-08,9.180821507470682e-06,0.0,1.1629574601101922e-06,89.80667371765635,0.01650346687485937,0.910000588301575
7,5,client_5,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,1.877976050015123e-06,7.99740176254914e-08,1.0571179132057296e-06,0.0,8.731098688485872e-08,1.6111745935631916e-05,0.0,1.3077170706310426e-06,23.48203358715526,0.06676590990497408,0.7255541098355994
7,6,client_6,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,7.371534206248978e-07,4.7277697797372624e-08,4.268559337106126e-07,0.0,5.600175878583968e-10,3.480234454400488e-06,0.0,1.538483843432914e-06,15.59166083178084,0.00036400591806208234,0.6370749144754811
