round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.1,fc1,336,34,0.10119047619047619,,,5.0614804833645284e-06,9.458174109123377e-08,2.59996352269809e-06,0.0,7.136713406907802e-07,2.2595919290324673e-05,0.0,7.122591227926023e-07,7.136713406907802e-07,53.51378512579017,2599963.52269809,1.0019813237509982,0.00017209032375831157,2.8563687010318972e-05,0.8576470624307523,5.061480351287173e-06,0.0
6,2,client_2,0.1,fc1,336,34,0.10119047619047619,,,1.2780787958423816e-06,2.213948442423499e-08,7.114722393453121e-07,0.0,2.400066989594052e-07,5.324144694895949e-06,0.0,2.3717572616988036e-07,2.400066989594052e-07,57.72587317210619,711472.2393453121,1.011931916066241,4.3454678234411404e-05,6.6861239247373305e-06,0.8666530150401595,1.2780787983501796e-06,0.0
6,3,client_3,0.1,fc1,336,34,0.10119047619047619,,,1.600458253559576e-06,9.509429958306254e-08,1.3458411558531225e-06,0.0,8.593688676228339e-07,4.637284291675314e-06,0.0,8.533194204574102e-07,8.593688676228339e-07,16.830045865323022,1345841.1558531225,1.0070881312815432,5.4415584600064903e-05,2.8718479370581917e-05,0.6545521937280234,1.6004584040274494e-06,0.0
6,4,client_4,0.1,fc1,336,34,0.10119047619047619,,,1.3954937158774448e-06,1.5251711006617095e-08,5.646943179726804e-07,0.0,1.9842340748255083e-07,1.3322760423761792e-05,0.0,1.962739872851671e-07,1.9842340748255083e-07,91.49152011547565,564694.3179726804,1.0109459703811485,4.744678517454304e-05,4.606016318575712e-06,0.9115125968638361,1.3954937685412006e-06,0.0
6,5,client_5,0.1,fc1,336,34,0.10119047619047619,,,3.2569638355706797e-06,6.587388100394523e-08,1.166840036148642e-06,0.0,4.862663445237558e-07,5.352353400667198e-05,0.0,4.780704330187291e-07,4.862663445237558e-07,49.441665562562775,1166840.036148642,1.0171416046620498,0.0001107367716031149,1.9893912394763902e-05,0.8477087263602198,3.2569639643043047e-06,0.0
6,6,client_6,0.1,fc1,336,34,0.10119047619047619,,,2.406320262212723e-06,9.075898967268985e-08,1.2535367091004446e-06,0.0,7.254811862367205e-07,2.324382876395248e-05,0.0,7.240084300974559e-07,7.254811862367205e-07,26.513007228082547,1253536.7091004446,1.0020327858700218,8.181487646652386e-05,2.74092162726447e-05,0.7490552099420574,2.4063206183200236e-06,0.0
6,7,client_7,0.1,fc1,336,34,0.10119047619047619,,,5.939920442569126e-07,1.991471805959858e-08,3.6228841793217725e-07,0.0,1.7296778764830378e-07,3.3969135984079912e-06,0.0,1.7053265821687091e-07,1.7296778764830378e-07,29.825288873811513,362288.41793217725,1.0142736012168188,2.0195728211547248e-05,6.014244718244299e-06,0.7705359900641408,5.939920697528578e-07,0.0
6,8,client_8,0.1,fc1,336,34,0.10119047619047619,,,1.2444160462872093e-06,3.72717989373025e-08,9.60087959356315e-07,0.0,3.4052186492772307e-07,5.4624074437015224e-06,0.0,3.219989821445779e-07,3.4052186492772307e-07,33.38670778066526,960087.959356315,1.0575213782925892,4.231014827382751e-05,1.1256082871113904e-05,0.7898660514210372,1.2444160120139713e-06,0.0
6,9,client_9,0.1,fc1,336,34,0.10119047619047619,,,2.058512737836709e-06,3.035029481640272e-08,7.727465742846107e-07,0.0,3.104115648966399e-07,1.6625685020699166e-05,0.0,3.04816097695948e-07,3.104115648966399e-07,67.8228968579037,772746.5742846107,1.0183535216461919,6.998942990321666e-05,9.16578937903978e-06,0.8842048528655994,2.058512563962722e-06,0.0
7,1,client_1,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,6.236964577845035e-06,1.7073693595030464e-07,3.536200779308274e-06,0.0,4.993823381482798e-07,2.2767393602407537e-05,0.0,4.110806003154721e-06,4.993823381482798e-07,36.5294598598192,3536200.779308274,0.121480365720172,0.00021205679513514042,5.1562554290285334e-05,0.8044052714374939,6.471037522715051e-06,0.0
