round,client_id,client_name,alpha,distance_avg,gamma,ref_client_ids,train_loss,val_loss,meta_loss
1,1,client_1,0.5,0.0,0.1,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.008668189321938276,0.0015217147809677605,1.932092547416687
1,2,client_2,0.5,0.0,0.1,"[2, 1, 3, 4, 5, 6, 7, 8, 9]",0.011661860988930883,0.0015727957520999245,2.289698362350464
1,3,client_3,0.5,0.0,0.1,"[3, 1, 2, 4, 5, 6, 7, 8, 9]",0.012989654350702517,0.0017656842011631656,1.9944301843643188
1,4,client_4,0.5,0.0,0.1,"[4, 1, 2, 3, 5, 6, 7, 8, 9]",0.012352961948389406,0.0019224398692967407,1.9198333024978638
1,5,client_5,0.5,0.0,0.1,"[5, 1, 2, 3, 4, 6, 7, 8, 9]",0.008294008682279648,0.002213727135201042,1.7215863466262817
1,6,client_6,0.5,0.0,0.1,"[6, 1, 2, 3, 4, 5, 7, 8, 9]",0.014807658784619022,0.0019321947717244555,1.554214596748352
1,7,client_7,0.5,0.0,0.1,"[7, 1, 2, 3, 4, 5, 6, 8, 9]",0.009463207915785293,0.0015880287745488532,1.8540674448013306
1,8,client_8,0.5,0.0,0.1,"[8, 1, 2, 3, 4, 5, 6, 7, 9]",0.012926152259765367,0.0019577543478059853,2.0657942295074463
1,9,client_9,0.5,0.0,0.1,"[9, 1, 2, 3, 4, 5, 6, 7, 8]",0.008046816320056396,0.0020350131121298935,1.4619059562683105
2,1,client_1,0.8810634613037109,20.02539715222083,0.1,"[1, 4, 3, 8, 6]",0.0014638774165762832,0.0010783374115290855,2.460291862487793
2,2,client_2,0.7498937845230103,10.980459339683875,0.1,"[2, 6, 8, 4, 3]",0.0015959201155447947,0.0012328068699760638,2.3915271759033203
2,3,client_3,0.8141920566558838,14.774827631004154,0.1,"[3, 1, 6, 9, 4]",0.0018141428515774656,0.0009376691238057656,1.3073396682739258
2,4,client_4,0.7634716629981995,11.718078860046807,0.1,"[4, 3, 6, 8, 1]",0.0015330333308862468,0.0012019327338595488,1.385123372077942
2,5,client_5,0.8409257531166077,16.65132201333763,0.1,"[5, 1, 8, 2, 6]",0.001300111325227194,0.0012316073923256635,2.2350146770477295
2,6,client_6,0.8296736478805542,15.833161002816633,0.1,"[6, 8, 4, 2, 9]",0.0019213907374166608,0.0020559914358284784,1.6040581464767456
2,7,client_7,0.7681102156639099,11.976712896779645,0.1,"[7, 4, 3, 9, 1]",0.0014825106199328664,0.0011519407329045528,2.7010881900787354
2,8,client_8,0.7959861755371094,13.613942404545378,0.1,"[8, 4, 3, 6, 1]",0.001765891939202477,0.0012085669125926955,2.0757837295532227
2,9,client_9,0.8668871521949768,18.73712113574147,0.1,"[9, 4, 6, 3, 1]",0.001421064941886798,0.001218307772687506,1.6725605726242065
3,1,client_1,0.6132850646972656,4.611420062044635,0.1,"[1, 4, 3, 8, 6]",0.0010724274985507588,0.0008797507691084502,4.6280694007873535
3,2,client_2,0.6289148330688477,5.2756431587738915,0.1,"[2, 6, 4, 8, 3]",0.0013051819492394337,0.001008303131397211,3.402740478515625
3,3,client_3,0.6331809759140015,5.458875017566607,0.1,"[3, 1, 4, 6, 2]",0.0015616951690278404,0.0012016648883198399,1.9923081398010254
3,4,client_4,0.6475690007209778,6.083704725489952,0.1,"[4, 3, 9, 2, 7]",0.0012573259422098183,0.0012246886128363115,2.909968614578247
3,5,client_5,0.6776155829429626,7.4283548012375835,0.1,"[5, 1, 8, 6, 2]",0.0009955238095761636,0.0009807877874036175,3.9397943019866943
3,6,client_6,0.6498268246650696,6.182781844609417,0.1,"[6, 1, 5, 3, 7]",0.0016519181217017455,0.0012895815019754754,2.234910011291504
3,7,client_7,0.6995953917503357,8.453721534402575,0.1,"[7, 4, 3, 9, 1]",0.0011564199577209094,0.0008853365526599136,4.020869255065918
3,8,client_8,0.6103028655052185,4.485855187755078,0.1,"[8, 3, 4, 6, 1]",0.0013675440101297517,0.0014403826037732441,4.333302021026611
3,9,client_9,0.645285964012146,5.9838171287439765,0.1,"[9, 4, 3, 6, 1]",0.0011326325882067192,0.0010072520826454412,3.311056137084961
4,1,client_1,0.5809294581413269,3.265900968067581,0.1,"[1, 3, 4, 8, 6]",0.0009435195080329309,0.0007280132779217091,5.03867244720459
4,2,client_2,0.5820727348327637,3.3128807453729676,0.1,"[2, 3, 6, 4, 8]",0.0011540299437269958,0.0008011218349892479,4.279993534088135
4,3,client_3,0.5907778739929199,3.671819921390852,0.1,"[3, 8, 5, 9, 7]",0.0013666671057273676,0.0009120833964888282,3.1481552124023438
4,4,client_4,0.583909809589386,3.388444548888947,0.1,"[4, 3, 5, 6, 8]",0.001105821105498461,0.000876527097229164,3.7434823513031006
4,5,client_5,0.5965480804443359,3.911026465159375,0.1,"[5, 1, 6, 8, 2]",0.0008539193539413569,0.0009308733395725271,5.234963417053223
4,6,client_6,0.591368556022644,3.6962588238791794,0.1,"[6, 3, 4, 5, 8]",0.001459555333582728,0.0013145607013439085,3.380868673324585
4,7,client_7,0.5770938396453857,3.1085456153436097,0.1,"[7, 3, 4, 9, 1]",0.0010207091537582248,0.0009173789543866064,4.549337387084961
4,8,client_8,0.586776852607727,3.50657010510331,0.1,"[8, 3, 4, 6, 9]",0.0012299697096953008,0.000945958170019404,5.029207706451416
4,9,client_9,0.5908786058425903,3.6759883925842587,0.1,"[9, 3, 4, 6, 1]",0.000949156377235708,0.0010538880813793041,4.378879547119141
5,1,client_1,0.5521150231361389,2.0921993436757473,0.1,"[1, 3, 4, 6, 8]",0.0008270962111234428,0.0008992433440941238,4.770556926727295
5,2,client_2,0.5467389225959778,1.8750326789886458,0.1,"[2, 3, 4, 6, 8]",0.001078685281757055,0.000906382661955415,3.78426456451416
5,3,client_3,0.5483436584472656,1.9398067411850206,0.1,"[3, 4, 6, 1, 2]",0.0012948569344130203,0.0010521074600173352,2.8531227111816406
5,4,client_4,0.5425345301628113,1.7055041139930835,0.1,"[4, 3, 1, 5, 6]",0.001037221331287809,0.0008590470835858911,2.82316255569458
5,5,client_5,0.567660391330719,2.72311996484641,0.1,"[5, 6, 8, 1, 3]",0.000772568413762499,0.0008991524306309308,4.8308892250061035
5,6,client_6,0.550940752029419,2.0447243455433637,0.1,"[6, 3, 4, 5, 1]",0.001404330203742882,0.0009806572251739253,3.731001853942871
5,7,client_7,0.5436910390853882,1.7521105795749463,0.1,"[7, 3, 4, 9, 1]",0.0009322623937189888,0.0007201617529591275,4.211479187011719
5,8,client_8,0.5481248497962952,1.9309720720746555,0.1,"[8, 3, 4, 6, 1]",0.001143833118633666,0.0010257768240191452,4.094250202178955
5,9,client_9,0.5532691478729248,2.138881589146331,0.1,"[9, 3, 4, 6, 1]",0.0009292162295686518,0.0007447176678035593,4.012667655944824
6,1,client_1,0.539814293384552,1.5959511092747563,0.1,"[1, 3, 4, 6, 8]",0.0008318549052728851,0.0006834121611966755,3.995077133178711
6,2,client_2,0.5417133569717407,1.6724215546011691,0.1,"[2, 3, 4, 6, 8]",0.0010352910433736118,0.0008154197584642331,3.128908395767212
6,3,client_3,0.5459152460098267,1.8417996807023882,0.1,"[3, 5, 8, 4, 9]",0.0012921552514332303,0.000871483173272375,2.2622530460357666
6,4,client_4,0.5318572521209717,1.2760180388693698,0.1,"[4, 3, 6, 2, 9]",0.0009564140501535374,0.0008157154866463856,3.109081745147705
6,5,client_5,0.5466715097427368,1.8723127808334539,0.1,"[5, 3, 6, 8, 4]",0.0007084035040507625,0.0009916387070450239,4.2132439613342285
6,6,client_6,0.5366171002388,1.4673100235697347,0.1,"[6, 3, 4, 2, 8]",0.0013671179823962361,0.0010443406405273737,4.188388347625732
6,7,client_7,0.5354485511779785,1.4203254215652124,0.1,"[7, 3, 4, 9, 1]",0.0008840439181659256,0.0007548482943825049,3.7648043632507324
6,8,client_8,0.5454456806182861,1.822858315592748,0.1,"[8, 3, 4, 6, 5]",0.0010942749034633672,0.0008155621328390062,3.2665765285491943
6,9,client_9,0.5394912958145142,1.5829470980330371,0.1,"[9, 3, 4, 6, 1]",0.0009024032899526843,0.0007444116720960839,3.082874059677124
7,1,client_1,0.5364331603050232,1.4599158337747213,0.1,"[1, 3, 4, 6, 8]",0.0007648230457020087,0.0008192786045148725,3.7109668254852295
7,2,client_2,0.5364983081817627,1.4625335541844833,0.1,"[2, 3, 4, 6, 8]",0.0010059526652421093,0.0007960095747749852,3.09289813041687
7,3,client_3,0.5365297794342041,1.463799250172451,0.1,"[3, 7, 6, 1, 2]",0.0012567822176855958,0.0013651294602737805,2.033045530319214
7,4,client_4,0.5364546179771423,1.4607748556969455,0.1,"[4, 3, 6, 7, 8]",0.0009743808591475056,0.0007783311471554647,2.6524462699890137
7,5,client_5,0.5430143475532532,1.7248358338256367,0.1,"[5, 3, 6, 4, 7]",0.0006961295293804182,0.0007132182983531701,3.7606167793273926
7,6,client_6,0.5387426018714905,1.5528169811877888,0.1,"[6, 3, 4, 7, 5]",0.0013242248811331568,0.0009883295633536847,3.8551511764526367
7,7,client_7,0.5311101675033569,1.2460156379442195,0.1,"[7, 3, 4, 9, 1]",0.00082768426536141,0.0006868302885738222,3.5801796913146973
7,8,client_8,0.5388426184654236,1.5568423279881245,0.1,"[8, 3, 4, 6, 5]",0.0010559038118375579,0.0008725424411446943,2.833831787109375
7,9,client_9,0.5376465916633606,1.5087177968875038,0.1,"[9, 3, 4, 6, 1]",0.0008287213135981541,0.0007014450286118294,2.939375877380371
8,1,client_1,0.540884256362915,1.6390294917480788,0.1,"[1, 3, 4, 6, 8]",0.0007533883282902701,0.0006102045926354244,3.587904453277588
8,2,client_2,0.5417631268501282,1.6744273918971886,0.1,"[2, 3, 4, 6, 8]",0.0009948571713087253,0.0007638537634132461,2.639150619506836
8,3,client_3,0.5425282716751099,1.7052505062354613,0.1,"[3, 4, 5, 8, 6]",0.0011978042922341401,0.0008590720976216565,2.00777530670166
8,4,client_4,0.5367018580436707,1.470720028562937,0.1,"[4, 3, 6, 5, 1]",0.0008987577131572076,0.0007923707395858671,2.6378378868103027
8,5,client_5,0.5417994856834412,1.6758903628098778,0.1,"[5, 3, 6, 4, 9]",0.0006774470661663662,0.000899935655591277,3.5053017139434814
8,6,client_6,0.5403876900672913,1.6190359064828954,0.1,"[6, 3, 4, 9, 1]",0.0012861346366218863,0.0009781613160386564,4.051644802093506
8,7,client_7,0.53334641456604,1.335839205989032,0.1,"[7, 3, 4, 9, 1]",0.0008294830309195018,0.0007349826845154917,3.151132822036743
8,8,client_8,0.5415743589401245,1.6668217987491516,0.1,"[8, 3, 4, 6, 5]",0.0010463053380785022,0.0007676064068554468,3.6021108627319336
8,9,client_9,0.5412176251411438,1.6524542370461859,0.1,"[9, 3, 4, 6, 5]",0.0008082538840772469,0.0007500626469432029,2.594691753387451
9,1,client_1,0.5411728024482727,1.6506496192829219,0.1,"[1, 3, 4, 6, 8]",0.000728033119602787,0.000580845229625743,3.242570161819458
9,2,client_2,0.5433632135391235,1.7388991065818118,0.1,"[2, 3, 4, 6, 8]",0.0009580405631365997,0.0008763971481179327,2.3709261417388916
9,3,client_3,0.5421382188796997,1.68953751802037,0.1,"[3, 9, 7, 4, 2]",0.0011860393138611218,0.0007954954848143288,2.5338950157165527
9,4,client_4,0.5435437560081482,1.7461738093115855,0.1,"[4, 3, 6, 2, 9]",0.0008828918842056797,0.0007948513893443448,2.8483035564422607
9,5,client_5,0.5408040881156921,1.635801780060865,0.1,"[5, 3, 6, 4, 9]",0.0006690185229315766,0.000706549087119809,3.17348051071167
