round,client_id,client_name,ref_client_ids,aggregation_client_ids,num_refs,importance_values_for_refs
1,1,client_1,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,2,client_2,"[2, 1, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 3, 4, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,3,client_3,"[3, 1, 2, 4, 5, 6, 7, 8, 9]","[3, 1, 2, 4, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,4,client_4,"[4, 1, 2, 3, 5, 6, 7, 8, 9]","[4, 1, 2, 3, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,5,client_5,"[5, 1, 2, 3, 4, 6, 7, 8, 9]","[5, 1, 2, 3, 4, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,6,client_6,"[6, 1, 2, 3, 4, 5, 7, 8, 9]","[6, 1, 2, 3, 4, 5, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,7,client_7,"[7, 1, 2, 3, 4, 5, 6, 8, 9]","[7, 1, 2, 3, 4, 5, 6, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,8,client_8,"[8, 1, 2, 3, 4, 5, 6, 7, 9]","[8, 1, 2, 3, 4, 5, 6, 7, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,9,client_9,"[9, 1, 2, 3, 4, 5, 6, 7, 8]","[9, 1, 2, 3, 4, 5, 6, 7, 8]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,1,client_1,"[1, 4, 3, 8, 6]","[1, 4, 3, 8, 6]",5,"[1.0, 0.025383353233337402, 0.02156166359782219, 0.019364122301340103, 0.01246480830013752]"
2,2,client_2,"[2, 6, 8, 4, 3]","[2, 6, 8, 4, 3]",5,"[1.0, 0.020549224689602852, 0.015509339049458504, 0.014153098687529564, 0.01291055977344513]"
2,3,client_3,"[3, 1, 6, 9, 4]","[3, 1, 6, 9, 4]",5,"[1.0, 0.0048250360414385796, 0.0007092311861924827, -0.0015867650508880615, -0.002393837319687009]"
2,4,client_4,"[4, 3, 6, 8, 1]","[4, 3, 6, 8, 1]",5,"[1.0, -0.0039155869744718075, -0.007740996778011322, -0.009548273868858814, -0.009578649885952473]"
2,5,client_5,"[5, 1, 8, 2, 6]","[5, 1, 8, 2, 6]",5,"[1.0, 0.018729375675320625, 0.01371944509446621, 0.009772437624633312, 0.00846218504011631]"
