round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,h2a_num_refs,h2a_reference_summary,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.010967552937083458,0.0018671158851561443,0.010967552937083458,0.0,0.0,0.010967552937083458,0.0,0.0,,0.0,0.0,353.0,0.0,0.5,0.5,0.5,0.0,1.6558390458424885,5,"client_1->[1, 2, 3, 4, 5, 6, 7, 8, 9]; client_2->[2, 1, 3, 4, 5, 6, 7, 8, 9]; client_3->[3, 1, 2, 4, 5, 6, 7, 8, 9]; client_4->[4, 1, 2, 3, 5, 6, 7, 8, 9]; client_5->[5, 1, 2, 3, 4, 6, 7, 8, 9]; client_6->[6, 1, 2, 3, 4, 5, 7, 8, 9]; client_7->[7, 1, 2, 3, 4, 5, 6, 8, 9]; client_8->[8, 1, 2, 3, 4, 5, 6, 7, 9]; client_9->[9, 1, 2, 3, 4, 5, 6, 7, 8]",0.003762255587344546,17.00942039489746,386.05712890625,19.64833654298119,24.420832097530365,0.5586174726486206,2.184804532263014,7.706221792432997,2.670376329177664,0.45142189661661786,5211
2,9,0.0015692474901483693,0.0012209801440702958,0.0015692474901483693,0.0,0.0,0.0015692474901483693,0.0,0.0,,0.0,0.0,353.0,0.0,0.8122379846043057,0.6870638728141785,0.88395094871521,15.006855085163583,1.9913980431026883,5,"client_1->[1, 2, 4, 9, 8]; client_2->[2, 7, 9, 4, 8]; client_3->[3, 4, 2, 8, 6]; client_4->[4, 2, 9, 7, 8]; client_5->[5, 7, 9, 2, 6]; client_6->[6, 7, 2, 9, 1]; client_7->[7, 4, 9, 2, 6]; client_8->[8, 4, 2, 3, 9]; client_9->[9, 4, 2, 7, 8]",0.0013989882111760587,6.040609359741211,70.32283020019531,8.385870867130933,7.949043810367584,0.9195992946624756,1.2362236844168768,2.8013669119940863,1.6362195196534073,0.7891701459884644,5211
3,9,0.0012488429470194312,0.0009572803830913031,0.0012488429470194312,0.0,0.0,0.0012488429470194312,0.0,0.0,,0.0,0.0,353.0,0.0,0.6320057511329651,0.605018675327301,0.6620969176292419,5.421195980309534,3.56038581000434,5,"client_1->[1, 2, 4, 9, 8]; client_2->[2, 7, 9, 1, 6]; client_3->[3, 4, 2, 8, 6]; client_4->[4, 9, 2, 3, 6]; client_5->[5, 9, 7, 2, 6]; client_6->[6, 7, 9, 2, 8]; client_7->[7, 9, 4, 2, 6]; client_8->[8, 4, 2, 3, 9]; client_9->[9, 4, 8, 2, 6]",0.0011476926407288166,4.587574005126953,44.515995025634766,6.672030802209681,5.796317011117935,0.9491044878959656,1.1039886739518907,2.31985702779558,1.4883343161617537,0.8265248735745748,5211
4,9,0.001106039493984619,0.0008778195861661438,0.001106039493984619,0.0,0.0,0.001106039493984619,0.0,0.0,,0.0,0.0,353.0,0.0,0.5931495626767477,0.5712028741836548,0.6113993525505066,3.7721168828006038,3.9939282735188804,5,"client_1->[1, 2, 9, 4, 8]; client_2->[2, 9, 7, 3, 4]; client_3->[3, 8, 4, 2, 6]; client_4->[4, 9, 2, 6, 3]; client_5->[5, 9, 7, 2, 6]; client_6->[6, 9, 7, 2, 4]; client_7->[7, 9, 6, 4, 8]; client_8->[8, 4, 3, 9, 2]; client_9->[9, 4, 3, 8, 5]",0.0009879487744055505,4.2107157707214355,36.82032775878906,6.067975589831345,5.3305212408304214,0.9579029679298401,1.0233666963047452,1.9696538580788507,1.3773031980641817,0.848967452843984,5211
5,9,0.0010370826137678902,0.0008367084643547657,0.0010370826137678902,0.0,0.0,0.0010370826137678902,0.0,0.0,,0.0,0.0,353.0,0.0,0.5621053311559889,0.5534188151359558,0.5724158883094788,2.497560172500542,3.38653744591607,5,"client_1->[1, 9, 2, 4, 8]; client_2->[2, 9, 7, 3, 5]; client_3->[3, 8, 6, 7, 4]; client_4->[4, 9, 6, 2, 3]; client_5->[5, 9, 6, 7, 2]; client_6->[6, 9, 3, 5, 8]; client_7->[7, 9, 6, 4, 8]; client_8->[8, 3, 4, 9, 2]; client_9->[9, 3, 4, 8, 6]",0.0009194283123685255,4.064955711364746,33.613643646240234,5.797727455325943,5.104943737387657,0.9615692496299744,0.9801821046405368,1.823849426375495,1.3252685565444629,0.8611844976743063,5211
6,9,0.0009855603681722168,0.0007784928554786652,0.0009855603681722168,0.0,0.0,0.0009855603681722168,0.0,0.0,,0.0,0.0,353.0,0.0,0.5484946038987901,0.5426846146583557,0.5539717674255371,1.9460052119855797,3.0608374807569714,5,"client_1->[1, 9, 4, 2, 8]; client_2->[2, 9, 7, 3, 4]; client_3->[3, 6, 8, 9, 5]; client_4->[4, 9, 6, 3, 2]; client_5->[5, 9, 6, 7, 2]; client_6->[6, 9, 1, 7, 2]; client_7->[7, 9, 6, 4, 8]; client_8->[8, 3, 4, 9, 2]; client_9->[9, 3, 6, 4, 8]",0.0008560472885936491,3.7508623600006104,28.86263084411621,5.372395261344441,4.71777617931366,0.9670010805130005,0.9465239312913682,1.6784881618287828,1.276002155118219,0.8683130807346768,5211
7,9,0.0009604190426759746,0.0008194482877939983,0.0009604190426759746,0.0,0.0,0.0009604190426759746,0.0,0.0,,0.0,0.0,353.0,0.0,0.5438190897305807,0.5406342148780823,0.547539472579956,1.7573095605891365,2.6725317239761353,5,"client_1->[1, 9, 4, 8, 2]; client_2->[2, 9, 7, 3, 4]; client_3->[3, 6, 1, 4, 2]; client_4->[4, 9, 6, 3, 2]; client_5->[5, 6, 9, 7, 2]; client_6->[6, 3, 9, 4, 8]; client_7->[7, 6, 9, 4, 8]; client_8->[8, 3, 4, 9, 2]; client_9->[9, 6, 3, 4, 8]",0.00086253323109839,3.7261359691619873,26.976858139038086,5.193925118736127,4.764048010110855,0.9691570997238159,0.9485063089264764,1.6468494998084173,1.2666405118464212,0.869171679019928,5211
8,9,0.0009409678348684344,0.0007741214802310995,0.0009409678348684344,0.0,0.0,0.0009409678348684344,0.0,0.0,,0.0,0.0,353.0,0.0,0.5394610431459215,0.5344633460044861,0.5435448288917542,1.5817818585922292,2.898572074042426,5,"client_1->[1, 4, 9, 8, 2]; client_2->[2, 9, 3, 7, 4]; client_3->[3, 6, 4, 8, 9]; client_4->[4, 6, 9, 3, 1]; client_5->[5, 6, 9, 7, 2]; client_6->[6, 3, 7, 5, 1]; client_7->[7, 6, 9, 4, 8]; client_8->[8, 3, 4, 9, 2]; client_9->[9, 6, 3, 4, 8]",0.0008487505523090506,4.161530494689941,32.249305725097656,5.678847217974583,5.324134975671768,0.9631291031837463,0.9468502203623453,1.7109560834036932,1.2790883279920449,0.8714309069845412,5211
9,9,0.0009155922723541323,0.0007191537536682326,0.0009155922723541323,0.0,0.0,0.0009155922723541323,0.0,0.0,,0.0,0.0,353.0,0.0,0.5405970083342658,0.5369994044303894,0.545202910900116,1.6275044451428888,2.7671391434139676,5,"client_1->[1, 4, 9, 8, 2]; client_2->[2, 9, 3, 7, 4]; client_3->[3, 6, 4, 7, 8]; client_4->[4, 6, 9, 3, 5]; client_5->[5, 6, 9, 7, 2]; client_6->[6, 9, 3, 4, 2]; client_7->[7, 6, 9, 4, 8]; client_8->[8, 3, 4, 9, 2]; client_9->[9, 6, 3, 4, 8]",0.0008355428541726427,4.007750511169434,30.271574020385742,5.501960925014439,5.128593370318413,0.9653902649879456,0.9356479048728943,1.6650785671340094,1.2646552383292116,0.8741818732685513,5211
10,9,0.0009036291313216198,0.0007446432967251346,0.0009036291313216198,0.0,0.0,0.0009036291313216198,0.0,0.0,,0.0,0.0,353.0,0.0,0.5392845604154799,0.5334774255752563,0.5450445413589478,1.5747034007615488,2.6365287436379328,5,"client_1->[1, 4, 9, 8, 2]; client_2->[2, 9, 3, 4, 7]; client_3->[3, 6, 4, 9, 2]; client_4->[4, 6, 9, 3, 7]; client_5->[5, 6, 9, 7, 2]; client_6->[6, 3, 9, 8, 7]; client_7->[7, 6, 9, 4, 8]; client_8->[8, 3, 4, 9, 2]; client_9->[9, 6, 3, 4, 8]",0.0008525175144423985,4.562779426574707,36.182228088378906,6.015166505457593,5.959509685635567,0.9586325287818909,0.9519797232415941,1.712103181415134,1.2807514324278924,0.8716320130560133,5211
11,9,0.0009009582132076523,0.000763918022755834,0.0009009582132076523,0.0,0.0,0.0009009582132076523,0.0,0.0,,0.0,0.0,353.0,0.0,0.5402765472730001,0.5353132486343384,0.5458096265792847,1.6146527177670376,2.6232763793733387,5,"client_1->[1, 4, 9, 8, 2]; client_2->[2, 9, 3, 4, 7]; client_3->[3, 6, 4, 1, 9]; client_4->[4, 6, 9, 3, 8]; client_5->[5, 6, 9, 7, 2]; client_6->[6, 3, 9, 8, 4]; client_7->[7, 6, 4, 9, 8]; client_8->[8, 3, 4, 9, 2]; client_9->[9, 6, 3, 4, 8]",0.0008116540979992216,3.716582775115967,25.940629959106445,5.093194474895539,4.802174866199493,0.9703418612480164,0.9217632015546163,1.572627027829488,1.2357360506722932,0.8773297203911675,5211
