round,client_id,client_name,ref_client_ids,aggregation_client_ids,num_refs,importance_values_for_refs
1,1,client_1,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,2,client_2,"[2, 1, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 3, 4, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,3,client_3,"[3, 1, 2, 4, 5, 6, 7, 8, 9]","[3, 1, 2, 4, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,4,client_4,"[4, 1, 2, 3, 5, 6, 7, 8, 9]","[4, 1, 2, 3, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,5,client_5,"[5, 1, 2, 3, 4, 6, 7, 8, 9]","[5, 1, 2, 3, 4, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,6,client_6,"[6, 1, 2, 3, 4, 5, 7, 8, 9]","[6, 1, 2, 3, 4, 5, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,7,client_7,"[7, 1, 2, 3, 4, 5, 6, 8, 9]","[7, 1, 2, 3, 4, 5, 6, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,8,client_8,"[8, 1, 2, 3, 4, 5, 6, 7, 9]","[8, 1, 2, 3, 4, 5, 6, 7, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,9,client_9,"[9, 1, 2, 3, 4, 5, 6, 7, 8]","[9, 1, 2, 3, 4, 5, 6, 7, 8]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,1,client_1,"[1, 2, 4, 9, 8]","[1, 2, 4, 9, 8]",5,"[1.0, 0.0357867032289505, 0.027637995779514313, 0.02143906243145466, 0.017000140622258186]"
2,2,client_2,"[2, 7, 9, 4, 8]","[2, 7, 9, 4, 8]",5,"[1.0, 0.0047074779868125916, -0.009108666330575943, -0.011312875896692276, -0.021463923156261444]"
2,3,client_3,"[3, 4, 2, 8, 6]","[3, 4, 2, 8, 6]",5,"[1.0, 0.01571870967745781, 0.009694602340459824, 0.007702944800257683, 0.004771711304783821]"
2,4,client_4,"[4, 2, 9, 7, 8]","[4, 2, 9, 7, 8]",5,"[1.0, -0.0028582122176885605, -0.0036186035722494125, -0.007695283740758896, -0.013279087841510773]"
2,5,client_5,"[5, 7, 9, 2, 6]","[5, 7, 9, 2, 6]",5,"[1.0, 0.04153565317392349, 0.032120756804943085, 0.026227762922644615, 0.023433247581124306]"
