round,client_id,client_name,ref_client_ids,aggregation_client_ids,num_refs,importance_values_for_refs
1,1,client_1,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,2,client_2,"[2, 1, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 3, 4, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,3,client_3,"[3, 1, 2, 4, 5, 6, 7, 8, 9]","[3, 1, 2, 4, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,4,client_4,"[4, 1, 2, 3, 5, 6, 7, 8, 9]","[4, 1, 2, 3, 5, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,5,client_5,"[5, 1, 2, 3, 4, 6, 7, 8, 9]","[5, 1, 2, 3, 4, 6, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,6,client_6,"[6, 1, 2, 3, 4, 5, 7, 8, 9]","[6, 1, 2, 3, 4, 5, 7, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,7,client_7,"[7, 1, 2, 3, 4, 5, 6, 8, 9]","[7, 1, 2, 3, 4, 5, 6, 8, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,8,client_8,"[8, 1, 2, 3, 4, 5, 6, 7, 9]","[8, 1, 2, 3, 4, 5, 6, 7, 9]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,9,client_9,"[9, 1, 2, 3, 4, 5, 6, 7, 8]","[9, 1, 2, 3, 4, 5, 6, 7, 8]",9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,1,client_1,"[1, 7, 9, 5, 8]","[1, 7, 9, 5, 8]",5,"[1.0, 0.019596436992287636, 0.014238115400075912, 0.011166761629283428, 0.007932577282190323]"
2,2,client_2,"[2, 8, 7, 5, 9]","[2, 8, 7, 5, 9]",5,"[1.0, 0.017347216606140137, 0.017225714400410652, 0.01333753764629364, 0.010728095658123493]"
2,3,client_3,"[3, 5, 9, 1, 6]","[3, 5, 9, 1, 6]",5,"[1.0, 0.00517731299623847, 0.0010212449124082923, -0.006515902932733297, -0.01284875813871622]"
2,4,client_4,"[4, 3, 9, 7, 2]","[4, 3, 9, 7, 2]",5,"[1.0, 0.017213936895132065, 0.012445704080164433, 0.009953298605978489, 0.004641689360141754]"
2,5,client_5,"[5, 7, 3, 9, 2]","[5, 7, 3, 9, 2]",5,"[1.0, 0.017295746132731438, 0.008544239215552807, 0.005354199558496475, 0.005197413265705109]"
