round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_param_exact_names,head_personalization_tau,use_head_importance_ema,head_importance_ema_beta,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
1,9,0.004111628015802193,0.0014852697930678124,0.004111628015802193,0.0,0.0,0.004111628015802193,0.0,0.0,1.1815422773361206,0.30296015905009377,0.1613251268863678,0.768287181854248,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.05,False,,0.0023731265847474424,10.311406135559082,212.1720428466797,14.566126556043638,12.049207836389542,0.7574218511581421,1.50933657752143,4.656192594104343,2.117998943685676,0.6413522230254279,5211,,,,,,,
2,9,0.001532866095220842,0.0010502218297216157,0.001532866095220842,0.00012959921455570943,0.00012959921455570943,0.0016624653079520646,0.08500930266611743,0.08454699003078342,1.1808840036392212,0.020313933077785704,0.008792901411652565,0.05088730528950691,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.05,False,,0.00103298840245487,5.072085857391357,49.910736083984375,7.064753080185066,6.6613249480724335,0.9429365992546082,1.0575511654218037,2.082345379723443,1.4111865851635053,0.8436247905095419,5211,,,,,,,
3,9,0.0012638918942772892,0.0009875315389022456,0.0012638918942772892,8.818128377087116e-05,8.818128377087116e-05,0.0013520731762282224,0.06945044266606276,0.06976964097987573,1.1776695251464844,0.022905383155577712,0.009507126174867153,0.046774543821811676,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.05,False,,0.0008959583400899552,4.23017692565918,34.93075942993164,5.9102249897894445,5.4768335074186325,0.9600633382797241,0.9744381904602051,1.776088582144843,1.309309647252863,0.8631178869141473,5211,,,,,,,
4,9,0.0011648118377622814,0.0008524819780045102,0.0011648118377622814,7.062562581232767e-05,7.062562581232767e-05,0.0012354374651029109,0.06071830603133978,0.06063264766210981,1.1777836084365845,0.015448698980940713,0.008513666689395905,0.03096296638250351,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.05,False,,0.0008518696874814407,3.985689878463745,31.020610809326172,5.569614960598818,5.159898102283478,0.9645338654518127,0.9535027941068014,1.6841342714097765,1.2761467799726878,0.8694437543551127,5211,,,,,,,
5,9,0.0011107781966252178,0.0008834236445401682,0.0011107781966252178,6.325035895697059e-05,6.325035895697059e-05,0.0011740285554224924,0.0559391830183653,0.056942384260148735,1.175377368927002,0.015538867873450121,0.007747347466647625,0.02530442178249359,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.05,False,,0.0008611060225203746,4.088444709777832,32.56817626953125,5.706853447350059,5.197709798812866,0.9627645015716553,0.948655989434984,1.690357247988383,1.2799308297114316,0.8676357136832343,5211,,,,,,,
6,9,0.001079625248822255,0.000851110114941422,0.001079625248822255,5.6473209312839454e-05,5.6473209312839454e-05,0.001136098457676996,0.05273904730967815,0.05230815907847373,1.1746978759765625,0.014278981110288037,0.007867316715419292,0.020674558356404305,0.05059523809523809,17.0,336.0,2.580396846320178e-07,True,5,1,True,fc1,,0.05,False,,0.0008326640256769353,4.4272141456604,33.988277435302734,5.829946606556764,5.942695587873459,0.9611409306526184,0.9702036579449972,1.656989230049981,1.2641054923429618,0.8730909824371338,5211,,,3.508530567182342e-06,8.481603298681085e-08,46.32947369466716,1.0861874986367042,0.6774891414556787
7,9,0.0010136609387865472,0.000762641663152509,0.0010136609387865472,4.426181063017688e-05,4.426181063017688e-05,0.0010579227487480774,0.04509372273418469,0.04366530157460478,1.1732186079025269,0.012765574475957287,0.005459010601043701,0.02532869391143322,0.05059523809523809,17.0,336.0,2.3416711611743165e-07,True,5,1,True,fc1,,0.05,False,,0.0007819869893605022,3.729410409927368,26.34665298461914,5.132899081865836,4.885764792561531,0.9698776602745056,0.9202917085753547,1.5455325974358454,1.2227501522509963,0.8806023597717285,5211,0.5444235313800532,0.03042328130039904,3.148551627047257e-06,7.885508730119511e-08,51.98406395751532,1.064363360073417,0.6679227491008407
8,9,0.0010101651114021596,0.0007728890663561848,0.0010101651114021596,4.366538790279717e-05,4.366538790279717e-05,0.0010538304986764749,0.04355256522155507,0.04322599084714126,1.1750320196151733,0.01677145871023337,0.008321546018123627,0.028055567294359207,0.05059523809523809,17.0,336.0,2.179173306002566e-07,True,5,1,True,fc1,,0.05,False,,0.000769128438602436,3.794062376022339,26.61391258239746,5.158867373987963,4.997682943940163,0.9695720672607422,0.9173387818866305,1.5179835889074538,1.2122594873193528,0.8820243808958266,5211,0.5625492328390879,0.029100529694308836,2.8430192019617477e-06,7.802162479724965e-08,41.84533438480967,1.0820997402395542,0.6508086829093301
9,9,0.0009687300659497191,0.0008173136915331482,0.0009687300659497191,3.405244154031905e-05,3.405244154031905e-05,0.001002782506597277,0.03602530803803418,0.03515163067823568,1.1765342950820923,0.0162608676796986,0.00669011240825057,0.03565215691924095,0.05059523809523809,17.0,336.0,1.9890467781477935e-07,True,5,1,True,fc1,,0.05,False,,0.0007752669653605152,3.9517734050750732,27.563579559326172,5.250102814167183,5.310332775115967,0.9684863090515137,0.9294032719400194,1.525782585144043,1.2159809930997323,0.8812040819062127,5211,0.5612657980773923,0.02976190552322401,2.515212079838034e-06,7.546509966136491e-08,40.378053636078306,1.0994029831077698,0.6415998263656586
10,9,0.0009446498305258062,0.0007639505358500346,0.0009446498305258062,3.206742409914619e-05,3.206742409914619e-05,0.0009767172540118374,0.03497963613397204,0.03394636089369817,1.1759721040725708,0.012635805333654085,0.004237303510308266,0.026803897693753242,0.05059523809523809,17.0,336.0,2.0391911448314204e-07,True,5,1,True,fc1,,0.05,False,,0.0007582824387941854,3.6392152309417725,24.6098690032959,4.960833498848344,4.7847408801317215,0.971863329410553,0.9100291662746005,1.4924380381902058,1.2027042810464186,0.8837243583467271,5211,0.579327380814795,0.027777778605620067,2.649966142421868e-06,7.356550154361681e-08,44.80672964438647,1.0770724915067946,0.6668533526896622
