round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share,use_head_importance_ema,head_importance_ema_beta
6,1,client_1,0.05,fc1,336,17,0.050595238095238096,,,8.811233141493764e-06,1.608423796252368e-07,5.181440883461619e-06,0.0,2.616037363623036e-06,2.7398502425057814e-05,0.0,2.5243605250580003e-06,54.78144740569264,1.0363164458240306,0.74485926744516,False,
6,2,client_2,0.05,fc1,336,17,0.050595238095238096,,,1.9894813543514294e-06,4.127165859789945e-08,1.400617520630476e-06,0.0,5.775711997557664e-07,5.170019448996754e-06,0.0,5.524019002223213e-07,48.20337293349653,1.0455614905774677,0.71980113901341,False,
6,3,client_3,0.05,fc1,336,17,0.050595238095238096,,,2.379540245890573e-06,1.4652861716648167e-07,1.862625140347518e-06,0.0,1.4536265098286094e-06,5.371927727537695e-06,0.0,1.4231911791284801e-06,16.239312515141734,1.021384554487059,0.4639287498058337,False,
6,4,client_4,0.05,fc1,336,17,0.050595238095238096,,,2.571448075126254e-06,3.375612507793518e-08,1.1595419664445217e-06,0.0,5.871755774933263e-07,1.4732189811184071e-05,0.0,5.379876597544353e-07,76.1749725188251,1.0914274248110403,0.8023559619479708,False,
6,5,client_5,0.05,fc1,336,17,0.050595238095238096,,,5.652991550211e-06,9.609857749195014e-08,2.0776235487574013e-06,0.0,1.0318553904653527e-06,5.2631323342211545e-05,0.0,9.96157382360252e-07,58.824312215987916,1.035834671210136,0.7581544656155528,False,
6,6,client_6,0.05,fc1,336,17,0.050595238095238096,,,3.4324072778284007e-06,1.4181341049989744e-07,2.2669380541628925e-06,0.0,1.3670799035025993e-06,1.7814292732509784e-05,0.0,1.2493586609707563e-06,24.203515465946833,1.0942244625061561,0.563290464537153,False,
6,7,client_7,0.05,fc1,336,17,0.050595238095238096,,,8.977720824532298e-07,2.9090502828757727e-08,7.018538212832937e-07,0.0,3.255031799653807e-07,3.209411033822107e-06,0.0,2.847549183115916e-07,30.860285483971563,1.1430953986677173,0.621877903341099,False,
6,8,client_8,0.05,fc1,336,17,0.050595238095238096,,,1.924034005268742e-06,6.322546518435829e-08,1.7351836731904768e-06,0.0,9.524407573735516e-07,4.662319042836316e-06,0.0,7.553987302344467e-07,30.430833032632233,1.26084339092622,0.6185726850069245,False,
6,9,client_9,0.05,fc1,336,17,0.050595238095238096,,,3.917867372017688e-06,5.071756040878097e-08,1.5316635426643188e-06,0.0,7.966330031194957e-07,2.116993346135132e-05,0.0,7.608712735418521e-07,77.24721168030989,1.0469996487205109,0.8045616363880049,False,
7,1,client_1,0.05,fc1,336,17,0.050595238095238096,0.7,0.01785714365541935,1.0143836936335634e-05,2.5828268210740917e-07,7.669887963857036e-06,0.0,3.638460611909977e-06,2.8461879992391914e-05,0.0,3.6355845622892957e-06,39.274013958486336,1.000790807855137,0.6766872820994032,False,
7,2,client_2,0.05,fc1,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,1.2641001122199883e-06,1.3416590333832447e-08,7.174179472713149e-07,0.0,2.547927238083503e-07,6.23255300524761e-06,0.0,2.143786730357533e-07,94.21215589155085,1.1885115794810315,0.8339169378684702,False,
7,3,client_3,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,2.1083370778368964e-06,9.853192460985017e-08,1.4650146340500214e-06,0.0,9.637331004341831e-07,1.0178802767768502e-05,0.0,9.376599905408511e-07,21.397285081966697,1.02780547570641,0.5327770480736298,False,
7,4,client_4,0.05,fc1,336,17,0.050595238095238096,0.4166666666666667,0.0416666679084301,2.257099867740501e-06,2.09238026444071e-08,1.1174845440109493e-06,0.0,3.635791472333949e-07,6.2539979808207136e-06,0.0,3.0070583534325124e-07,107.86719980576693,1.2090817517279784,0.8518229165982996,False,
7,5,client_5,0.05,fc1,336,17,0.050595238095238096,0.6190476190476191,0.02380952425301075,2.8581007628043368e-06,1.1554851287241903e-07,1.7939731833394035e-06,0.0,1.0272627832819126e-06,1.4338965229399037e-05,0.0,1.0203331157754292e-06,24.734857739816125,1.006790586925752,0.5686252654613914,False,
7,6,client_6,0.05,fc1,336,17,0.050595238095238096,0.4166666666666667,0.0416666679084301,1.2481036084382675e-06,6.73217948074323e-08,1.007877585834649e-06,0.0,7.34766786081309e-07,2.376377551627229e-06,0.0,6.743111384821532e-07,18.53909380928552,1.0896538029631744,0.4969797232682672,False,
7,7,client_7,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,1.5089338456378113e-06,4.650546634826447e-08,1.103648742173391e-06,0.0,4.315742785365728e-07,5.270191195450025e-06,0.0,4.225477425734425e-07,32.44567829209242,1.0213597510861403,0.633581137615308,False,
7,8,client_8,0.05,fc1,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,7.383337524114562e-07,2.9803775118007013e-08,4.920949550069054e-07,0.0,3.6063502761862765e-07,2.6359616640547756e-06,0.0,3.5870681358574075e-07,24.77233092644207,1.0053726569645138,0.5690026225700409,False,
7,9,client_9,0.05,fc1,336,17,0.050595238095238096,0.7,0.01785714365541935,6.210118680000425e-06,5.93612368691343e-08,2.7676780973706627e-06,0.0,9.746936484589241e-07,3.1890249374555424e-05,0.0,9.463918786423164e-07,104.61396011223101,1.0299038279506156,0.8479118083527563,False,
8,1,client_1,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,4.929058685079594e-06,1.6770776138997843e-07,4.125859049963765e-06,0.0,2.7494636469782563e-06,1.2074836376996245e-05,0.0,2.18457103073888e-06,29.39058546630071,1.2585822798657342,0.610330719553888,False,
8,2,client_2,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,1.1265053588511579e-06,1.8569326697108586e-08,9.207703328684147e-07,0.0,3.9228217474374105e-07,2.494849013601197e-06,0.0,3.7790042028973403e-07,60.661580015528514,1.0380542482295554,0.7637566029633539,False,
8,3,client_3,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,1.3033535223632283e-06,1.0316991455489346e-07,1.1246339681747486e-06,0.0,9.341682130070694e-07,2.584444928288576e-06,0.0,9.268402436646284e-07,12.632955014368529,1.0079053121476025,0.40235571831466077,False,
8,4,client_4,0.05,fc1,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,2.0923552296260503e-06,2.5691378645534817e-08,1.3904154911870137e-06,0.0,5.196493475523312e-07,5.6983603826665785e-06,0.0,4.896947416455077e-07,81.43875109787427,1.0611677892198355,0.8127398440711379,False,
8,5,client_5,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,8.66730901554333e-06,1.5165759138108234e-07,4.166965936747147e-06,0.0,2.3618867999175563e-06,3.5811335692415014e-05,0.0,2.256259449495701e-06,57.15013529147467,1.0468147861411408,0.7528202225568884,False,
8,6,client_6,0.05,fc1,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,1.6851957110809643e-06,9.131785487963662e-08,1.2476424444685108e-06,0.0,8.66634366047947e-07,7.132833616196876e-06,0.0,8.13385099718289e-07,18.453973314734913,1.0654649327645263,0.4958283122935647,False,
8,7,client_7,0.05,fc1,336,17,0.050595238095238096,0.6190476190476191,0.02380952425301075,1.3224198282306828e-06,3.813362051144483e-08,1.0374642442911863e-06,0.0,3.9529138007310394e-07,3.2588543490419397e-06,0.0,3.9326550904661417e-07,34.677671116034915,1.0051488519360539,0.6488856234046183,False,
8,8,client_8,0.05,fc1,336,17,0.050595238095238096,0.4166666666666667,0.0416666679084301,3.005412094460232e-06,6.691054676544328e-08,2.383360424573766e-06,0.0,1.1788688425440341e-06,6.6847260313807055e-06,0.0,1.0387002475908957e-06,44.91619518221014,1.1349450530441116,0.7053353760103468,False,
8,9,client_9,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,1.4555633724204894e-06,3.903662835012438e-08,1.1205420378246345e-06,0.0,6.169579478410014e-07,3.237181772419717e-06,0.0,5.50454046788218e-07,37.28616296476043,1.1208144088074277,0.6652257270155123,False,
9,1,client_1,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,4.30716548126999e-06,1.6524121128563122e-07,3.9069500417099334e-06,0.0,2.1153996385692153e-06,9.767132723936811e-06,0.0,1.6087225276351091e-06,26.0657700460374,1.314955368172517,0.5814311479162547,False,
9,2,client_2,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,1.1005464089334162e-06,2.346738201531494e-08,9.092027539736591e-07,0.0,5.129644478074624e-07,2.604608425826882e-06,0.0,4.1544666373738437e-07,46.894856586841996,1.2347270007317241,0.7142208108618194,False,
9,3,client_3,0.05,fc1,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,1.989954622625673e-06,9.16769739573083e-08,1.2117703818148584e-06,0.0,8.657087846586364e-07,1.1313746654195711e-05,0.0,8.627764600532828e-07,21.705918409064488,1.0033975442580205,0.5363403097822784,False,
9,4,client_4,0.05,fc1,336,17,0.050595238095238096,0.7,0.01785714365541935,2.0285564232835895e-06,3.380787693035728e-08,1.3615801890409784e-06,0.0,4.785028977494221e-07,6.493898126791464e-06,0.0,4.7438979322578234e-07,60.0007041778466,1.0086681794469032,0.7617699597060414,False,
9,5,client_5,0.05,fc1,336,17,0.050595238095238096,0.7,0.01785714365541935,3.3787733520833117e-06,1.1456660262607127e-07,2.363228531976347e-06,0.0,1.2865438066000934e-06,1.0619751265039667e-05,0.0,1.1769249113058322e-06,29.491525305902055,1.0931391638515606,0.6111464598026929,False,
9,6,client_6,0.05,fc1,336,17,0.050595238095238096,0.36,0.0476190485060215,1.751300828800595e-06,1.0643567604065552e-07,1.5144225926633226e-06,0.0,8.937244615481177e-07,4.0529598663852084e-06,0.0,8.921267067307781e-07,16.453922594610642,1.001789827628144,0.46719609173356647,False,
9,7,client_7,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,2.6030639867927035e-06,5.3577015010023105e-08,1.5431762676598737e-06,0.0,5.468987751555687e-07,9.870836947811767e-06,0.0,5.335828632269113e-07,48.58455443535441,1.0249537380087432,0.7213859074534821,False,
9,8,client_8,0.05,fc1,336,17,0.050595238095238096,0.4166666666666667,0.0416666679084301,9.370683742685395e-07,4.058169689619863e-08,7.507460395572707e-07,0.0,5.060653052169073e-07,2.179463308493723e-06,0.0,4.953347456648771e-07,23.090342582833973,1.021661185662319,0.5516800644898687,False,
9,9,client_9,0.05,fc1,336,17,0.050595238095238096,0.4166666666666667,0.0416666679084301,4.540479240484488e-06,4.9831462190723874e-08,2.268125854243408e-06,0.0,1.0740669722508756e-06,1.6477719327667728e-05,0.0,9.015649879984267e-07,91.1148885862132,1.191334840209999,0.8292276855449231,False,
10,1,client_1,0.05,fc1,336,17,0.050595238095238096,0.7894736842105263,0.011904762126505375,5.351084396084736e-06,1.880075038327557e-07,5.040097676101141e-06,0.0,1.7799092120185378e-06,1.4428173926717136e-05,0.0,1.7445460116505274e-06,28.461927450073382,1.0202701332390889,0.6026681650775533,False,
10,2,client_2,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,2.2389661617527214e-06,2.6153671747512397e-08,1.82215126187657e-06,0.0,4.277451353118522e-07,5.758295174018713e-06,0.0,4.1154106611429597e-07,85.60482744218237,1.0393715989972607,0.8202145963317582,False,
10,3,client_3,0.05,fc1,336,17,0.050595238095238096,0.4166666666666667,0.0416666679084301,1.702606128032237e-06,9.373044542964617e-08,1.451777507099905e-06,0.0,1.07992627818021e-06,3.475035782685154e-06,0.0,9.305078947363654e-07,18.164727111886855,1.1605759862039555,0.4918793592021535,False,
10,4,client_4,0.05,fc1,336,17,0.050595238095238096,0.7894736842105263,0.011904762126505375,3.1092975217795945e-06,4.0762021246768644e-08,2.488410927981022e-06,0.0,8.222582437156234e-07,7.82563347456744e-06,0.0,6.812862238803064e-07,76.27740600866463,1.2069186312234204,0.8025681707362208,False,
10,5,client_5,0.05,fc1,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,2.7840371217280335e-06,8.390928682204863e-08,1.1467028571132687e-06,0.0,6.665372893621679e-07,2.1842590285814367e-05,0.0,6.593805892407545e-07,33.17873442182643,1.010852138182464,0.6387501036919385,False,
10,6,client_6,0.05,fc1,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,1.6349696686708792e-06,8.101446359099424e-08,1.0332435067539336e-06,0.0,7.028333470771031e-07,4.8568872443865985e-06,0.0,6.720023861817026e-07,20.180958007288673,1.0458776868232393,0.5181854941678365,False,
10,7,client_7,0.05,fc1,336,17,0.050595238095238096,0.6190476190476191,0.02380952425301075,1.956531675392291e-06,5.2720967448273366e-08,1.2332866390352137e-06,0.0,7.315955485864833e-07,4.669119789468823e-06,0.0,7.211023671516159e-07,37.110369170344136,1.0145501767330694,0.664171015449401,False,
10,8,client_8,0.05,fc1,336,17,0.050595238095238096,0.6190476190476191,0.02380952425301075,1.8939308407585913e-06,4.326705307028614e-08,1.4172954934110749e-06,0.0,6.780432499908784e-07,3.8059401958889794e-06,0.0,6.566418164766219e-07,43.772037481835014,1.0325906763574841,0.6999459220713838,False,
10,9,client_9,0.05,fc1,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,3.1782717675977277e-06,5.252410070426608e-08,2.7361381853552302e-06,0.0,8.601041372457985e-07,8.956017154559959e-06,0.0,7.397810009024397e-07,60.50957970537673,1.16264539580117,0.7632973474787131,False,
11,1,client_1,0.05,fc1,336,17,0.050595238095238096,0.6190476190476191,0.02380952425301075,3.7936138676955394e-06,1.371035323805173e-07,3.506228040350834e-06,0.0,1.2377238363114884e-06,9.396349014423322e-06,0.0,1.0703548696255893e-06,27.669500065590945,1.1563666547131137,0.5958879032678903,False,
11,2,client_2,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,1.6253918167475444e-06,3.117140146357601e-08,1.0212930874331505e-06,0.0,6.286699090196635e-07,4.010448265034938e-06,0.0,6.145496627141256e-07,52.142014744894276,1.0229749102265728,0.7353669296102593,False,
11,3,client_3,0.05,fc1,336,17,0.050595238095238096,0.21428571428571427,0.065476194024086,1.6487367367838435e-06,1.3730248894293284e-07,1.5704924862802727e-06,0.0,1.1815014886451536e-06,2.9609568628075067e-06,0.0,1.167024606729683e-06,12.00797408337602,1.0124040825085543,0.39021715338424784,False,
11,4,client_4,0.05,fc1,336,17,0.050595238095238096,0.6190476190476191,0.02380952425301075,2.382927016911066e-06,2.3343677610137856e-08,1.5002425470811431e-06,0.0,4.927527470499626e-07,8.297686690639239e-06,0.0,4.4135688881397073e-07,102.07581602567241,1.1164471272374934,0.8447207195823729,False,
11,5,client_5,0.05,fc1,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,2.8957466811869596e-06,1.101891902970629e-07,2.152454726456199e-06,0.0,9.91531237559684e-07,1.0364155969000421e-05,0.0,9.107508844863332e-07,26.279532446402765,1.0886952357160486,0.5834182885775463,False,
11,6,client_6,0.05,fc1,336,17,0.050595238095238096,0.4166666666666667,0.0416666679084301,1.8222927685522283e-06,9.886766459406585e-08,1.9097292351943906e-06,0.0,8.929635555432469e-07,3.5155596833646996e-06,0.0,8.460187927994411e-07,18.43144919610458,1.0554877830794844,0.49552276714797744,False,
11,7,client_7,0.05,fc1,336,17,0.050595238095238096,0.6190476190476191,0.02380952425301075,1.3496725025962565e-06,4.238702933414004e-08,1.1710144462995231e-06,0.0,5.294559741741978e-07,3.360851906109019e-06,0.0,5.274506520436262e-07,31.84088818937396,1.0038000110963834,0.6292024918664901,False,
