round,client_id,client_name,tau,head_prefixes,head_exact_names,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,use_head_importance_ema,head_importance_ema_beta,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.05,fc1,,336,17,0.050595238095238096,,,False,,8.811233141493764e-06,1.608423796252368e-07,5.181440883461619e-06,0.0,2.616037363623036e-06,2.7398502425057814e-05,0.0,2.5243605250580003e-06,2.616037363623036e-06,54.78144740569264,5181440.883461619,1.0363164458240306,0.0001497909688623622,5.1308721594978124e-05,0.74485926744516,5.102040177007439e-06,0.0
6,2,client_2,0.05,fc1,,336,17,0.050595238095238096,,,False,,1.9894813543514294e-06,4.127165859789945e-08,1.400617520630476e-06,0.0,5.775711997557664e-07,5.170019448996754e-06,0.0,5.524019002223213e-07,5.775711997557664e-07,48.20337293349653,1400617.520630476,1.0455614905774677,3.38211830239743e-05,1.3165658856451046e-05,0.71980113901341,1.181776951852953e-06,0.0
6,3,client_3,0.05,fc1,,336,17,0.050595238095238096,,,False,,2.379540245890573e-06,1.4652861716648167e-07,1.862625140347518e-06,0.0,1.4536265098286094e-06,5.371927727537695e-06,0.0,1.4231911791284801e-06,1.4536265098286094e-06,16.239312515141734,1862625.140347518,1.021384554487059,4.045218156534247e-05,4.6742632548557594e-05,0.4639287498058337,1.7114094816861325e-06,0.0
6,4,client_4,0.05,fc1,,336,17,0.050595238095238096,,,False,,2.571448075126254e-06,3.375612507793518e-08,1.1595419664445217e-06,0.0,5.871755774933263e-07,1.4732189811184071e-05,0.0,5.379876597544353e-07,5.871755774933263e-07,76.1749725188251,1159541.9664445217,1.0914274248110403,4.371461909613572e-05,1.0768204447231255e-05,0.8023559619479708,1.4614939800594584e-06,0.0
6,5,client_5,0.05,fc1,,336,17,0.050595238095238096,,,False,,5.652991550211e-06,9.609857749195014e-08,2.0776235487574013e-06,0.0,1.0318553904653527e-06,5.2631323342211545e-05,0.0,9.96157382360252e-07,1.0318553904653527e-06,58.824312215987916,2077623.5487574013,1.035834671210136,9.610086272004992e-05,3.0655446607852355e-05,0.7581544656155528,3.1724216569273267e-06,0.0
6,6,client_6,0.05,fc1,,336,17,0.050595238095238096,,,False,,3.4324072778284007e-06,1.4181341049989744e-07,2.2669380541628925e-06,0.0,1.3670799035025993e-06,1.7814292732509784e-05,0.0,1.2493586609707563e-06,1.3670799035025993e-06,24.203515465946833,2266938.0541628925,1.0942244625061561,5.835092088091187e-05,4.523847746895626e-05,0.563290464537153,2.2144299691717606e-06,0.0
6,7,client_7,0.05,fc1,,336,17,0.050595238095238096,,,False,,8.977720824532298e-07,2.9090502828757727e-08,7.018538212832937e-07,0.0,3.255031799653807e-07,3.209411033822107e-06,0.0,2.847549183115916e-07,3.255031799653807e-07,30.860285483971563,701853.8212832937,1.1430953986677173,1.5262125089066103e-05,9.279870027967263e-06,0.621877903341099,5.539752123695507e-07,0.0
6,8,client_8,0.05,fc1,,336,17,0.050595238095238096,,,False,,1.924034005268742e-06,6.322546518435829e-08,1.7351836731904768e-06,0.0,9.524407573735516e-07,4.662319042836316e-06,0.0,7.553987302344467e-07,9.524407573735516e-07,30.430833032632233,1735183.6731904768,1.26084339092622,3.270857996540144e-05,2.0168923583696596e-05,0.6185726850069245,1.2268599220988108e-06,0.0
6,9,client_9,0.05,fc1,,336,17,0.050595238095238096,,,False,,3.917867372017688e-06,5.071756040878097e-08,1.5316635426643188e-06,0.0,7.966330031194957e-07,2.116993346135132e-05,0.0,7.608712735418521e-07,7.966330031194957e-07,77.24721168030989,1531663.5426643188,1.0469996487205109,6.660373765043914e-05,1.617890302441083e-05,0.8045616363880049,2.182359139624168e-06,0.0
7,1,client_1,0.05,fc1,,336,17,0.050595238095238096,0.7,0.01785714365541935,False,,1.0143836936335634e-05,2.5828268210740917e-07,7.669887963857036e-06,0.0,3.638460611909977e-06,2.8461879992391914e-05,0.0,3.6355845622892957e-06,3.638460611909977e-06,39.274013958486336,7669887.963857036,1.000790807855137,0.0001724452304188162,8.239217277150601e-05,0.6766872820994032,6.073624263081001e-06,0.0
7,2,client_2,0.05,fc1,,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,False,,1.2641001122199883e-06,1.3416590333832447e-08,7.174179472713149e-07,0.0,2.547927238083503e-07,6.23255300524761e-06,0.0,2.143786730357533e-07,2.547927238083503e-07,94.21215589155085,717417.9472713149,1.1885115794810315,2.1489702703547664e-05,4.279892436898081e-06,0.8339169378684702,7.001734161349304e-07,0.0
7,3,client_3,0.05,fc1,,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,False,,2.1083370778368964e-06,9.853192460985017e-08,1.4650146340500214e-06,0.0,9.637331004341831e-07,1.0178802767768502e-05,0.0,9.376599905408511e-07,9.637331004341831e-07,21.397285081966697,1465014.6340500214,1.02780547570641,3.5841731005348265e-05,3.1431682145921513e-05,0.5327770480736298,1.411257130712329e-06,0.0
7,4,client_4,0.05,fc1,,336,17,0.050595238095238096,0.4166666666666667,0.0416666679084301,False,,2.257099867740501e-06,2.09238026444071e-08,1.1174845440109493e-06,0.0,3.635791472333949e-07,6.2539979808207136e-06,0.0,3.0070583534325124e-07,3.635791472333949e-07,107.86719980576693,1117484.5440109493,1.2090817517279784,3.837069743894972e-05,6.674693850072799e-06,0.8518229165982996,1.242623397956777e-06,0.0
7,5,client_5,0.05,fc1,,336,17,0.050595238095238096,0.6190476190476191,0.02380952425301075,False,,2.8581007628043368e-06,1.1554851287241903e-07,1.7939731833394035e-06,0.0,1.0272627832819126e-06,1.4338965229399037e-05,0.0,1.0203331157754292e-06,1.0272627832819126e-06,24.734857739816125,1793973.1833394035,1.006790586925752,4.858771353610791e-05,3.685997216962278e-05,0.5686252654613914,1.7893150925374357e-06,0.0
7,6,client_6,0.05,fc1,,336,17,0.050595238095238096,0.4166666666666667,0.0416666679084301,False,,1.2481036084382675e-06,6.73217948074323e-08,1.007877585834649e-06,0.0,7.34766786081309e-07,2.376377551627229e-06,0.0,6.743111384821532e-07,7.34766786081309e-07,18.53909380928552,1007877.5858346489,1.0896538029631744,2.1217761968728155e-05,2.1475652829394676e-05,0.4969797232682672,8.775908781899489e-07,0.0
7,7,client_7,0.05,fc1,,336,17,0.050595238095238096,0.5454545454545454,0.02976190485060215,False,,1.5089338456378113e-06,4.650546634826447e-08,1.103648742173391e-06,0.0,4.315742785365728e-07,5.270191195450025e-06,0.0,4.225477425734425e-07,4.315742785365728e-07,32.44567829209242,1103648.742173391,1.0213597510861403,2.565187605796382e-05,1.483524374634726e-05,0.633581137615308,9.129808518082427e-07,0.0
7,8,client_8,0.05,fc1,,336,17,0.050595238095238096,0.4782608695652174,0.0357142873108387,False,,7.383337524114562e-07,2.9803775118007013e-08,4.920949550069054e-07,0.0,3.6063502761862765e-07,2.6359616640547756e-06,0.0,3.5870681358574075e-07,3.6063502761862765e-07,24.77233092644207,492094.95500690537,1.0053726569645138,1.2551674444694072e-05,9.507404683972709e-06,0.5690026225700409,4.990588990949618e-07,0.0
7,9,client_9,0.05,fc1,,336,17,0.050595238095238096,0.7,0.01785714365541935,False,,6.210118680000425e-06,5.93612368691343e-08,2.7676780973706627e-06,0.0,9.746936484589241e-07,3.1890249374555424e-05,0.0,9.463918786423164e-07,9.746936484589241e-07,104.61396011223101,2767678.0973706627,1.0299038279506156,0.00010557202040217817,1.8936234482680447e-05,0.8479118083527563,3.3440448987676064e-06,0.0
8,1,client_1,0.05,fc1,,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,False,,4.929058685079594e-06,1.6770776138997843e-07,4.125859049963765e-06,0.0,2.7494636469782563e-06,1.2074836376996245e-05,0.0,2.18457103073888e-06,2.7494636469782563e-06,29.39058546630071,4125859.049963765,1.2585822798657342,8.379399514524266e-05,5.3498773922910914e-05,0.610330719553888,3.0606570362579077e-06,0.0
