round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share,use_head_importance_ema,head_importance_ema_beta
6,1,client_1,0.05,fc1,336,17,0.050595238095238096,,,9.63144939572992e-06,1.6805299594595354e-07,5.704562681785319e-06,0.0,2.6837747100216802e-06,2.880047759390436e-05,0.0,2.6766304017655784e-06,57.31163571277062,1.0026687680086956,0.753344860154902,True,0.8
6,2,client_2,0.05,fc1,336,17,0.050595238095238096,,,2.0387011712794927e-06,4.10867353556872e-08,1.28911472074833e-06,0.0,5.795973265776411e-07,5.298274118104018e-06,0.0,5.510984237844241e-07,49.61824139566027,1.0517110008889514,0.7255986313000374,True,0.8
6,3,client_3,0.05,fc1,336,17,0.050595238095238096,,,2.23394947089914e-06,1.4319781323141291e-07,1.8428966086503351e-06,0.0,1.2042627304253983e-06,4.7268904381780885e-06,0.0,1.1309256251479383e-06,15.600335089991429,1.064846033019929,0.45396119720560013,True,0.8
6,4,client_4,0.05,fc1,336,17,0.050595238095238096,,,2.4807994136341116e-06,3.405686783767587e-08,1.1282276091151289e-06,0.0,5.670086125064699e-07,1.459375380363781e-05,0.0,5.569583549913659e-07,72.84071408867744,1.018043071590493,0.7951620065847929,True,0.8
6,5,client_5,0.05,fc1,336,17,0.050595238095238096,,,5.783557158418476e-06,1.0098098730313042e-07,2.2494457425636938e-06,0.0,1.2230063930473989e-06,5.217091893428005e-05,0.0,1.1907868611160666e-06,57.27315645964898,1.0270564833446785,0.7532207602392997,True,0.8
6,6,client_6,0.05,fc1,336,17,0.050595238095238096,,,3.565502257676117e-06,1.4050907876176658e-07,2.278610281791771e-06,0.0,1.3125679743097862e-06,1.9229413737775758e-05,0.0,1.2978202903468627e-06,25.37541996344184,1.011362646053512,0.5748850258015882,True,0.8
6,7,client_7,0.05,fc1,336,17,0.050595238095238096,,,9.142471242284955e-07,3.022410058866785e-08,6.809112278460816e-07,0.0,3.4866874898398237e-07,2.94605865747144e-06,0.0,3.4312779462197796e-07,30.247943147334624,1.0161454079308843,0.6171534647260427,True,0.8
6,8,client_8,0.05,fc1,336,17,0.050595238095238096,,,1.7322108526647806e-06,6.309403048324354e-08,1.6651574696879834e-06,0.0,9.019453841574432e-07,4.36091386291082e-06,0.0,7.513925197599747e-07,27.453998189680124,1.2003635384632554,0.5940057219470695,True,0.8
6,9,client_9,0.05,fc1,336,17,0.050595238095238096,,,3.6978101300465983e-06,5.150238366380888e-08,1.813839503483905e-06,0.0,7.959596359796706e-07,1.7395708709955215e-05,0.0,7.533141115345643e-07,71.79742119827027,1.0566091450870219,0.792800619724117,True,0.8
7,1,client_1,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,9.766190340301632e-06,1.9020937405891624e-07,6.1220353018143214e-06,0.0,3.110720854238025e-06,2.8601894882740453e-05,0.0,3.008984776897705e-06,51.3441519087525,1.0338104214786983,0.7323499943800894,True,0.8
7,2,client_2,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,1.8686059240066885e-06,3.77129081514223e-08,1.2421212431945605e-06,0.0,5.1443356596792e-07,4.605817139236024e-06,0.0,4.87708291529998e-07,49.54686521757937,1.054795499905456,0.7253123367448648,True,0.8
7,3,client_3,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,2.0780496938374094e-06,1.425339452275508e-07,1.7432187178201275e-06,0.0,1.0358736517446232e-06,4.720356173493201e-06,0.0,1.0294685353073874e-06,14.57922960941188,1.006220792570927,0.43723955455205255,True,0.8
7,4,client_4,0.05,fc1,336,17,0.050595238095238096,0.7894736842105263,0.011904762126505375,2.3941773092166626e-06,3.21321450677951e-08,1.252604192814033e-06,0.0,5.188791760701861e-07,1.284123572986573e-05,0.0,5.006472179047705e-07,74.50802914452922,1.0364147070006815,0.7988239480003664,True,0.8
7,5,client_5,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,5.196872560939964e-06,1.0449679799519764e-07,2.1353648662625346e-06,0.0,1.178365323539765e-06,4.442629506229423e-05,0.0,1.1172803624504013e-06,49.73188584489402,1.0546719592237674,0.7260509424088757,True,0.8
7,6,client_6,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,3.0393883555328048e-06,1.2926351755929748e-07,2.065977469101199e-06,0.0,1.122743015002925e-06,1.555862218083348e-05,0.0,1.1216287703064154e-06,23.512936209571563,1.000992524205385,0.5561572238568243,True,0.8
7,7,client_7,0.05,fc1,336,17,0.050595238095238096,0.7,0.01785714365541935,1.036094286131201e-06,3.448806984592272e-08,7.911582997621736e-07,0.0,3.495848659440526e-07,3.391699010535376e-06,0.0,3.399081833777018e-07,30.041235984614044,1.028465493253824,0.6155309936390542,True,0.8
7,8,client_8,0.05,fc1,336,17,0.050595238095238096,1.0,0.0,1.5303358977422142e-06,5.76470860542844e-08,1.4421069636227912e-06,0.0,7.7823489164075e-07,4.077093308296753e-06,0.0,7.228155709526618e-07,26.54617008969164,1.076669964296817,0.5858717016721022,True,0.8
7,9,client_9,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,4.1258036276303756e-06,5.414081395875303e-08,2.11511996894842e-06,0.0,8.530244031135226e-07,1.874819463409949e-05,0.0,7.950995950523065e-07,76.20364605392692,1.0728509177601677,0.8024138790178365,True,0.8
8,1,client_1,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,8.812832247178235e-06,1.885436225398296e-07,6.0247612054809e-06,0.0,3.1285130717151333e-06,2.523242983443197e-05,0.0,3.051830162803526e-06,46.74136089623317,1.025126523985411,0.7135435705605363,True,0.8
8,2,client_2,0.05,fc1,336,17,0.050595238095238096,1.0,0.0,1.6714365609218743e-06,3.429978417360453e-08,1.1185009043401806e-06,0.0,4.822448431696102e-07,4.602155513566686e-06,0.0,4.393283461467945e-07,48.728814841734554,1.0976841119292684,0.7219834966105847,True,0.8
8,3,client_3,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,1.872447743313815e-06,1.3656416104857266e-07,1.631858594919322e-06,0.0,1.1048961141568725e-06,3.921722054656129e-06,0.0,1.0347072247895994e-06,13.711020650778087,1.0678335086990782,0.42219467444660813,True,0.8
8,4,client_4,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,2.2955482028705504e-06,3.0818660732894394e-08,1.0820879197126487e-06,0.0,4.956532393407542e-07,1.1333954716974404e-05,0.0,4.830235411645845e-07,74.48324051213417,1.0261450446093725,0.7987706855552995,True,0.8
8,5,client_5,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,5.886370993667858e-06,1.1829446767877909e-07,2.5818021640588995e-06,0.0,1.696344497759128e-06,4.1506336856400594e-05,0.0,1.4200493296812056e-06,49.759902971530394,1.1945664616971352,0.7261627478700965,True,0.8
8,6,client_6,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,2.6498997907337445e-06,1.2027776434659096e-07,1.844340317802562e-06,0.0,1.109128334064735e-06,1.283006258745445e-05,0.0,1.0180316394325928e-06,22.03131870475397,1.0894820962547085,0.5400379987755268,True,0.8
8,7,client_7,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,1.0839650348557103e-06,3.678542258495185e-08,8.729266482987441e-07,0.0,3.8886517472747073e-07,3.266788326072856e-06,0.0,3.5299490264151245e-07,29.466443287669012,1.1016138482558695,0.6109486511736788,True,0.8
8,8,client_8,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,1.8179396995358677e-06,6.271494655448986e-08,1.6061662790889386e-06,0.0,9.38946868700441e-07,4.465890924620908e-06,0.0,7.923786142782774e-07,28.986881318236605,1.1849710060444467,0.6070387290057492,True,0.8
8,9,client_9,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,3.573067906071468e-06,5.2448694034656827e-08,1.9541957954061218e-06,0.0,8.830497222334088e-07,1.5266923583112657e-05,0.0,8.54540530781378e-07,68.12371305179619,1.033360802752282,0.7840399566431027,True,0.8
9,1,client_1,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,7.904257913918735e-06,1.8501008893104825e-07,5.669990059686825e-06,0.0,3.130074446744402e-06,2.1307459974195808e-05,0.0,3.0903020160621963e-06,42.72315762037686,1.0128697511135605,0.6948237419747925,True,0.8
9,2,client_2,0.05,fc1,336,17,0.050595238095238096,0.6190476190476191,0.02380952425301075,1.49187729903133e-06,3.511005914591325e-08,9.857568556981278e-07,0.0,5.009927690480254e-07,4.125292889511911e-06,0.0,4.7004559178276395e-07,42.49023912469975,1.0658364038932624,0.6936682233846037,True,0.8
9,3,client_3,0.05,fc1,336,17,0.050595238095238096,1.0,0.0,1.762888901419715e-06,1.2906625757408998e-07,1.520064643045771e-06,0.0,1.0559016345723649e-06,4.020750566269271e-06,0.0,9.053150620275119e-07,13.658684119849244,1.1663348071032862,0.42126208312075014,True,0.8
9,4,client_4,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,2.2274529034321484e-06,3.458243825331958e-08,9.93468233900785e-07,0.0,5.058263923274353e-07,1.0186249710386619e-05,0.0,4.798747568202089e-07,64.40808132251976,1.054077821474422,0.7743938807413536,True,0.8
9,5,client_5,0.05,fc1,336,17,0.050595238095238096,1.0,0.0,5.357540531162265e-06,1.1795879449547719e-07,2.8517831651697634e-06,0.0,1.6400637150582043e-06,3.5264827602077276e-05,0.0,1.4197742075339193e-06,45.418361010858526,1.1551573138869746,0.7076394986185776,True,0.8
9,6,client_6,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,2.361618873478352e-06,1.1803969046516113e-07,1.6003305063350126e-06,0.0,1.1325549849061645e-06,1.0712894436437637e-05,0.0,9.791439197215368e-07,20.00682022590648,1.1566775888785252,0.5160204685350254,True,0.8
9,7,client_7,0.05,fc1,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,1.347915210036423e-06,4.099413136374163e-08,1.03710578969185e-06,0.0,4.1638125480858434e-07,4.4391599658411e-06,0.0,4.0177931737162e-07,32.879885127739676,1.0363405990927612,0.6366625141167139,True,0.8
9,8,client_8,0.05,fc1,336,17,0.050595238095238096,1.0,0.0,1.5881078772562272e-06,5.999326291466483e-08,1.3428085594568984e-06,0.0,8.17452985302225e-07,3.963740709878039e-06,0.0,6.723354317728081e-07,26.470995726960325,1.215839193998123,0.5851833153457884,True,0.8
9,9,client_9,0.05,fc1,336,17,0.050595238095238096,1.0,0.0,3.634610373089398e-06,5.4852171333395806e-08,2.298368144693086e-06,0.0,9.56005351326894e-07,1.4503531929221936e-05,0.0,7.96792562596238e-07,66.26071537410942,1.19981560620531,0.7793078836787661,True,0.8
10,1,client_1,0.05,fc1,336,17,0.050595238095238096,1.0,0.0,7.210171200794695e-06,1.8636952644767184e-07,5.6138442232622765e-06,0.0,2.9569584967248375e-06,1.822922240535263e-05,0.0,2.750126895989524e-06,38.687293201476955,1.0752076298113014,0.6733858271764823,True,0.8
