round,client_id,client_name,tau,head_prefixes,head_exact_names,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,use_head_importance_ema,head_importance_ema_beta,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.05,fc1,,336,17,0.050595238095238096,,,True,0.8,9.63144939572992e-06,1.6805299594595354e-07,5.704562681785319e-06,0.0,2.6837747100216802e-06,2.880047759390436e-05,0.0,2.6766304017655784e-06,2.6837747100216802e-06,57.31163571277062,5704562.681785319,1.0026687680086956,0.000163734657689929,5.3608906455338e-05,0.753344860154902,5.557742952078115e-06,0.0
6,2,client_2,0.05,fc1,,336,17,0.050595238095238096,,,True,0.8,2.0387011712794927e-06,4.10867353556872e-08,1.28911472074833e-06,0.0,5.795973265776411e-07,5.298274118104018e-06,0.0,5.510984237844241e-07,5.795973265776411e-07,49.61824139566027,1289114.72074833,1.0517110008889514,3.46579217875842e-05,1.3106668120599352e-05,0.7255986313000374,1.2038326531182975e-06,0.0
6,3,client_3,0.05,fc1,,336,17,0.050595238095238096,,,True,0.8,2.23394947089914e-06,1.4319781323141291e-07,1.8428966086503351e-06,0.0,1.2042627304253983e-06,4.7268904381780885e-06,0.0,1.1309256251479383e-06,1.2042627304253983e-06,15.600335089991429,1842896.608650335,1.064846033019929,3.7977144529577345e-05,4.5680102630285546e-05,0.45396119720560013,1.6099488675536122e-06,0.0
6,4,client_4,0.05,fc1,,336,17,0.050595238095238096,,,True,0.8,2.4807994136341116e-06,3.405686783767587e-08,1.1282276091151289e-06,0.0,5.670086125064699e-07,1.459375380363781e-05,0.0,5.569583549913659e-07,5.670086125064699e-07,72.84071408867744,1128227.6091151289,1.018043071590493,4.21735858253669e-05,1.086414067685837e-05,0.7951620065847929,1.4189605508363456e-06,0.0
6,5,client_5,0.05,fc1,,336,17,0.050595238095238096,,,True,0.8,5.783557158418476e-06,1.0098098730313042e-07,2.2494457425636938e-06,0.0,1.2230063930473989e-06,5.217091893428005e-05,0.0,1.1907868611160666e-06,1.2230063930473989e-06,57.27315645964898,2249445.742563694,1.0270564833446785,9.832047362579033e-05,3.221293445676565e-05,0.7532207602392997,3.250219378969632e-06,0.0
6,6,client_6,0.05,fc1,,336,17,0.050595238095238096,,,True,0.8,3.565502257676117e-06,1.4050907876176658e-07,2.278610281791771e-06,0.0,1.3125679743097862e-06,1.9229413737775758e-05,0.0,1.2978202903468627e-06,1.3125679743097862e-06,25.37541996344184,2278610.281791771,1.011362646053512,6.061353633413091e-05,4.482239091885276e-05,0.5748850258015882,2.2776425794290844e-06,0.0
6,7,client_7,0.05,fc1,,336,17,0.050595238095238096,,,True,0.8,9.142471242284955e-07,3.022410058866785e-08,6.809112278460816e-07,0.0,3.4866874898398237e-07,2.94605865747144e-06,0.0,3.4312779462197796e-07,3.4866874898398237e-07,30.247943147334624,680911.2278460816,1.0161454079308843,1.5542202163487673e-05,9.641487849876285e-06,0.6171534647260427,5.665750677508186e-07,0.0
6,8,client_8,0.05,fc1,,336,17,0.050595238095238096,,,True,0.8,1.7322108526647806e-06,6.309403048324354e-08,1.6651574696879834e-06,0.0,9.019453841574432e-07,4.36091386291082e-06,0.0,7.513925197599747e-07,9.019453841574432e-07,27.453998189680124,1665157.4696879834,1.2003635384632554,2.94475830742158e-05,2.012699405895546e-05,0.5940057219470695,1.129133352151257e-06,0.0
6,9,client_9,0.05,fc1,,336,17,0.050595238095238096,,,True,0.8,3.6978101300465983e-06,5.150238366380888e-08,1.813839503483905e-06,0.0,7.959596359796706e-07,1.7395708709955215e-05,0.0,7.533141115345643e-07,7.959596359796706e-07,71.79742119827027,1813839.503483905,1.0566091450870219,6.286277493927628e-05,1.6429259630967863e-05,0.792800619724117,2.0751983811351238e-06,0.0
7,1,client_1,0.05,fc1,,336,17,0.050595238095238096,0.8888888888888888,0.0059523810632526875,True,0.8,9.766190340301632e-06,1.9020937405891624e-07,6.1220353018143214e-06,0.0,3.110720854238025e-06,2.8601894882740453e-05,0.0,3.008984776897705e-06,3.110720854238025e-06,51.3441519087525,6122035.301814321,1.0338104214786983,0.00016602521645836532,6.0676793509628624e-05,0.7323499943800894,5.685633368557319e-06,0.0
