round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_param_exact_names,head_personalization_tau,use_head_importance_ema,head_importance_ema_beta,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
1,9,0.004113534248204181,0.001497209826088353,0.004113534248204181,0.0,0.0,0.004113534248204181,0.0,0.0,1.1808428764343262,0.30324089527130127,0.1631506234407425,0.7683780789375305,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,False,,0.0023418473070224064,10.149676322937012,207.40963745117188,14.401723419479069,11.846517026424408,0.762866735458374,1.499468247095744,4.5983377827538385,2.1045530741173333,0.6463531917995877,5211,,,,,,,
2,9,0.001535375113527406,0.001046532527483931,0.001535375113527406,0.00012992972129396128,0.00012992972129396128,0.0016653048333321804,0.08504976633708929,0.08462408962122205,1.1797940731048584,0.02017316615415944,0.008349855430424213,0.05111376941204071,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,False,,0.001030132565617229,5.0162434577941895,49.27996063232422,7.019968705936247,6.558093428611755,0.9436577558517456,1.0531112353007,2.074573132726881,1.4089207093376919,0.8439154624938965,5211,,,,,,,
3,9,0.001274528250215218,0.0009595965904656217,0.001274528250215218,9.091225079160967e-05,9.091225079160967e-05,0.0013654405000950625,0.0709431626643792,0.07133011818680993,1.176733136177063,0.02106812699801392,0.00950815249234438,0.04256465658545494,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,False,,0.0008983402563829012,4.251872539520264,35.20975875854492,5.933781151891678,5.523530021309853,0.959744393825531,0.9781555864546034,1.7838439610269334,1.311638144927071,0.8629089792569479,5211,,,,,,,
4,9,0.0011636631435193504,0.0008454144783070364,0.0011636631435193504,7.034021149135769e-05,7.034021149135769e-05,0.0012340033556916836,0.06067877219244036,0.06044722806823243,1.1770695447921753,0.014481948585146003,0.008597244508564472,0.030979013070464134,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,False,,0.000853865944311799,4.010533809661865,31.2612361907959,5.591174848884258,5.202803015708923,0.9642587304115295,0.9559299018647935,1.6897788047790527,1.2779885428833166,0.8692462378078036,5211,,,,,,,
5,9,0.0011105020677221855,0.0008813857299970986,0.0011105020677221855,6.293355869128149e-05,6.293355869128149e-05,0.001173435626627396,0.05566517562857187,0.056671266505335605,1.1742984056472778,0.0156473849589626,0.008058324456214905,0.02477264404296875,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,False,,0.0008638620383869853,4.128702163696289,32.95651626586914,5.7407766256726225,5.261148512363434,0.9623205065727234,0.949904567665524,1.6944037344720628,1.2816179559639453,0.8671241270171272,5211,,,,,,,
6,9,0.0010811737988794924,0.0008568833354939598,0.0010811737988794924,5.670349513267221e-05,5.670349513267221e-05,0.0011378772926826353,0.0528291317368956,0.05244623495222727,1.1735059022903442,0.013814340345561504,0.008570833131670952,0.019768578931689262,0.049999999999999996,16.0,320.0,2.673499655732788e-07,True,5,1,True,,fc1.weight,0.05,False,,0.0008379364217182856,4.4961652755737305,34.79682540893555,5.898883403571861,6.040463596582413,0.9602164626121521,0.975280311372545,1.6677498552534316,1.2681773350482008,0.8722263971964518,5211,,,3.6763137385678292e-06,8.793082572485425e-08,45.99521267619436,1.0472622669158476,0.6758701434330545
7,9,0.0010060913812095192,0.0007796120301545712,0.0010060913812095192,4.3019288046823714e-05,4.3019288046823714e-05,0.0010491106686736677,0.04422777707053343,0.04275882768456605,1.172876000404358,0.01310143568035629,0.005603710655122995,0.02198798581957817,0.049999999999999996,16.0,320.0,2.502500164622587e-07,True,5,1,True,,fc1.weight,0.05,False,,0.0007881469812159223,3.8777472972869873,27.622535705566406,5.255714576112977,5.147038772702217,0.9684188961982727,0.9317576289176941,1.5595004161198933,1.2280220840137428,0.8796825210253397,5211,0.5674625004907232,0.028472222491270967,3.4100124486100312e-06,8.394672444710833e-08,52.05318843628596,1.0714939699491313,0.666848527310455
8,9,0.00100327254737907,0.0007869904122309778,0.00100327254737907,4.3002128931926285e-05,4.3002128931926285e-05,0.001046274676665571,0.043480039287540656,0.042861861416822744,1.1746819019317627,0.018301914756496746,0.008742711506783962,0.03258383274078369,0.049999999999999996,16.0,320.0,2.3288994160313652e-07,True,5,1,True,,fc1.weight,0.05,False,,0.0007737095110249274,3.852609634399414,27.084489822387695,5.204276109353509,5.089607089757919,0.9690340757369995,0.9235647651884291,1.5282312432924907,1.216160708156782,0.8813762929704454,5211,0.5549581023265233,0.029166667618685298,3.0610641081649546e-06,8.403866786461411e-08,42.76328266542048,1.113788458639959,0.6579225248584675
9,9,0.0009693192130478434,0.0008164974142755173,0.0009693192130478434,3.413820665156151e-05,3.413820665156151e-05,0.0010034574193969015,0.03612430444972917,0.03521874544197008,1.1761856079101562,0.01591842430126336,0.006394749972969294,0.034807175397872925,0.049999999999999996,16.0,320.0,2.1464644264470837e-07,True,5,1,True,,fc1.weight,0.05,False,,0.0007768058859748669,3.998493194580078,27.87896156311035,5.28005317805705,5.3938716650009155,0.9681257605552673,0.9333541591962179,1.5315169890721638,1.217759187925359,0.8811618685722351,5211,0.5316367507330848,0.031944444972193904,2.726784849471642e-06,8.242863148156077e-08,39.03632296918451,1.0582504145030347,0.6333176338551262
10,9,0.0009450134369251702,0.0007662409122173392,0.0009450134369251702,3.1341556612972385e-05,3.1341556612972385e-05,0.0009763549924461921,0.034114267115281746,0.03316519676353442,1.1754837036132812,0.012922520956231488,0.005060251802206039,0.02745634689927101,0.049999999999999996,16.0,320.0,2.0260105691881512e-07,True,5,1,True,,fc1.weight,0.05,False,,0.0007567879748886989,3.699392557144165,25.008045196533203,5.000804454938545,4.8912279307842255,0.9714080691337585,0.9119901524649726,1.4927302797635396,1.2023535367651492,0.8841570284631517,5211,0.5162417829084496,0.03263888953046666,2.623950503988226e-06,7.516160461382936e-08,43.0874540074835,1.068477647949025,0.6536202145831944
