round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share,use_head_importance_ema,head_importance_ema_beta
6,1,client_1,0.05,fc1,320,16,0.05,,,9.298721096229201e-06,1.712324569047053e-07,6.796413345000474e-06,0.0,2.679565568541875e-06,2.850839518941939e-05,0.0,2.6619975415087538e-06,54.3043472012839,1.0065991873245599,0.7408077574214774,False,
6,2,client_2,0.05,fc1,320,16,0.05,,,2.058027483542446e-06,4.6058815168385564e-08,1.5433380440299516e-06,0.0,7.925653449092351e-07,5.6808930821716785e-06,0.0,7.210575176941347e-07,44.681627054270734,1.099169242801224,0.7016453279909384,False,
6,3,client_3,0.05,fc1,320,16,0.05,,,2.594961500790305e-06,1.4692200293389287e-07,1.9643131849989004e-06,0.0,1.449782985218917e-06,7.677542271267157e-06,0.0,1.4207665799403912e-06,17.66205052287076,1.020422344715765,0.48175464958345654,False,
6,4,client_4,0.05,fc1,320,16,0.05,,,2.5898743345464936e-06,3.673043932123737e-08,1.17679428512929e-06,0.0,6.245108465918747e-07,1.4672018551209476e-05,0.0,6.242845529413898e-07,70.5083814412108,1.0003608823709331,0.7877339271867089,False,
6,5,client_5,0.05,fc1,320,16,0.05,,,6.135109863691923e-06,1.0016370101228146e-07,2.073367454613617e-06,0.0,1.153510083895526e-06,5.391548984334804e-05,0.0,1.1214009418836213e-06,61.250218906355855,1.028632144115938,0.7632423201205457,False,
6,6,client_6,0.05,fc1,320,16,0.05,,,3.717905897815399e-06,1.4574095110152554e-07,2.418205554022279e-06,0.0,1.4036852462595562e-06,1.9218598026782274e-05,0.0,1.2723048712359741e-06,25.510197096410916,1.1032608415898877,0.5731331842621813,False,
6,7,client_7,0.05,fc1,320,16,0.05,,,9.489299142018126e-07,3.007361690507751e-08,7.761285019114439e-07,0.0,3.2101814895213465e-07,3.0728717774763936e-06,0.0,3.1514318266090413e-07,31.552518763476062,1.018638980550534,0.6241610421441607,False,
6,8,client_8,0.05,fc1,320,16,0.05,,,1.915912918093454e-06,6.639219733952694e-08,1.7002867593873816e-06,0.0,9.641725000619772e-07,5.072296517028008e-06,0.0,9.220433412338025e-07,28.857066610238736,1.0456899488931328,0.6029880309228427,False,
6,9,client_9,0.05,fc1,320,16,0.05,,,3.827380638199429e-06,4.80632508370556e-08,1.618896590116492e-06,0.0,8.016760375539889e-07,1.647607314225752e-05,0.0,7.27085534890648e-07,79.63050648963143,1.1025868298806536,0.8073650512651783,False,
7,1,client_1,0.05,fc1,320,16,0.05,0.7777777777777778,0.012500000186264515,1.04283648170167e-05,2.816048201664939e-07,8.135296411637682e-06,0.0,4.4279217945586424e-06,3.022389682882931e-05,0.0,4.342711690696888e-06,37.03178013455523,1.0196211699761517,0.6609075158433322,False,
7,2,client_2,0.05,fc1,320,16,0.05,0.391304347826087,0.04374999925494194,1.682426409743698e-06,2.1918624930101404e-08,8.862247113938793e-07,0.0,4.5079420374349866e-07,7.0741311901656445e-06,0.0,4.211914017560048e-07,76.75434297387473,1.0702809496659489,0.801582821103602,False,
7,3,client_3,0.05,fc1,320,16,0.05,0.5238095238095238,0.03125,2.185659852216304e-06,9.960807033957877e-08,1.4333400031318888e-06,0.0,1.0019493856816553e-06,1.1547754183993675e-05,0.0,9.675471801529056e-07,21.94237778512678,1.0355550309890647,0.5359356567639381,False,
7,4,client_4,0.05,fc1,320,16,0.05,0.6,0.02500000037252903,2.9719562135710476e-06,2.4102643143469854e-08,1.6077406144177075e-06,0.0,5.044944373366889e-07,7.95531741459854e-06,0.0,4.974267540092114e-07,123.29904636744541,1.0142064516314595,0.86648314492388,False,
7,5,client_5,0.05,fc1,320,16,0.05,0.6842105263157895,0.01875000074505806,2.9422933778278093e-06,1.1978504196884462e-07,1.8408483697385236e-06,0.0,1.1359454674675362e-06,1.4698545783176087e-05,0.0,1.0629395319483592e-06,24.562906741614153,1.068682050712056,0.563851154951812,False,
7,6,client_6,0.05,fc1,320,16,0.05,0.391304347826087,0.04374999925494194,1.2740210273420871e-06,6.621096327987625e-08,9.86639093980557e-07,0.0,7.170404501266603e-07,2.4730502445891034e-06,0.0,6.68419886551419e-07,19.24155340262051,1.0727379478311696,0.5031620118413321,False,
7,7,client_7,0.05,fc1,320,16,0.05,0.45454545454545453,0.03750000149011612,1.6537474962774468e-06,4.611993113783926e-08,1.1728344588846085e-06,0.0,4.802617468158132e-07,5.8270475165045355e-06,0.0,4.238667088429793e-07,35.85676731753261,1.1330463179815498,0.6536483552552155,False,
7,8,client_8,0.05,fc1,320,16,0.05,0.6,0.02500000037252903,7.94922142333121e-07,3.1594501124147544e-08,6.633354985297046e-07,0.0,3.8955752756919537e-07,2.2368910777004203e-06,0.0,3.8190054851838795e-07,25.15934592110598,1.020046996616037,0.5697477447705583,False,
7,9,client_9,0.05,fc1,320,16,0.05,0.6842105263157895,0.01875000074505806,6.756720701162067e-06,6.457592393362347e-08,3.1876992352408706e-06,0.0,1.1376479278624174e-06,3.225743057555519e-05,0.0,9.407723950971558e-07,104.63057528269822,1.2092688141387438,0.8463183403404237,False,
8,1,client_1,0.05,fc1,320,16,0.05,0.6842105263157895,0.01875000074505806,5.642982912945627e-06,1.8513176041931458e-07,4.060841092723422e-06,0.0,2.8494341677287593e-06,1.378047454636544e-05,0.0,2.262806219732738e-06,30.480736635507455,1.25924742632972,0.6160134909496552,False,
8,2,client_2,0.05,fc1,320,16,0.05,0.45454545454545453,0.03750000149011612,1.0957192273508554e-06,1.856342381002835e-08,8.585647890413384e-07,0.0,4.851214043810614e-07,2.3760146632412216e-06,0.0,3.544265041455219e-07,59.02252817342797,1.3687464959882991,0.7564904732641602,False,
8,3,client_3,0.05,fc1,320,16,0.05,0.45454545454545453,0.03750000149011612,1.706177819471577e-06,1.0445117070948992e-07,1.369325332234439e-06,0.0,1.062193064171879e-06,4.414332579472102e-06,0.0,1.0278920399287017e-06,16.33453673468333,1.0333692543005804,0.46228484081752197,False,
