round,client_id,client_name,tau,head_prefixes,head_exact_names,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,use_head_importance_ema,head_importance_ema_beta,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.05,,fc1.weight,320,16,0.05,,,False,,9.298721096229201e-06,1.712324569047053e-07,6.796413345000474e-06,0.0,2.679565568541875e-06,2.850839518941939e-05,0.0,2.6619975415087538e-06,2.679565568541875e-06,54.3043472012839,6796413.345000474,1.0065991873245599,0.00014877953799441457,5.205466732149944e-05,0.7408077574214774,5.420426987257088e-06,0.0
6,2,client_2,0.05,,fc1.weight,320,16,0.05,,,False,,2.058027483542446e-06,4.6058815168385564e-08,1.5433380440299516e-06,0.0,7.925653449092351e-07,5.6808930821716785e-06,0.0,7.210575176941347e-07,7.925653449092351e-07,44.681627054270734,1543338.0440299516,1.099169242801224,3.292843757662922e-05,1.4001878298586234e-05,0.7016453279909384,1.2467952501538093e-06,0.0
6,3,client_3,0.05,,fc1.weight,320,16,0.05,,,False,,2.594961500790305e-06,1.4692200293389287e-07,1.9643131849989004e-06,0.0,1.449782985218917e-06,7.677542271267157e-06,0.0,1.4207665799403912e-06,1.449782985218917e-06,17.66205052287076,1964313.1849989004,1.020422344715765,4.151938628638163e-05,4.466428799787536e-05,0.48175464958345654,1.832337147789076e-06,0.0
6,4,client_4,0.05,,fc1.weight,320,16,0.05,,,False,,2.5898743345464936e-06,3.673043932123737e-08,1.17679428512929e-06,0.0,6.245108465918747e-07,1.4672018551209476e-05,0.0,6.242845529413898e-07,6.245108465918747e-07,70.5083814412108,1176794.28512929,1.0003608823709331,4.143799378653057e-05,1.1166053809574805e-05,0.7877339271867089,1.4883116818964481e-06,0.0
6,5,client_5,0.05,,fc1.weight,320,16,0.05,,,False,,6.135109863691923e-06,1.0016370101228146e-07,2.073367454613617e-06,0.0,1.153510083895526e-06,5.391548984334804e-05,0.0,1.1214009418836213e-06,1.153510083895526e-06,61.250218906355855,2073367.4546136172,1.028632144115938,9.816175588639453e-05,3.0449764381046407e-05,0.7632423201205457,3.447113613219699e-06,0.0
6,6,client_6,0.05,,fc1.weight,320,16,0.05,,,False,,3.717905897815399e-06,1.4574095110152554e-07,2.418205554022279e-06,0.0,1.4036852462595562e-06,1.9218598026782274e-05,0.0,1.2723048712359741e-06,1.4036852462595562e-06,25.510197096410916,2418205.554022279,1.1032608415898877,5.94864904996939e-05,4.430524859344587e-05,0.5731331842621813,2.3872100882726954e-06,0.0
6,7,client_7,0.05,,fc1.weight,320,16,0.05,,,False,,9.489299142018126e-07,3.007361690507751e-08,7.761285019114439e-07,0.0,3.2101814895213465e-07,3.0728717774763936e-06,0.0,3.1514318266090413e-07,3.2101814895213465e-07,31.552518763476062,776128.5019114439,1.018638980550534,1.5182878996711224e-05,9.142378985416144e-06,0.6241610421441607,5.896416723771836e-07,0.0
6,8,client_8,0.05,,fc1.weight,320,16,0.05,,,False,,1.915912918093454e-06,6.639219733952694e-08,1.7002867593873816e-06,0.0,9.641725000619772e-07,5.072296517028008e-06,0.0,9.220433412338025e-07,9.641725000619772e-07,28.857066610238736,1700286.7593873816,1.0456899488931328,3.0654606234747916e-05,2.018322811636608e-05,0.6029880309228427,1.248285116162151e-06,0.0
6,9,client_9,0.05,,fc1.weight,320,16,0.05,,,False,,3.827380638199429e-06,4.80632508370556e-08,1.618896590116492e-06,0.0,8.016760375539889e-07,1.647607314225752e-05,0.0,7.27085534890648e-07,8.016760375539889e-07,79.63050648963143,1618896.590116492,1.1025868298806536,6.123808998381719e-05,1.4611228834837675e-05,0.8073650512651783,2.126439085259335e-06,0.0
7,1,client_1,0.05,,fc1.weight,320,16,0.05,0.7777777777777778,0.012500000186264515,False,,1.04283648170167e-05,2.816048201664939e-07,8.135296411637682e-06,0.0,4.4279217945586424e-06,3.022389682882931e-05,0.0,4.342711690696888e-06,4.4279217945586424e-06,37.03178013455523,8135296.4116376825,1.0196211699761517,0.00016685383161529899,8.560786227462813e-05,0.6609075158433322,6.3595903156965505e-06,0.0
7,2,client_2,0.05,,fc1.weight,320,16,0.05,0.391304347826087,0.04374999925494194,False,,1.682426409743698e-06,2.1918624930101404e-08,8.862247113938793e-07,0.0,4.5079420374349866e-07,7.0741311901656445e-06,0.0,4.211914017560048e-07,4.5079420374349866e-07,76.75434297387473,886224.7113938793,1.0702809496659489,2.691882400540635e-05,6.6632619564188644e-06,0.801582821103602,9.660761861596256e-07,0.0
