round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_param_exact_names,head_personalization_tau,use_head_importance_ema,head_importance_ema_beta,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
1,9,0.0041157184202293695,0.001541165100522178,0.0041157184202293695,0.0,0.0,0.0041157184202293695,0.0,0.0,1.181305170059204,0.2991803106334474,0.16549302637577057,0.7607523798942566,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,True,0.8,0.0023205147210814733,10.128803253173828,204.90574645996094,14.31452920846372,11.886327713727951,0.7657294273376465,1.4940967957178752,4.558710654576619,2.0952884368341547,0.6493222713470459,5211,,,,,,,
2,9,0.0015367881566045163,0.001053839293694795,0.0015367881566045163,0.00012963831281122057,0.00012963831281122057,0.0016664264688350467,0.08478257474162666,0.0843566578579676,1.1807018518447876,0.01995117538091209,0.008549943566322327,0.05091047286987305,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,True,0.8,0.0010357783379649165,5.079519271850586,50.13319778442383,7.08048005324666,6.674826890230179,0.9426822662353516,1.058959252304501,2.0899947351879544,1.413319575289016,0.8433646559715271,5211,,,,,,,
3,9,0.001260911774030172,0.0009886619480371133,0.001260911774030172,8.704816294373451e-05,8.704816294373451e-05,0.001347959936310217,0.06866742518747015,0.0690358870997549,1.1775864362716675,0.02321845179216729,0.00917613971978426,0.048185162246227264,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,True,0.8,0.0008958714915877237,4.235929489135742,34.91297149658203,5.908719954150986,5.509373173117638,0.9600836634635925,0.977213031715817,1.7787333064609103,1.309815750085851,0.8632537258995904,5211,,,,,,,
4,9,0.0011659781041091597,0.0008510543871330148,0.0011659781041091597,7.105315835371107e-05,7.105315835371107e-05,0.0012370312621392393,0.06135715191705292,0.0609386728982008,1.1782275438308716,0.01504091794292132,0.008701695129275322,0.03106245957314968,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,True,0.8,0.0008566314407249623,4.026132583618164,31.52098274230957,5.614355060228162,5.2215054631233215,0.9639617800712585,0.9564871324433221,1.69497725698683,1.2798900625691079,0.8687747518221537,5211,,,,,,,
5,9,0.0011112504314967438,0.0008687199886232744,0.0011112504314967438,6.325651527350993e-05,6.325651527350993e-05,0.0011745069460239157,0.05598252234833201,0.056923726122999986,1.1757011413574219,0.015220556615127457,0.007508093491196632,0.02499585784971714,0.0,0.0,320.0,0.0,False,5,1,False,,fc1.weight,0.05,True,0.8,0.0008543037760397068,4.057893753051758,31.77642822265625,5.637058472524146,5.195339024066925,0.9636697173118591,0.9488953948020935,1.6808221406406827,1.2757948207856709,0.8688550326559279,5211,,,,,,,
6,9,0.001078097427364513,0.0008508315784854393,0.001078097427364513,5.602691223515456e-05,5.602691223515456e-05,0.0011341243394439957,0.05237490542993475,0.05196832008044771,1.1748818159103394,0.014907956330312623,0.008344930596649647,0.02179243415594101,0.049999999999999996,16.0,320.0,2.677344102469053e-07,True,5,1,True,,fc1.weight,0.05,True,0.8,0.0008342934882699834,4.447142124176025,34.24853515625,5.852224803974126,5.979418009519577,0.9608433246612549,0.9719281196594238,1.6602424383163452,1.2653186896384199,0.8728101452191671,5211,,,3.6735483018980453e-06,8.848103880505811e-08,45.61946263893909,1.054109965585482,0.6714783771671655
7,9,0.0010102508923315607,0.0007638089055507203,0.0010102508923315607,4.345993446959981e-05,4.345993446959981e-05,0.001053710825819658,0.04447886463993158,0.043018951783630265,1.1737178564071655,0.012944661494758394,0.004266887903213501,0.025534510612487793,0.049999999999999996,16.0,320.0,2.6288096282516767e-07,True,5,1,True,,fc1.weight,0.05,True,0.8,0.0007811838224951191,3.7994916439056396,26.757705688476562,5.1727850997771565,5.012068152427673,0.9694076776504517,0.9237727920214335,1.5449237028757732,1.2222811832891254,0.8808161086506314,5211,0.8983297022512708,0.005555555638339784,3.5577263521386412e-06,8.946804247445134e-08,43.88277749821979,1.0477510370069865,0.662332136390906
8,9,0.001008495387303993,0.0007743837472282173,0.001008495387303993,4.318691005797853e-05,4.318691005797853e-05,0.0010516822964830941,0.043269424117891586,0.04282311110079227,1.1755285263061523,0.017095585871073935,0.008003919385373592,0.027971789240837097,0.049999999999999996,16.0,320.0,2.5358535380190813e-07,True,5,1,True,,fc1.weight,0.05,True,0.8,0.0007686436185897691,3.821124315261841,26.74342155456543,5.171404214965741,5.047940090298653,0.9694240093231201,0.91801651318868,1.5146232578489516,1.2112643065170536,0.8820706605911255,5211,0.9215686274509804,0.004166666728754838,3.3759806231535726e-06,8.92487569184731e-08,41.894832484144935,1.057889248216003,0.6539049478739165
9,9,0.0009683986324389754,0.0008178409126737051,0.0009683986324389754,3.387715940419186e-05,3.387715940419186e-05,0.0010022757910747558,0.03588926305221177,0.034982659242183516,1.1770144701004028,0.01548975995845265,0.005239337682723999,0.03278457745909691,0.049999999999999996,16.0,320.0,2.4366894359041504e-07,True,5,1,True,,fc1.weight,0.05,True,0.8,0.0007804244629903733,4.077724456787109,28.666807174682617,5.354139256190729,5.533410236239433,0.9672249555587769,0.9353846046659682,1.5329998996522691,1.2191551296842262,0.8802818059921265,5211,0.8516225203531705,0.00833333350924982,3.1620580780927157e-06,9.006951010658942e-08,38.88219812161902,1.056992541729779,0.6381547718854199
10,9,0.0009438851921447681,0.0007714518914361311,0.0009438851921447681,3.1722537536118385e-05,3.1722537536118385e-05,0.0009756077297067218,0.03458671700081282,0.03360847035901426,1.1760863065719604,0.013263428221560188,0.004900807049125433,0.027651097625494003,0.049999999999999996,16.0,320.0,2.3414253607572593e-07,True,5,1,True,,fc1.weight,0.05,True,0.8,0.000752628238380192,3.652273178100586,24.61624526977539,4.96147611802933,4.806562885642052,0.9718560576438904,0.9058905641237894,1.4762124684121873,1.196773689532863,0.884232931666904,5211,0.8983297022512711,0.005555555638339784,2.9724742154100013e-06,9.001981653122388e-08,37.16074029300546,1.0822552586407543,0.6277035005761438
