round,client_id,client_name,tau,head_prefixes,head_exact_names,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,use_head_importance_ema,head_importance_ema_beta,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.05,,fc1.weight,320,16,0.05,,,True,0.8,8.96323008703348e-06,1.720995300519774e-07,7.0878936639928725e-06,0.0,2.57311239693081e-06,2.5011544494191185e-05,0.0,2.5562931114109233e-06,2.57311239693081e-06,52.081362470681675,7087893.663992872,1.006579166866916,0.0001434116711607203,5.231825707596727e-05,0.7327017984423777,5.249393780104583e-06,0.0
6,2,client_2,0.05,,fc1.weight,320,16,0.05,,,True,0.8,2.238053689040953e-06,4.7249767986425366e-08,1.7490919503870828e-06,0.0,8.756397846809705e-07,5.92517972108908e-06,0.0,8.01806663730531e-07,8.756397846809705e-07,47.365445778234154,1749091.9503870828,1.092082084382836,3.5808858228847384e-05,1.4363929949468002e-05,0.7137107347487056,1.3504375147022074e-06,0.0
6,3,client_3,0.05,,fc1.weight,320,16,0.05,,,True,0.8,2.1865884178851047e-06,1.3917481594050803e-07,1.8944820112665184e-06,0.0,1.3969810197522747e-06,4.464461198949721e-06,0.0,1.2437969871825771e-06,1.3969810197522747e-06,15.710979692188634,1894482.0112665184,1.1231574854986575,3.4985416277777404e-05,4.2309140553697944e-05,0.4526245735703127,1.582355025675497e-06,0.0
6,4,client_4,0.05,,fc1.weight,320,16,0.05,,,True,0.8,2.569120972850669e-06,3.42648564726205e-08,1.3195307815294655e-06,0.0,5.624037839879747e-07,1.4136529898678418e-05,0.0,5.254848929325817e-07,5.624037839879747e-07,74.97612017675607,1319530.7815294655,1.0702547709689505,4.1105933632934466e-05,1.041651648847619e-05,0.7978256612067994,1.4663135061709909e-06,0.0
6,5,client_5,0.05,,fc1.weight,320,16,0.05,,,True,0.8,6.27703919775513e-06,1.0531257386106056e-07,2.355318883928703e-06,0.0,1.4311368659036816e-06,5.746288661612198e-05,0.0,1.429039684808231e-06,1.4311368659036816e-06,59.60332526589955,2355318.883928703,1.0014668449385205,0.00010043263318948448,3.2015024771681055e-05,0.7582816787945791,3.529081368469633e-06,0.0
6,6,client_6,0.05,,fc1.weight,320,16,0.05,,,True,0.8,3.4372204567034714e-06,1.428042945366462e-07,2.3364765411315602e-06,0.0,1.3707029893339495e-06,1.613733002159279e-05,0.0,1.2391839163683471e-06,1.3707029893339495e-06,24.069278858715034,2336476.54113156,1.1061327258170957,5.4995525715639815e-05,4.341250314610079e-05,0.5588520143417804,2.2436668132286286e-06,0.0
6,7,client_7,0.05,,fc1.weight,320,16,0.05,,,True,0.8,9.840052275222888e-07,3.213680894519884e-08,6.885484822305443e-07,0.0,3.3157394341287727e-07,3.5874859349860344e-06,0.0,3.310464649075584e-07,3.3157394341287727e-07,30.6183047263803,688548.4822305443,1.0015903414498761,1.574408270244021e-05,9.769590178621002e-06,0.6170841085386388,6.165413424241706e-07,0.0
6,8,client_8,0.05,,fc1.weight,320,16,0.05,,,True,0.8,1.9342933583743616e-06,6.460204276069999e-08,1.7606676578907354e-06,0.0,9.971023473553942e-07,4.3577601900324225e-06,0.0,9.463593642067281e-07,9.971023473553942e-07,29.941211368933406,1760667.6578907354,1.0536180350190383,3.0948693165555596e-05,1.9639021047623828e-05,0.6117827823442132,1.2542815284177777e-06,0.0
6,9,client_9,0.05,,fc1.weight,320,16,0.05,,,True,0.8,4.47238330991695e-06,5.868465869038602e-08,2.067884565803979e-06,0.0,8.447666459687753e-07,2.5917743187164888e-05,0.0,8.184854891624127e-07,8.447666459687753e-07,76.20913541266297,2067884.565803979,1.0321082353274469,7.155813364079222e-05,1.784013511496596e-05,0.8004420425170827,2.4994426439661765e-06,0.0
7,1,client_1,0.05,,fc1.weight,320,16,0.05,0.7777777777777778,0.012500000186264515,True,0.8,9.227028726854769e-06,1.963129802735557e-07,6.969859441596782e-06,0.0,3.1999707061913796e-06,2.621704334160313e-05,0.0,2.964936356875114e-06,3.1999707061913796e-06,47.00138377306228,6969859.441596782,1.0792709325784806,0.00014763243962079287,5.967914330540225e-05,0.7121282700408648,5.453846370073734e-06,0.0
