round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_param_exact_names,head_personalization_tau,use_head_importance_ema,head_importance_ema_beta,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
1,9,0.004119300382697669,0.001529418380419566,0.004119300382697669,0.0,0.0,0.004119300382697669,0.0,0.0,1.1823140382766724,0.29947930077711743,0.15985776484012604,0.7532680630683899,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,False,,0.0023518215824289545,10.174552917480469,209.37081909179688,14.469651657583084,11.877431720495224,0.7606244683265686,1.5035025543636746,4.621471563975017,2.1095684382141022,0.6453257136874728,5211,,,,,,,
2,9,0.001539206902001249,0.0010627430019242287,0.001539206902001249,0.00013019424068181327,0.00013019424068181327,0.0016694011404974635,0.08498370806107725,0.08458527598073513,1.1817967891693115,0.0207082476052973,0.00945981964468956,0.05011312663555145,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,False,,0.0010357177527496083,5.130833625793457,50.602569580078125,7.113548311502363,6.768296658992767,0.9421456456184387,1.0606447855631511,2.0885950459374323,1.4131315825326913,0.8432875143157111,5211,,,,,,,
3,9,0.0012555096807426135,0.000990679786265951,0.0012555096807426135,8.566332690478025e-05,8.566332690478025e-05,0.0013411730066497213,0.0680841179308989,0.06822992140202525,1.1790411472320557,0.02313866838812828,0.008848640136420727,0.049584876745939255,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,False,,0.000892809462274816,4.225841522216797,34.72722625732422,5.8929811010493,5.487694963812828,0.9602960348129272,0.9748821390999688,1.7708638177977667,1.3072394313902755,0.8636825217141045,5211,,,,,,,
4,9,0.0011651474993699378,0.0008509667330456427,0.0011651474993699378,7.029098527291899e-05,7.029098527291899e-05,0.0012354384849872179,0.06054088124343498,0.06032797156634794,1.1793659925460815,0.014567966159019206,0.007958177477121353,0.03200284391641617,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,False,,0.0008497882963538531,3.982191324234009,30.898759841918945,5.558665293208339,5.1558952778577805,0.9646731615066528,0.9521271387736002,1.6799603700637817,1.2744749824685895,0.8697968655162387,5211,,,,,,,
5,9,0.0011095198731689653,0.0008708796425014779,0.0011095198731689653,6.27845538186233e-05,6.27845538186233e-05,0.0011723044252662047,0.0556344612290709,0.05658713762621798,1.176927089691162,0.014999756537791755,0.0075194756500422955,0.024383628740906715,0.0,0.0,896.0,0.0,False,5,1,False,attention,,0.1,False,,0.0008566623570372782,4.087195873260498,32.24700927734375,5.678645021247917,5.21235428750515,0.9631317257881165,0.9470920562744141,1.6820633278952704,1.276645466612982,0.8683353596263461,5211,,,,,,,
6,9,0.001079120695966732,0.0008507673814114832,0.001079120695966732,5.626438670847709e-05,5.626438670847709e-05,0.001135385083111833,0.05257340765209492,0.052139104426992246,1.175915241241455,0.015088508423003886,0.00844257790595293,0.02191792242228985,0.10044642857142859,90.0,896.0,5.413479837241337e-07,True,5,1,True,attention,,0.1,False,,0.0008405057884009742,4.410810470581055,33.72025680541992,5.806914568462319,5.934519320726395,0.9614473581314087,0.977408230304718,1.6788671215375264,1.27114533778795,0.8719119098451402,5211,,,4.759194364094774e-06,7.03725931970072e-08,63.2687354971513,1.014040660468424,0.8606730334249059
7,9,0.001020579050073628,0.0007742137248077694,0.001020579050073628,4.5884406808284646e-05,4.5884406808284646e-05,0.0010664634568831246,0.046165970797570524,0.04495918935433292,1.174506425857544,0.014630440208646987,0.004904401954263449,0.02521429769694805,0.10044642857142859,90.0,896.0,5.65296858212605e-07,True,5,1,True,attention,,0.1,False,,0.0008001256807016765,3.7702505588531494,26.523717880249023,5.15011823944354,4.971689358353615,0.9696751832962036,0.9368954565789964,1.5840772125456068,1.2373304252619859,0.8776048488087125,5211,0.6065771179021344,0.049851190505756274,4.938887454140911e-06,7.693065322078102e-08,64.72786204289885,1.0178377297417092,0.8694192684621312
8,9,0.0010084476609670712,0.0007731711061267275,0.0010084476609670712,4.393944046078218e-05,4.393944046078218e-05,0.0010523871004595646,0.04408285215229172,0.043571364303700406,1.1764310598373413,0.01710046698442764,0.007575672585517168,0.027283556759357452,0.10044642857142859,90.0,896.0,6.075078778798747e-07,True,5,1,True,attention,,0.1,False,,0.0007907391728645023,3.8512985706329346,27.03740882873535,5.1997508429477035,5.09621761739254,0.9690878987312317,0.9375114970737033,1.569720016585456,1.2310923187190745,0.8787751528951857,5211,0.6783917244766271,0.039186507256494627,5.35488431964557e-06,7.740381194235451e-08,68.56173190442118,1.0174225450925156,0.8772704652784481
9,9,0.000982732566337314,0.0008311428705113302,0.000982732566337314,3.7459609060466505e-05,3.7459609060466505e-05,0.0010201921751573123,0.03887591970627211,0.03811780570370458,1.178096890449524,0.01492828999956449,0.006404363550245762,0.026318510994315147,0.10044642857142859,90.0,896.0,6.966135433433212e-07,True,5,1,True,attention,,0.1,False,,0.0008124432822361617,4.278986930847168,30.760578155517578,5.546221971352893,5.865205451846123,0.9648311734199524,0.9673509200414022,1.621777163611518,1.2491221843579539,0.8766029742028978,5211,0.6166721049544913,0.04910714365541935,6.105701531865118e-06,9.26210920364222e-08,65.33057170824993,1.0199220886976006,0.8768712694177756
10,9,0.0009499256778763659,0.0007771933122675239,0.0009499256778763659,3.36072437219757e-05,3.36072437219757e-05,0.000983532920774996,0.03628269670304278,0.035378813805442694,1.1778044700622559,0.013537102016723819,0.004601312801241875,0.02553197182714939,0.10044642857142859,90.0,896.0,1.1927820272224683e-06,True,5,1,True,attention,,0.1,False,,0.0007762318236592086,3.678309679031372,24.7357234954834,4.973502135867984,4.859794303774834,0.9717194437980652,0.9277882509761386,1.5361419518788655,1.218548843303319,0.8810792366663615,5211,0.6613418230201509,0.04141865111887455,1.0689069745801395e-05,1.3240253308742026e-07,79.45279594820903,1.021896725827584,0.8954766882583317
11,9,0.0009441502417011044,0.0007801648878912353,0.0009441502417011044,3.153089272002471e-05,3.153089272002471e-05,0.0009756811332736095,0.033850494563573,0.03339605424431019,1.1768505573272705,0.015493919917692741,0.004506142344325781,0.02548779360949993,0.10044642857142859,90.0,896.0,1.3959910852968783e-06,True,5,1,True,attention,,0.1,False,,0.0007654257785778434,3.5034494400024414,23.12010955810547,4.808337504596102,4.548395425081253,0.9735665917396545,0.9053689903683133,1.5014608436160617,1.2068438638257915,0.8818508585294088,5211,0.6865679827134206,0.03819444506532616,1.2791900411387215e-05,1.234950114148249e-07,101.28729323274023,1.030652281561348,0.9162514097131462
12,9,0.0009346574140085216,0.0007553082023490977,0.0009346574140085216,3.1024776093934344e-05,3.1024776093934344e-05,0.0009656821899900839,0.033260631849055394,0.03319374093196648,1.178772211074829,0.014291455451813009,0.005814737640321255,0.022158831357955933,0.10044642857142859,90.0,896.0,1.6320225250233812e-06,True,5,1,True,attention,,0.1,False,,0.0007538991943655027,3.481255531311035,22.613059997558594,4.755319126784089,4.550892487168312,0.97414630651474,0.9114520880911086,1.4880690508418613,1.2001171605655387,0.8841615120569865,5211,0.738377063741359,0.030505952735741932,1.5213623507398313e-05,1.1546654926955544e-07,127.91119103167802,1.0242308208819382,0.9322795956585392
13,9,0.0009177742640932115,0.0007529041407697941,0.0009177742640932115,2.8708809668373336e-05,2.8708809668373336e-05,0.0009464830729659321,0.03170946383940975,0.03128090507686833,1.1765226125717163,0.013208504662745528,0.009230556897819042,0.030464880168437958,0.10044642857142859,90.0,896.0,2.226415833522171e-06,True,5,1,True,attention,,0.1,False,,0.000751480585082118,3.5612006187438965,23.368066787719727,4.834052832532938,4.641647636890411,0.973283052444458,0.9119512041409811,1.486976636780633,1.1990356675625982,0.8845717509587606,5211,0.6857087216023383,0.037946428896652326,2.0886374952512184e-05,1.42797566920463e-07,138.72934213061478,1.0222796456015033,0.9319290237185123
14,9,0.0009103361242765052,0.0007960040965056053,0.0009103361242765052,2.7710735286637164e-05,2.7710735286637164e-05,0.0009380468596290789,0.031228694933476672,0.030440113840610593,1.1757128238677979,0.012128668009406991,0.004381534177809954,0.02375526912510395,0.10044642857142859,90.0,896.0,2.266348265796599e-06,True,5,1,True,attention,,0.1,False,,0.0007584328289933664,3.6917803287506104,23.90764617919922,4.8895445778926305,4.951298609375954,0.9726662039756775,0.9250966840320163,1.50558649831348,1.205343346553926,0.8843159013324313,5211,0.7038840442240334,0.035218253524767026,2.1334271875477703e-05,1.3717555894679444e-07,146.99985380383734,1.018680802176729,0.9358497794394434
15,9,0.0008959517295741316,0.0008070941669078425,0.0008959517295741316,2.6056730992616118e-05,2.6056730992616118e-05,0.0009220084600620259,0.030029624857530732,0.029082739731881316,1.1753722429275513,0.016192197230541043,0.00772838992998004,0.028074944391846657,0.10044642857142859,90.0,896.0,2.463706885515017e-06,True,5,1,True,attention,,0.1,False,,0.0007389695984010205,3.382188558578491,21.0762996673584,4.590893123059869,4.418512061238289,0.9759032726287842,0.8949066864119636,1.4510102073351543,1.1862923958973344,0.8861285712983873,5211,0.7300290673035803,0.031746031923426524,2.3286973324350886e-05,1.385282283807775e-07,161.44616697243333,1.0250704145692682,0.9378023423502211
16,9,0.0009008378158467791,0.000746346854851924,0.0009008378158467791,2.6157107142352445e-05,2.6157107142352445e-05,0.0009269949224550977,0.02962798999690967,0.029036422154112822,1.176094889640808,0.012335271419336399,0.005868496838957071,0.01912699267268181,0.10044642857142859,90.0,896.0,2.115646793754422e-06,True,5,1,True,attention,,0.1,False,,0.0007371129249806205,3.3743433952331543,20.813270568847656,4.562156350767437,4.39111702144146,0.976203978061676,0.8958179089758131,1.449691931406657,1.185385580701823,0.8866493569480048,5211,0.7150899000080778,0.03397817495796415,1.9877004933592322e-05,1.3236863218062597e-07,150.27520691439636,1.0168682831848395,0.9358297890221916
