round,client_id,client_name,tau,head_prefixes,head_exact_names,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,use_head_importance_ema,head_importance_ema_beta,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.1,attention,,896,90,0.10044642857142858,,,False,,1.4239219879325698e-05,1.1543888879405467e-07,4.902649379801005e-06,1.7062263601985705e-08,1.139705545938341e-06,0.00018653323058970273,1.1772404069371883e-13,1.1228277116970276e-06,1.139705545938341e-06,123.34748437542707,287.3219036029232,1.0150306400838343,0.001281529781408608,9.304374543717131e-05,0.9323108261927693,1.4239220035960898e-05,6.343586073098706e-11
6,2,client_2,0.1,attention,,896,90,0.10044642857142858,,,False,,4.686699324136296e-06,9.775851180694785e-08,3.2166121854970697e-06,1.257839477020184e-08,1.3499234228220303e-06,3.2025895052356645e-05,2.1456198204343582e-16,1.3194908206060063e-06,1.3499234228220303e-06,47.9411081081443,255.70484464933114,1.0230631230453915,0.0004218029498588294,7.879335316829383e-05,0.8426010069702299,4.686698957812041e-06,4.6904084782806166e-11
6,3,client_3,0.1,attention,,896,90,0.10044642857142858,,,False,,4.467668636228457e-06,6.649582077748218e-08,1.3566576058110513e-06,1.3613218996511023e-08,6.605542921533925e-07,0.00011493578494992107,6.393554187190649e-15,6.448020144489419e-07,6.605542921533925e-07,67.18619903917788,99.6500501540873,1.024428046010163,0.00040209016879089177,5.3595631470670924e-05,0.8823846775074144,4.467668986762874e-06,5.5197714454724434e-11
6,4,client_4,0.1,attention,,896,90,0.10044642857142858,,,False,,1.460865312373648e-06,4.1494652386049967e-08,8.088745744316839e-07,1.0271149708529492e-08,3.753101509573753e-07,8.45477006805595e-06,3.0075437921898464e-15,3.7194016044850287e-07,3.753101509573753e-07,35.20526195811209,78.74443007387576,1.0090578587882286,0.0001314778783125803,3.344468859722838e-05,0.797209745027022,1.4608652918468579e-06,4.186776966785821e-11
6,5,client_5,0.1,attention,,896,90,0.10044642857142858,,,False,,3.1522276913165115e-06,6.213455437545044e-08,1.6659395782880893e-06,1.1979463199196516e-08,6.376834562615841e-07,3.285528873675503e-05,7.49010821762949e-15,6.32014348411758e-07,6.376834562615841e-07,50.73146482719637,139.05468850318053,1.0089683072793563,0.0002837004722096026,5.008045263821259e-05,0.8499601092812404,3.152227463942836e-06,2.914234825679429e-11
6,6,client_6,0.1,attention,,896,90,0.10044642857142858,,,False,,2.2712390432388927e-06,5.486336005746681e-08,1.0088852491207945e-06,1.3247185126630256e-08,5.004870899938396e-07,4.6284287236630917e-05,6.357604838359756e-16,4.988949058315484e-07,5.004870899938396e-07,41.39734867699029,76.15271370965584,1.0031894111450745,0.00020441150991246104,4.4219865230843425e-05,0.8221468789789577,2.2712390546075767e-06,4.61701649134838e-11
6,7,client_7,0.1,attention,,896,90,0.10044642857142858,,,False,,3.7171109397604598e-06,7.174451053481898e-08,1.4919369846211339e-06,1.2544428606986457e-08,6.940393859622418e-07,5.487988528329879e-05,9.82470127388474e-15,6.924974513822235e-07,6.940393859622418e-07,51.80966602720738,118.92275914672896,1.0022251812649436,0.00033453997457399964,5.7826076954370365e-05,0.852622117581925,3.7171107578615192e-06,4.362455188755554e-11
6,8,client_8,0.1,attention,,896,90,0.10044642857142858,,,False,,5.260901849624133e-06,5.156348943097596e-08,1.3617150216305163e-06,9.240727294468343e-09,5.931148621129978e-07,0.00013439104077406228,1.1003986071073091e-15,5.820503474751604e-07,5.931148621129978e-07,102.02567518226583,147.3442115572458,1.0190077983425845,0.0004734812246169895,4.156017166678794e-05,0.919307121940163,5.260902071313467e-06,4.251332966220822e-11
6,9,client_9,0.1,attention,,896,90,0.10044642857142858,,,False,,3.576816600848866e-06,7.185955060981793e-08,1.6640190096950391e-06,1.567537744051606e-08,6.741800007148413e-07,3.826169267995283e-05,2.4937127693748853e-14,6.600566848646849e-07,6.741800007148413e-07,49.77441127984043,106.1481848092234,1.021395578256242,0.0003219135105609894,5.791879812022671e-05,0.8475148173444315,3.5768164252658607e-06,3.908270582164697e-11
7,1,client_1,0.1,attention,,896,90,0.10044642857142858,0.5929203539823009,0.0513392873108387,False,,7.0133869371602485e-06,8.412163484245218e-08,2.9096597700117854e-06,1.4966000883021024e-08,8.19427100395842e-07,8.838188659865409e-05,5.980161663107319e-16,8.15040266388678e-07,8.19427100395842e-07,83.37098511352106,194.40499755115155,1.0053811189543775,0.0006312048644758761,6.780203693779185e-05,0.9030023341634086,7.013386948528932e-06,7.578819516407265e-11
7,2,client_2,0.1,attention,,896,90,0.10044642857142858,0.7307692307692307,0.03125,False,,4.248874548314537e-06,9.130691866276996e-08,2.9103654242135235e-06,1.4460386665859915e-08,1.012286816148844e-06,1.9412233086768538e-05,2.6223558982391322e-14,1.0091993090100004e-06,1.012286816148844e-06,46.53347278681296,201.25078538175336,1.003058369197163,0.0003823986917268485,7.359337178058922e-05,0.8386082160002396,4.248874574841466e-06,7.481417568788729e-11
7,3,client_3,0.1,attention,,896,90,0.10044642857142858,0.6216216216216216,0.046875,False,,4.780639688482956e-06,6.092674433005034e-08,1.3628959436573496e-06,1.2351810685373721e-08,5.397682798502501e-07,6.639404455199838e-05,8.204520369299237e-15,5.303083412400156e-07,5.397682798502501e-07,78.46408464731367,110.33083711637217,1.0178366433978265,0.00043025758350268006,4.91069549752865e-05,0.8975582214972252,4.780639756063465e-06,5.99517727128962e-11
7,4,client_4,0.1,attention,,896,90,0.10044642857142858,0.48760330578512395,0.0691964253783226,False,,3.19221385262204e-06,6.949596533996712e-08,1.8325422956877446e-06,1.2837065632709255e-08,7.560453241239884e-07,2.0713439880637452e-05,2.3621845721769074e-16,7.477502776964684e-07,7.560453241239884e-07,45.93314020268774,142.74286704211357,1.0110919856306642,0.0002872992481570691,5.601374869002029e-05,0.836843492552622,3.1922138532536337e-06,4.169462691772097e-11
