round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share,use_head_importance_ema,head_importance_ema_beta
6,1,client_1,0.1,lstm2,3200,320,0.1,,,4.238021461944186e-06,1.1923721789020274e-07,2.556794811425789e-06,1.7525143114482944e-08,1.1663247505566687e-06,4.1745508497115225e-05,3.9750137866456143e-17,1.1630345397861674e-06,35.54247570058999,1.0028281257605474,0.7979470096224954,False,
6,2,client_2,0.1,lstm2,3200,320,0.1,,,3.7251440058838623e-06,6.804672912735168e-08,2.0172487893432844e-06,1.0499561664545354e-08,7.121723797354207e-07,3.450545045780018e-05,5.747861686182745e-17,7.12009295966709e-07,54.74310537111732,1.00022764245072,0.8588100384386366,False,
6,3,client_3,0.1,lstm2,3200,320,0.1,,,3.3243724864462367e-06,5.613827857082875e-08,1.4720735634909943e-06,1.0326642652103146e-08,5.644540692628652e-07,7.559136429335922e-05,1.3522870415003064e-16,5.639308255922515e-07,59.21651597734739,1.0009260758959033,0.8680691655655167,False,
6,4,client_4,0.1,lstm2,3200,320,0.1,,,3.0414735119776994e-06,5.0534821068987506e-08,1.2376527251944935e-06,8.209852797591566e-09,5.143862722434278e-07,4.002921559731476e-05,1.2112907311937436e-16,5.138100505064358e-07,60.1845076945662,1.0011195199800103,0.8699153175447141,False,
6,5,client_5,0.1,lstm2,3200,320,0.1,,,4.041119931308401e-06,9.584968837054945e-08,2.0109781644350733e-06,1.6856892770533705e-08,8.878316748450743e-07,6.449762440752238e-05,1.1606737892712804e-15,8.819544063953799e-07,42.160572866058345,1.006662772751415,0.824084800158254,False,
6,6,client_6,0.1,lstm2,3200,320,0.1,,,1.879570407847808e-06,3.952631592799492e-08,8.718648700778431e-07,8.904228465667074e-09,3.636725125488738e-07,3.337502494105138e-05,1.0746428597365354e-17,3.6238077427697135e-07,47.55117729905401,1.0035618189531683,0.8408554948069261,False,
6,7,client_7,0.1,lstm2,3200,320,0.1,,,3.4984300889107088e-06,7.442524927245197e-08,1.7310478028775833e-06,1.1262059285144232e-08,7.839690283617529e-07,6.240613583941013e-05,2.9458396389740775e-17,7.807465749465337e-07,47.00532571652261,1.0041261138921114,0.8393028016711321,False,
6,8,client_8,0.1,lstm2,3200,320,0.1,,,2.9021470041357133e-06,5.58333883216684e-08,1.555390042540239e-06,7.2482684299046696e-09,6.138572530289821e-07,3.512476178002544e-05,1.6094095836419637e-17,6.12559460932971e-07,51.97777017661781,1.0021170026123396,0.8524074991768021,False,
6,9,client_9,0.1,lstm2,3200,320,0.1,,,3.90772826381891e-06,8.262026544100601e-08,1.9164418745276635e-06,1.3547751809284136e-08,7.679507234570337e-07,4.3014017137466e-05,2.0933787987146532e-16,7.611180308231269e-07,47.296882261009934,1.008975853128411,0.8401348819102418,False,
7,1,client_1,0.1,lstm2,3200,320,0.1,0.5724815724815725,0.054375000298023224,3.4995612079313787e-06,1.0202103778800462e-07,1.7916937053996662e-06,2.0039438552998945e-08,9.007753760670312e-07,7.503417145926505e-05,3.300620381548276e-17,9.000106047096779e-07,34.30201242601375,1.0008486238992438,0.7921590615522786,False,
