round,client_id,client_name,tau,head_prefixes,head_exact_names,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,use_head_importance_ema,head_importance_ema_beta,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.1,lstm2,,3200,320,0.1,,,False,,4.238021461944186e-06,1.1923721789020274e-07,2.556794811425789e-06,1.7525143114482944e-08,1.1663247505566687e-06,4.1745508497115225e-05,3.9750137866456143e-17,1.1630345397861674e-06,1.1663247505566687e-06,35.54247570058999,145.88462474170657,1.0028281257605474,0.0013561667874455452,0.0003434031968936324,0.7979470096224954,4.23802202931256e-06,4.742146605951625e-11
6,2,client_2,0.1,lstm2,,3200,320,0.1,,,False,,3.7251440058838623e-06,6.804672912735168e-08,2.0172487893432844e-06,1.0499561664545354e-08,7.121723797354207e-07,3.450545045780018e-05,5.747861686182745e-17,7.12009295966709e-07,7.121723797354207e-07,54.74310537111732,192.10865606879193,1.00022764245072,0.001192046096548438,0.00019597458594944328,0.8588100384386366,3.725144097188604e-06,2.803893575653582e-11
6,3,client_3,0.1,lstm2,,3200,320,0.1,,,False,,3.3243724864462367e-06,5.613827857082875e-08,1.4720735634909943e-06,1.0326642652103146e-08,5.644540692628652e-07,7.559136429335922e-05,1.3522870415003064e-16,5.639308255922515e-07,5.644540692628652e-07,59.21651597734739,142.5372287829128,1.0009260758959033,0.0010637991363182664,0.00016167825378943235,0.8680691655655167,3.3243723009945825e-06,2.658588280080032e-11
6,4,client_4,0.1,lstm2,,3200,320,0.1,,,False,,3.0414735119776994e-06,5.0534821068987506e-08,1.2376527251944935e-06,8.209852797591566e-09,5.143862722434278e-07,4.002921559731476e-05,1.2112907311937436e-16,5.138100505064358e-07,5.143862722434278e-07,60.1845076945662,150.73376124311056,1.0011195199800103,0.0009732715552672744,0.0001455402816645801,0.8699153175447141,3.0414735192607623e-06,2.4989111474527093e-11
6,5,client_5,0.1,lstm2,,3200,320,0.1,,,False,,4.041119931308401e-06,9.584968837054945e-08,2.0109781644350733e-06,1.6856892770533705e-08,8.878316748450743e-07,6.449762440752238e-05,1.1606737892712804e-15,8.819544063953799e-07,8.878316748450743e-07,42.160572866058345,119.29000805783436,1.006662772751415,0.0012931583914905787,0.00027604709612205625,0.824084800158254,4.0411200643575285e-06,5.384645507255925e-11
6,6,client_6,0.1,lstm2,,3200,320,0.1,,,False,,1.879570407847808e-06,3.952631592799492e-08,8.718648700778431e-07,8.904228465667074e-09,3.636725125488738e-07,3.337502494105138e-05,1.0746428597365354e-17,3.6238077427697135e-07,3.636725125488738e-07,47.55117729905401,97.90482899334951,1.0035618189531683,0.0006014624959789217,0.00011383579112589359,0.8408554948069261,1.879570504570438e-06,2.4193719944110015e-11
6,7,client_7,0.1,lstm2,,3200,320,0.1,,,False,,3.4984300889107088e-06,7.442524927245197e-08,1.7310478028775833e-06,1.1262059285144232e-08,7.839690283617529e-07,6.240613583941013e-05,2.9458396389740775e-17,7.807465749465337e-07,7.839690283617529e-07,47.00532571652261,153.6925056552622,1.0041261138921114,0.001119497581385076,0.0002143447200069204,0.8393028016711321,3.4984302601515083e-06,3.0552286395257866e-11
6,8,client_8,0.1,lstm2,,3200,320,0.1,,,False,,2.9021470041357133e-06,5.58333883216684e-08,1.555390042540239e-06,7.2482684299046696e-09,6.138572530289821e-07,3.512476178002544e-05,1.6094095836419637e-17,6.12559460932971e-07,6.138572530289821e-07,51.97777017661781,214.55820784949094,1.0021170026123396,0.0009286871063522995,0.000160800147568807,0.8524074991768021,2.90214688902779e-06,1.6354992013467573e-11
6,9,client_9,0.1,lstm2,,3200,320,0.1,,,False,,3.90772826381891e-06,8.262026544100601e-08,1.9164418745276635e-06,1.3547751809284136e-08,7.679507234570337e-07,4.3014017137466e-05,2.0933787987146532e-16,7.611180308231269e-07,7.679507234570337e-07,47.296882261009934,141.44785449641512,1.008975853128411,0.0012504732003435493,0.000237946369452402,0.8401348819102418,3.907728569174651e-06,3.767625794681706e-11
7,1,client_1,0.1,lstm2,,3200,320,0.1,0.5724815724815725,0.054375000298023224,False,,3.4995612079313787e-06,1.0202103778800462e-07,1.7916937053996662e-06,2.0039438552998945e-08,9.007753760670312e-07,7.503417145926505e-05,3.300620381548276e-17,9.000106047096779e-07,9.007753760670312e-07,34.30201242601375,89.40391701815072,1.0008486238992438,0.001119859516620636,0.0002938206016551703,0.7921590615522786,3.4995609894394875e-06,5.584630674571045e-11
7,2,client_2,0.1,lstm2,,3200,320,0.1,0.5880893300248139,0.051874998956918716,False,,2.813723319228245e-06,5.808484522254552e-08,1.5001826341176638e-06,1.0827420737768989e-08,5.663992510562821e-07,3.599627234507352e-05,1.0560064309048789e-16,5.662214448420855e-07,5.663992510562821e-07,48.44077431339714,138.54122133295968,1.0003122557500275,0.0009003914310596883,0.00016728435002733022,0.8433191481590653,2.813723313010996e-06,4.1683167334438664e-11
