round,client_id,client_name,num_samples,local_rc_norm,global_rc_norm,rc_rg_l2_norm,rc_rg_mean_abs,use_rc_regularization,rc_lambda
1,1,client_1,42023,0.6301345229148865,1.18202805519104,0.7504199147224426,0.12515684962272644,True,1.0
1,2,client_2,42023,1.4591914415359497,1.18202805519104,0.29427576065063477,0.05293474718928337,True,1.0
1,3,client_3,42023,1.3900138139724731,1.18202805519104,0.24944904446601868,0.04187389835715294,True,1.0
1,4,client_4,42023,1.3934307098388672,1.18202805519104,0.2537650167942047,0.048306044191122055,True,1.0
1,5,client_5,42023,1.044156551361084,1.18202805519104,0.2695007622241974,0.044366978108882904,True,1.0
1,6,client_6,42023,1.2317607402801514,1.18202805519104,0.23650993406772614,0.042800698429346085,True,1.0
1,7,client_7,42023,1.2088267803192139,1.18202805519104,0.16499221324920654,0.0284157395362854,True,1.0
1,8,client_8,42023,1.4147062301635742,1.18202805519104,0.27155008912086487,0.048863351345062256,True,1.0
1,9,client_9,42023,1.0717074871063232,1.18202805519104,0.19548946619033813,0.03481893986463547,True,1.0
2,1,client_1,42023,1.1856930255889893,1.181066870689392,0.01434230525046587,0.002537512220442295,True,1.0
2,2,client_2,42023,1.1777424812316895,1.181066870689392,0.02519948221743107,0.004541906528174877,True,1.0
2,3,client_3,42023,1.181501030921936,1.181066870689392,0.020934004336595535,0.003711240366101265,True,1.0
2,4,client_4,42023,1.177603006362915,1.181066870689392,0.013054933398962021,0.002222955459728837,True,1.0
2,5,client_5,42023,1.1903786659240723,1.181066870689392,0.0177126657217741,0.0034570947755128145,True,1.0
2,6,client_6,42023,1.182520866394043,1.181066870689392,0.010079790838062763,0.0019754301756620407,True,1.0
2,7,client_7,42023,1.1709742546081543,1.181066870689392,0.05270819365978241,0.009732356294989586,True,1.0
2,8,client_8,42023,1.185492992401123,1.181066870689392,0.017538389191031456,0.0033395513892173767,True,1.0
2,9,client_9,42023,1.1797159910202026,1.181066870689392,0.008903203532099724,0.001586445840075612,True,1.0
3,1,client_1,42023,1.1741775274276733,1.1784772872924805,0.017195995897054672,0.003468206850811839,True,1.0
3,2,client_2,42023,1.189624547958374,1.1784772872924805,0.042191121727228165,0.008037366904318333,True,1.0
3,3,client_3,42023,1.1680021286010742,1.1784772872924805,0.028836600482463837,0.005925818346440792,True,1.0
3,4,client_4,42023,1.1817364692687988,1.1784772872924805,0.00992731936275959,0.0017267994116991758,True,1.0
3,5,client_5,42023,1.1776403188705444,1.1784772872924805,0.04416746646165848,0.008189264684915543,True,1.0
3,6,client_6,42023,1.1811436414718628,1.1784772872924805,0.015117350965738297,0.0028718775138258934,True,1.0
3,7,client_7,42023,1.1883587837219238,1.1784772872924805,0.024136362597346306,0.004399931989610195,True,1.0
3,8,client_8,42023,1.1679970026016235,1.1784772872924805,0.025477809831500053,0.004841115325689316,True,1.0
3,9,client_9,42023,1.1801869869232178,1.1784772872924805,0.011327617801725864,0.0022195535711944103,True,1.0
4,1,client_1,42023,1.1817656755447388,1.1793339252471924,0.012283558957278728,0.0021357450168579817,True,1.0
4,2,client_2,42023,1.1765568256378174,1.1793339252471924,0.028661634773015976,0.004687079228460789,True,1.0
4,3,client_3,42023,1.1756101846694946,1.1793339252471924,0.01565537042915821,0.002698641736060381,True,1.0
4,4,client_4,42023,1.1742192506790161,1.1793339252471924,0.013934027403593063,0.0026222639717161655,True,1.0
4,5,client_5,42023,1.1881369352340698,1.1793339252471924,0.02167496085166931,0.004233884625136852,True,1.0
4,6,client_6,42023,1.1752382516860962,1.1793339252471924,0.007799570448696613,0.0014113059733062983,True,1.0
4,7,client_7,42023,1.188323974609375,1.1793339252471924,0.012924384325742722,0.002408847212791443,True,1.0
4,8,client_8,42023,1.1753867864608765,1.1793339252471924,0.01846768520772457,0.0034448783844709396,True,1.0
4,9,client_9,42023,1.17974054813385,1.1793339252471924,0.009523914195597172,0.0016853550914674997,True,1.0
5,1,client_1,42023,1.1823753118515015,1.1772562265396118,0.018586747348308563,0.0035467264242470264,True,1.0
5,2,client_2,42023,1.1739208698272705,1.1772562265396118,0.01207569520920515,0.0023157678078860044,True,1.0
5,3,client_3,42023,1.1828410625457764,1.1772562265396118,0.007441784255206585,0.0013701431453227997,True,1.0
5,4,client_4,42023,1.177988052368164,1.1772562265396118,0.012609492987394333,0.0024506952613592148,True,1.0
5,5,client_5,42023,1.1742404699325562,1.1772562265396118,0.009589563123881817,0.0015334781492128968,True,1.0
5,6,client_6,42023,1.1700431108474731,1.1772562265396118,0.024186931550502777,0.004845627583563328,True,1.0
5,7,client_7,42023,1.1804851293563843,1.1772562265396118,0.01588372513651848,0.0031134041491895914,True,1.0
5,8,client_8,42023,1.175197720527649,1.1772562265396118,0.012635461986064911,0.0023047171998769045,True,1.0
5,9,client_9,42023,1.1789472103118896,1.1772562265396118,0.00894551444798708,0.0016694605583325028,True,1.0
6,1,client_1,42023,1.1782323122024536,1.1755858659744263,0.01816108264029026,0.0033799379598349333,True,1.0
6,2,client_2,42023,1.1755601167678833,1.1755858659744263,0.029655257239937782,0.005058817565441132,True,1.0
6,3,client_3,42023,1.1800062656402588,1.1755858659744263,0.016411835327744484,0.0032386668026447296,True,1.0
6,4,client_4,42023,1.1772421598434448,1.1755858659744263,0.015327037312090397,0.002632392104715109,True,1.0
6,5,client_5,42023,1.1697494983673096,1.1755858659744263,0.00994126033037901,0.0016544961836189032,True,1.0
6,6,client_6,42023,1.1777881383895874,1.1755858659744263,0.013522705994546413,0.00260141515173018,True,1.0
6,7,client_7,42023,1.1725084781646729,1.1755858659744263,0.007669289596378803,0.0015032608062028885,True,1.0
6,8,client_8,42023,1.1781809329986572,1.1755858659744263,0.017338542267680168,0.0030799447558820248,True,1.0
6,9,client_9,42023,1.1720479726791382,1.1755858659744263,0.013975377194583416,0.0026418992783874273,True,1.0
7,1,client_1,42023,1.1787620782852173,1.1740291118621826,0.02157406322658062,0.004005104303359985,True,1.0
7,2,client_2,42023,1.1716794967651367,1.1740291118621826,0.013346187770366669,0.0024376625660806894,True,1.0
7,3,client_3,42023,1.171405553817749,1.1740291118621826,0.022077953442931175,0.0042361905798316,True,1.0
7,4,client_4,42023,1.1755329370498657,1.1740291118621826,0.016453806310892105,0.003201305167749524,True,1.0
7,5,client_5,42023,1.1785393953323364,1.1740291118621826,0.01652076467871666,0.0033790916204452515,True,1.0
7,6,client_6,42023,1.1766785383224487,1.1740291118621826,0.008636392652988434,0.0016066314419731498,True,1.0
7,7,client_7,42023,1.1702351570129395,1.1740291118621826,0.008411143906414509,0.0015682002995163202,True,1.0
7,8,client_8,42023,1.169143795967102,1.1740291118621826,0.017043830826878548,0.003286470891907811,True,1.0
7,9,client_9,42023,1.1751911640167236,1.1740291118621826,0.011018973775207996,0.002111925510689616,True,1.0
8,1,client_1,42023,1.1792597770690918,1.1757551431655884,0.014260441064834595,0.002762091811746359,True,1.0
8,2,client_2,42023,1.1723629236221313,1.1757551431655884,0.0221161637455225,0.004304769914597273,True,1.0
8,3,client_3,42023,1.170583963394165,1.1757551431655884,0.027935700491070747,0.00537378853186965,True,1.0
8,4,client_4,42023,1.1810349225997925,1.1757551431655884,0.023778097704052925,0.004806126467883587,True,1.0
8,5,client_5,42023,1.1739104986190796,1.1757551431655884,0.016540294513106346,0.002622018801048398,True,1.0
8,6,client_6,42023,1.1758965253829956,1.1757551431655884,0.027873551473021507,0.005203206557780504,True,1.0
8,7,client_7,42023,1.177114486694336,1.1757551431655884,0.011531760916113853,0.0021819467656314373,True,1.0
8,8,client_8,42023,1.1791664361953735,1.1757551431655884,0.014877070672810078,0.002958105644211173,True,1.0
8,9,client_9,42023,1.1739305257797241,1.1757551431655884,0.009902337566018105,0.0018786450382322073,True,1.0
9,1,client_1,42023,1.1736693382263184,1.177122950553894,0.01963687874376774,0.0038318648003041744,True,1.0
9,2,client_2,42023,1.1774873733520508,1.177122950553894,0.0061998795717954636,0.0010826319921761751,True,1.0
9,3,client_3,42023,1.185163140296936,1.177122950553894,0.020119214430451393,0.003943935502320528,True,1.0
9,4,client_4,42023,1.1729236841201782,1.177122950553894,0.02886698581278324,0.00579731585457921,True,1.0
9,5,client_5,42023,1.173856258392334,1.177122950553894,0.009142786264419556,0.0017595544923096895,True,1.0
9,6,client_6,42023,1.1771938800811768,1.177122950553894,0.008364703506231308,0.001578143797814846,True,1.0
9,7,client_7,42023,1.1791096925735474,1.177122950553894,0.007744471076875925,0.0013631347101181746,True,1.0
9,8,client_8,42023,1.172513484954834,1.177122950553894,0.012251794338226318,0.0020671281963586807,True,1.0
9,9,client_9,42023,1.1830291748046875,1.177122950553894,0.010694931261241436,0.002171941567212343,True,1.0
10,1,client_1,42023,1.1773346662521362,1.1767688989639282,0.01579264923930168,0.0028213756158947945,True,1.0
10,2,client_2,42023,1.1828197240829468,1.1767688989639282,0.01171405054628849,0.002207451965659857,True,1.0
10,3,client_3,42023,1.1758583784103394,1.1767688989639282,0.00506301736459136,0.0009713205508887768,True,1.0
10,4,client_4,42023,1.178908348083496,1.1767688989639282,0.020591577515006065,0.004100805148482323,True,1.0
10,5,client_5,42023,1.1733192205429077,1.1767688989639282,0.006903760135173798,0.0012216002214699984,True,1.0
10,6,client_6,42023,1.1698999404907227,1.1767688989639282,0.024000685662031174,0.00468711880967021,True,1.0
10,7,client_7,42023,1.1776424646377563,1.1767688989639282,0.0054174321703612804,0.0010218822862952948,True,1.0
10,8,client_8,42023,1.1781280040740967,1.1767688989639282,0.014388461597263813,0.002653616713359952,True,1.0
10,9,client_9,42023,1.1777008771896362,1.1767688989639282,0.005978799425065517,0.0011178343556821346,True,1.0
11,1,client_1,42023,1.1825140714645386,1.176139235496521,0.016794569790363312,0.00320047652348876,True,1.0
11,2,client_2,42023,1.1780657768249512,1.176139235496521,0.012176438234746456,0.002283591777086258,True,1.0
11,3,client_3,42023,1.1742267608642578,1.176139235496521,0.014833017252385616,0.0026649502106010914,True,1.0
11,4,client_4,42023,1.1792739629745483,1.176139235496521,0.016039373353123665,0.002767212688922882,True,1.0
11,5,client_5,42023,1.1768662929534912,1.176139235496521,0.021311048418283463,0.004091199953109026,True,1.0
11,6,client_6,42023,1.171876311302185,1.176139235496521,0.01906519941985607,0.003640084760263562,True,1.0
11,7,client_7,42023,1.1747437715530396,1.176139235496521,0.00947753805667162,0.001631118357181549,True,1.0
11,8,client_8,42023,1.1770715713500977,1.176139235496521,0.020943868905305862,0.0038945130072534084,True,1.0
11,9,client_9,42023,1.171571135520935,1.176139235496521,0.009833083488047123,0.0018630072008818388,True,1.0
12,1,client_1,42023,1.1826871633529663,1.1785964965820312,0.009056386537849903,0.0014358579646795988,True,1.0
12,2,client_2,42023,1.1738364696502686,1.1785964965820312,0.010671278461813927,0.0019059088081121445,True,1.0
12,3,client_3,42023,1.1803984642028809,1.1785964965820312,0.01366643700748682,0.0025553922168910503,True,1.0
12,4,client_4,42023,1.1707416772842407,1.1785964965820312,0.02605075016617775,0.004943519365042448,True,1.0
12,5,client_5,42023,1.1834825277328491,1.1785964965820312,0.015315243043005466,0.0028306436724960804,True,1.0
12,6,client_6,42023,1.1765854358673096,1.1785964965820312,0.010958577506244183,0.0021272285375744104,True,1.0
12,7,client_7,42023,1.1834683418273926,1.1785964965820312,0.015136915259063244,0.003004444297403097,True,1.0
12,8,client_8,42023,1.1724286079406738,1.1785964965820312,0.010364050976932049,0.0019032977288588881,True,1.0
12,9,client_9,42023,1.1844414472579956,1.1785964965820312,0.011296218261122704,0.0023412518203258514,True,1.0
13,1,client_1,42023,1.1687949895858765,1.177173376083374,0.012875804677605629,0.0024337065406143665,True,1.0
13,2,client_2,42023,1.1779786348342896,1.177173376083374,0.008211671374738216,0.001444476773031056,True,1.0
13,3,client_3,42023,1.1790300607681274,1.177173376083374,0.009158050641417503,0.0017130160704255104,True,1.0
13,4,client_4,42023,1.175041675567627,1.177173376083374,0.00911711622029543,0.0018213596194982529,True,1.0
13,5,client_5,42023,1.1773489713668823,1.177173376083374,0.009979804046452045,0.0018057121196761727,True,1.0
13,6,client_6,42023,1.1805400848388672,1.177173376083374,0.015703555196523666,0.002992161549627781,True,1.0
13,7,client_7,42023,1.1799575090408325,1.177173376083374,0.010109113529324532,0.001989447744563222,True,1.0
13,8,client_8,42023,1.1762715578079224,1.177173376083374,0.0056875101290643215,0.0010300508001819253,True,1.0
13,9,client_9,42023,1.1802786588668823,1.177173376083374,0.028858564794063568,0.0053095766343176365,True,1.0
14,1,client_1,42023,1.171007513999939,1.176149606704712,0.009556254372000694,0.00182169652543962,True,1.0
14,2,client_2,42023,1.1760494709014893,1.176149606704712,0.009764726273715496,0.001928922371007502,True,1.0
14,3,client_3,42023,1.1872624158859253,1.176149606704712,0.02513754926621914,0.0050215041264891624,True,1.0
14,4,client_4,42023,1.175276279449463,1.176149606704712,0.017832094803452492,0.0032535423524677753,True,1.0
14,5,client_5,42023,1.1774938106536865,1.176149606704712,0.011014745570719242,0.00220859469845891,True,1.0
14,6,client_6,42023,1.1717182397842407,1.176149606704712,0.02062550187110901,0.0037463721819221973,True,1.0
14,7,client_7,42023,1.1754788160324097,1.176149606704712,0.005089328158646822,0.000802563619799912,True,1.0
14,8,client_8,42023,1.17479407787323,1.176149606704712,0.01281057856976986,0.002519168658182025,True,1.0
14,9,client_9,42023,1.1770002841949463,1.176149606704712,0.005389113910496235,0.0009553697891533375,True,1.0
15,1,client_1,42023,1.1810564994812012,1.1763930320739746,0.030231984332203865,0.005739999935030937,True,1.0
15,2,client_2,42023,1.172609806060791,1.1763930320739746,0.00977329257875681,0.00187542918138206,True,1.0
15,3,client_3,42023,1.1766204833984375,1.1763930320739746,0.017439980059862137,0.0033475577365607023,True,1.0
15,4,client_4,42023,1.1800857782363892,1.1763930320739746,0.006830835249274969,0.001249167718924582,True,1.0
15,5,client_5,42023,1.1768970489501953,1.1763930320739746,0.007484308909624815,0.0013150885934010148,True,1.0
15,6,client_6,42023,1.1735304594039917,1.1763930320739746,0.013586949557065964,0.002812044695019722,True,1.0
15,7,client_7,42023,1.1759777069091797,1.1763930320739746,0.015498335473239422,0.0026138536632061005,True,1.0
15,8,client_8,42023,1.1777868270874023,1.1763930320739746,0.021466877311468124,0.004115202929824591,True,1.0
15,9,client_9,42023,1.1739579439163208,1.1763930320739746,0.009108588099479675,0.0016329357167705894,True,1.0
