round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.004115257732924563,0.0015627313628312246,0.004115257732924563,0.0,0.0,0.004115257732924563,0.0,0.0,1.18202805519104,0.2984391334984038,0.16499221324920654,0.7504199147224426,0.20113314447592062,71.0,353.0,1.2864141808677232e-05,,,5.7339421973082034e-05,1.6664651445722263e-06,34.22188650354964,1.0227035745024364,0.8919811756319215,0.0025677382379613242,10.321114540100098,210.630859375,14.513127139765572,12.122615426778793,0.7591838836669922,1.6141003635194566,5.136709425184462,2.2205368185965764,0.6126987602975633,5211
2,9,0.001530274333913291,0.0010519998318828144,0.001530274333913291,0.00012985168438021708,0.00012985168438021708,0.0016601260183273523,0.08524825180507856,0.08485516708843895,1.181066870689392,0.020052552016244993,0.008903203532099724,0.05270819365978241,0.20113314447592062,71.0,353.0,5.3518320631458964e-06,0.4321866783516961,0.16304689976904127,2.6045396470514055e-05,1.417502133870939e-07,219.81350357408655,1.0384437471585202,0.9795364564077593,0.0010424937004601246,5.005825042724609,49.337745666503906,7.02408326164375,6.5224044024944305,0.9435917139053345,1.04688427845637,2.081668350431654,1.4126778586689803,0.840536375840505,5211
3,9,0.0012990865130513261,0.0009760725885607879,0.0012990865130513261,9.259165058017645e-05,9.259165058017645e-05,0.0013916781630857148,0.07173910268799268,0.07127442982332292,1.1784772872924805,0.024264182791941695,0.00992731936275959,0.04416746646165848,0.20113314447592062,71.0,353.0,7.37688420965949e-07,0.6074417460129952,0.10009442932075924,3.59304978234557e-06,1.878538552051612e-08,273.9648354507777,1.0410892593885308,0.9781918766924397,0.0010432224916611154,4.273432731628418,35.79917907714844,5.9832415192058255,5.530884489417076,0.9590705037117004,1.05883879131741,2.0729699399736194,1.4063203376037066,0.8456431362364027,5211
4,9,0.0011905248110407876,0.0008521073711197855,0.0011905248110407876,7.449404165858218e-05,7.449404165858218e-05,0.0012650188529141238,0.06347892396636033,0.06257243940248933,1.1793339252471924,0.01565834517694182,0.007799570448696613,0.028661634773015976,0.20113314447592062,71.0,353.0,3.6379293059477885e-07,0.6596494980720911,0.0837267864909437,1.7752673747760143e-06,8.421707453072696e-09,244.89308994674332,1.029599843136993,0.9781469562882893,0.0011126496520796312,4.027256011962891,31.778141021728516,5.637210393601476,5.215268582105637,0.9636677503585815,1.1030506028069391,2.1459629668129816,1.4385024123495838,0.8288924098014832,5211
5,9,0.0011174050912952024,0.0008349995729378582,0.0011174050912952024,5.9718740865689225e-05,5.9718740865689225e-05,0.001177123832192959,0.05439821242916573,0.053444128076259374,1.1772562265396118,0.013550546227229966,0.007441784255206585,0.024186931550502777,0.20113314447592062,71.0,353.0,2.854678745241775e-07,0.6418507270825954,0.08876298285192913,1.40525389215366e-06,3.535917629161854e-09,474.3367887219299,1.0223166540268502,0.9860731505235871,0.0010301609662345039,4.153773784637451,33.39411926269531,5.778764510057086,5.311699956655502,0.9618201851844788,1.0562735862202115,2.073349542087979,1.396304837080198,0.8419674303796556,5211
6,9,0.0010581511709936155,0.0008137315341037225,0.0010581511709936155,4.971542691567101e-05,4.971542691567101e-05,0.0011078665965763798,0.04788409628121693,0.04698329334361969,1.1755858659744263,0.015778043100403413,0.007669289596378803,0.029655257239937782,0.20113314447592062,71.0,353.0,2.259833529194566e-07,0.6019749514402746,0.10198300414615208,1.0989486332377108e-06,6.194215510904923e-09,313.5200732013943,1.0395674110945796,0.9735164087026386,0.0011068216131459017,3.845235824584961,28.08218765258789,5.299262934841778,5.0385646522045135,0.9678933620452881,1.0883617003758748,2.072051074769762,1.41518390886464,0.8274433281686571,5211
7,9,0.001016160244580898,0.0007723408459471267,0.001016160244580898,4.0948434740966806e-05,4.0948434740966806e-05,0.0010571086789907592,0.04130231180551233,0.040297221741397916,1.1740291118621826,0.015009235176775191,0.008411143906414509,0.022077953442931175,0.20113314447592062,71.0,353.0,1.5981502580568e-07,0.6174255997780012,0.09946490430997477,7.819872210522923e-07,3.168829723714981e-09,306.86204961862876,1.0216938122357115,0.9818514949492757,0.0009605993570064522,3.6725099086761475,26.062179565429688,5.10511308057223,4.765746369957924,0.9702028632164001,1.0252572099367778,1.8835976123809814,1.3491346785537572,0.8527709113226997,5211
8,9,0.0009988144956152535,0.000781539394290689,0.0009988144956152535,3.86206977768415e-05,3.86206977768415e-05,0.0010374351922318075,0.03936362399951039,0.03866653708743508,1.1757551431655884,0.018757268682950072,0.009902337566018105,0.027935700491070747,0.20113314447592062,71.0,353.0,1.6128790747416133e-07,0.5396307599998337,0.12212779455714756,7.842408730278142e-07,4.44514229393707e-09,236.11949069174364,1.0325469388524193,0.9726143795471052,0.0010208648699371993,3.6241745948791504,25.064271926879883,5.00642306710888,4.712136089801788,0.9713438153266907,1.0513702167405024,1.9510650634765625,1.3721856140843292,0.8381492892901102,5211
9,9,0.0009833007457118468,0.0008214909786945887,0.0009833007457118468,3.40554812310238e-05,3.40554812310238e-05,0.0010173562261688366,0.0354211349215646,0.03463384050597457,1.177122950553894,0.013669071667310264,0.0061998795717954636,0.02886698581278324,0.20113314447592062,71.0,353.0,1.0548935670663519e-07,0.5349513849335712,0.12401637021038267,5.094246674645109e-07,3.789330343184642e-09,173.46241146190135,1.031512635391588,0.9670165074607406,0.0010877792713437403,4.002246379852295,28.14157485961914,5.304863321483329,5.389678478240967,0.9678254723548889,1.088572469022539,2.006668123934004,1.394769008324188,0.8337616390652127,5211
10,9,0.0009565001260835078,0.0007668463365126496,0.0009565001260835078,3.110348510732286e-05,3.110348510732286e-05,0.0009876036110783278,0.03340679574035437,0.03251801461037062,1.1767688989639282,0.012205603739453686,0.00506301736459136,0.024000685662031174,0.20113314447592062,71.0,353.0,1.4899829242014877e-07,0.5951149678885977,0.10513062609566583,7.264436753242816e-07,3.613119735660124e-09,381.32435406136074,1.0216747034952693,0.9828631313724018,0.0009258498179165769,3.56634259223938,23.906469345092773,4.889424234518086,4.657086730003357,0.9726675152778625,1.0084861252042983,1.793879012266795,1.3156564356645266,0.8495921161439683,5211
