round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share
1,1,client_1,1.0,fc1,336,336,1.0,,,1.713225900039225e-05,,1.9531619273038814e-06,,0.0,0.0005736463936045766,,,,,0.9999999998262814
1,1,client_1,1.0,fc2,17,17,1.0,,,2.8786117119238744e-05,,3.4816480365407187e-06,,0.0,0.00022963415540289134,,,,,0.9999999979565315
1,2,client_2,1.0,fc1,336,336,1.0,,,1.4996040556016555e-05,,7.230975711536303e-07,,0.0,0.0009736288338899612,,,,,0.9999999998015349
1,2,client_2,1.0,fc2,17,17,1.0,,,1.9200151807380654e-05,,4.533580522547709e-06,,0.0,0.00015029232599772513,,,,,0.9999999969362987
1,3,client_3,1.0,fc1,336,336,1.0,,,1.4461854401688548e-05,,7.191347037860396e-07,,0.0,0.0005780892097391188,,,,,0.999999999794204
1,3,client_3,1.0,fc2,17,17,1.0,,,1.7503534927661403e-05,,4.336837719165487e-06,,0.0,0.00012161463382653892,,,,,0.9999999966393347
1,4,client_4,1.0,fc1,336,336,1.0,,,1.924825261745072e-05,,1.0269105246152321e-06,,0.0,0.0011597593547776341,,,,,0.9999999998453786
1,4,client_4,1.0,fc2,17,17,1.0,,,2.7445858200829153e-05,,4.980368885298958e-06,,0.0,0.00020350613340269774,,,,,0.999999997856743
1,5,client_5,1.0,fc1,336,336,1.0,,,8.836468675728182e-06,,4.217220919144893e-07,,0.0,0.00019903726933989674,,,,,0.9999999996631923
1,5,client_5,1.0,fc2,17,17,1.0,,,1.3675441742159765e-05,,2.39694395531842e-06,,0.0,0.00016787990170996636,,,,,0.9999999956986011
1,6,client_6,1.0,fc1,336,336,1.0,,,1.570609209352709e-05,,8.821884307508299e-07,,0.0,0.0013203875860199332,,,,,0.9999999998105071
