round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
1,1,client_1,1.0,"fc1,fc2",353,353,1.0,,,1.7693492960789957e-05,,2.0133049929427216e-06,,0.0,0.0005736463936045766,,,0.0,,,,0.0062458026222884655,0.0,0.9999999998398924,0.00012193625298095867,0.0
1,2,client_2,1.0,"fc1,fc2",353,353,1.0,,,1.5198504837243721e-05,,8.533262985110923e-07,,0.0,0.0009736288338899612,,,0.0,,,,0.005365072283893824,0.0,0.9999999998136091,0.00011801679647760466,0.0
1,3,client_3,1.0,"fc1,fc2",353,353,1.0,,,1.4608337599823219e-05,,8.195199825422605e-07,,0.0,0.0005780892097391188,,,0.0,,,,0.005156742874532938,0.0,0.999999999806079,0.00011388742859708145,0.0
1,4,client_4,1.0,"fc1,fc2",353,353,1.0,,,1.9643038155460445e-05,,1.108361857404816e-06,,0.0,0.0011597593547776341,,,0.0,,,,0.006933992728590965,0.0,0.9999999998557829,0.00015689902647864074,0.0
1,5,client_5,1.0,"fc1,fc2",353,353,1.0,,,9.06950703870081e-06,,4.4968186330152093e-07,,0.0,0.00019903726933989674,,,0.0,,,,0.0032015361357480288,0.0,0.99999999968765,6.448863859986886e-05,0.0
1,6,client_6,1.0,"fc1,fc2",353,353,1.0,,,1.6168113142561257e-05,,9.482679956818174e-07,,0.0,0.0013203875860199332,,,0.0,,,,0.00570734404027462,0.0,0.999999999824787,0.00012581463670358062,0.0
1,7,client_7,1.0,"fc1,fc2",353,353,1.0,,,1.2841611390217509e-05,,7.28411123418482e-07,,0.0,0.0009151381091214716,,,0.0,,,,0.004533088766038418,0.0,0.9999999997793998,0.00010075019963551313,0.0
1,8,client_8,1.0,"fc1,fc2",353,353,1.0,,,9.254311802172933e-06,,8.249317033914849e-07,,0.0,0.00021576388098765165,,,0.0,,,,0.0032667722553014755,0.0,0.9999999996938874,6.499274604720995e-05,0.0
1,9,client_9,1.0,"fc1,fc2",353,353,1.0,,,6.886605341985869e-06,,3.179229963734542e-07,,0.0,0.00022034799621906132,,,0.0,,,,0.002430971711874008,0.0,0.9999999995886418,4.772222746396437e-05,0.0
2,1,client_1,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,8.313652986910349e-06,,1.3086233252579405e-07,,0.0,0.0001508020213805139,,,0.0,,,,0.002934719668701291,0.0,0.9999999996592519,6.651303556282073e-05,0.0
2,2,client_2,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.582024984561571e-06,,3.992243868822243e-09,,0.0,0.00018548499792814255,,,0.0,,,,0.001264454796910286,0.0,0.9999999992091453,3.1845229386817664e-05,0.0
2,3,client_3,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.905657741391862e-06,,2.491128636705753e-09,,0.0,5.066513767815195e-05,,,0.0,,,,0.0006726971478201449,0.0,0.999999998513447,1.6542435332667083e-05,0.0
