round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_param_exact_names,head_personalization_tau,use_head_importance_ema,head_importance_ema_beta,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
1,9,0.007014934092722094,0.002388809066178634,0.007014934092722094,0.0,0.0,0.007014934092722094,0.0,0.0,1.5096360445022583,0.3516971104674869,0.21586906909942627,0.47128796577453613,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.3,0.003451356927789226,12.277615547180176,345.9598083496094,18.599994848107066,14.154739677906036,0.603999137878418,1.7441083722644382,6.817690134048462,2.55563256558525,0.4810942014058431,5208,,,,,,,
2,9,0.0018849061854747033,0.001614352802860128,0.0018849061854747033,9.493725334376402e-05,9.493725334376402e-05,0.0019798434379458005,0.05027860900456602,0.05036709732558255,1.5132795572280884,0.03829133800334401,0.017801828682422638,0.0867505818605423,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.3,0.0016132012491018588,7.566422939300537,112.04193115234375,10.584986119610349,9.718142449855804,0.8717519044876099,1.3272531628608704,3.3263841602537365,1.769021111712682,0.7600095139609443,5208,,,,,,,
3,9,0.001414145830665776,0.001219511361798883,0.001414145830665776,7.539519605303854e-05,7.539519605303854e-05,0.0014895410254323798,0.05429089855321489,0.05331500780526127,1.5208245515823364,0.0267361206933856,0.009951160289347172,0.0425775907933712,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.3,0.001204356087625162,5.940558910369873,64.86689758300781,8.053998856655483,7.828103750944138,0.9257504940032959,1.1682454546292622,2.4582500722673206,1.5269002741314295,0.8193136122491624,5208,,,,,,,
4,9,0.0012236510717735906,0.0010272171070359242,0.0012236510717735906,6.447995050577353e-05,6.447995050577353e-05,0.0012881310227937327,0.054204627279356384,0.05269471987600186,1.5256930589675903,0.020067957747313712,0.00974581390619278,0.037830013781785965,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.3,0.00105345630092959,5.295320987701416,50.371543884277344,7.097291306144714,7.005182653665543,0.9423425197601318,1.0977323253949482,2.1436405844158597,1.427575626861912,0.8412220544285245,5208,,,,,,,
5,9,0.0011198313281644094,0.0009721640511573265,0.0011198313281644094,5.6865545330030236e-05,5.6865545330030236e-05,0.001176696874209296,0.05232217802023915,0.0507804558142358,1.5269793272018433,0.022543659537202783,0.008900215849280357,0.03807508572936058,0.0,0.0,336.0,0.0,False,5,1,False,fc1,,0.1,True,0.3,0.0009462257425678616,4.298363208770752,36.8342170715332,6.0691199585716875,5.530378222465515,0.9578379392623901,1.0180552005767822,1.9037092328071594,1.3500972985480757,0.8564592864778307,5208,,,,,,,
6,9,0.0011164487933345874,0.0008938506972766762,0.0011164487933345874,6.16366581052949e-05,6.16366581052949e-05,0.001178085451552918,0.05646961302384987,0.05520777882341738,1.527234435081482,0.020056548735333815,0.008117315359413624,0.04115774855017662,0.10119047619047618,34.0,336.0,5.139430198950221e-07,True,5,1,True,fc1,,0.1,True,0.3,0.0008627753516721611,4.04750394821167,31.030895233154297,5.570538145740885,5.28281182050705,0.9644806385040283,0.9695982336997986,1.7209314770168729,1.2867521733962364,0.8684468997849358,5208,,,4.767276909559482e-06,3.509087941294926e-08,214.6344068658607,1.0464565291624348,0.9365678428727602
7,9,0.0010506385571079436,0.0008702065578705095,0.0010506385571079436,4.884257900523105e-05,4.884257900523105e-05,0.0010994811356825583,0.047494034280078194,0.046488469919845565,1.52279794216156,0.019284615396625467,0.009585821069777012,0.031063297763466835,0.10119047619047618,34.0,336.0,4.5747706028325615e-07,True,5,1,True,fc1,,0.1,True,0.3,0.0008272911719857844,3.772955894470215,28.07463836669922,5.29855059112388,4.819094017148018,0.9678645133972168,0.9367943074968126,1.6449565490086873,1.2589002082773342,0.8735050227906969,5208,0.8024741340530814,0.022486772905621264,4.228339124783541e-06,3.294291617656904e-08,159.08148428504046,1.0197076914381364,0.9297688699242416
8,9,0.0010299211147533373,0.0008744681166653207,0.0010299211147533373,4.663236635215971e-05,4.663236635215971e-05,0.0010765534802761037,0.04633531112487878,0.04527760974980147,1.52296781539917,0.01924710963956184,0.007222470361739397,0.03655850514769554,0.10119047619047618,34.0,336.0,3.036820067513367e-07,True,5,1,True,fc1,,0.1,True,0.3,0.0008046042598433631,3.6809561252593994,26.638113021850586,5.1612123596932715,4.708608612418175,0.9695088267326355,0.9251871373918321,1.5994050436549716,1.2413498659848063,0.8766561018096076,5208,0.7704173809436967,0.026455027154750295,2.715853022095128e-06,3.211308375609324e-08,100.24883026302747,1.031425042420609,0.9014493657134744
9,9,0.000995875469972071,0.0008806456905271635,0.000995875469972071,4.021704710756686e-05,4.021704710756686e-05,0.001036092516324665,0.04180618658496536,0.04038361048124935,1.5250287055969238,0.01919439621269703,0.009975632652640343,0.026619702577590942,0.10119047619047618,34.0,336.0,2.040121316326804e-07,True,5,1,True,fc1,,0.1,True,0.3,0.0008329328123408869,4.114599227905273,29.887096405029297,5.466909218656306,5.474811419844627,0.9657899141311646,0.9573769768079122,1.6224158604939778,1.254069741873213,0.869177242120107,5208,0.7720361288183283,0.026455027154750295,1.7627789509686471e-06,2.8521828021801537e-08,75.07190581240243,1.055298731092118,0.8692601037144498
10,9,0.0009694750224327111,0.0008072608259396764,0.0009694750224327111,3.501396279045523e-05,3.501396279045523e-05,0.0010044889851888244,0.03718294815900416,0.036116415528146366,1.526508092880249,0.016220753805504903,0.010362385772168636,0.02768734097480774,0.10119047619047618,34.0,336.0,1.9864049407816412e-07,True,5,1,True,fc1,,0.1,True,0.3,0.0008244900867634792,4.10350227355957,28.968875885009766,5.382274229822349,5.498168244957924,0.966840922832489,0.9542056918144226,1.5934503542052374,1.2435299144539178,0.8702034884028964,5208,0.6888901855525731,0.038359789488216244,1.7311005915820001e-06,2.6111873875777445e-08,88.94003013566993,1.0250602991361357,0.8826231659741076
