round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.004114177022991887,0.0015368860095487601,0.004114177022991887,0.0,0.0,0.004114177022991887,0.0,0.0,1.1799050569534302,0.3021114617586136,0.15931107103824615,0.7674759030342102,0.0,0.0,353.0,0.0,0.0023286597074772364,10.102982521057129,205.57522583007812,14.337894748884096,11.81027814745903,0.7649640440940857,1.4954910278320312,4.575145377053155,2.09901549756886,0.6483290857738919,5211
2,9,0.0015006873172888945,0.0010062409204578085,0.0015006873172888945,0.0,0.0,0.0015006873172888945,0.0,0.0,1.159663200378418,0.13310786916149986,0.0639730840921402,0.21869304776191711,0.0,0.0,353.0,0.0,0.0009658052557460683,4.751363754272461,43.39686965942383,6.5876300487674495,6.228334456682205,0.9503839612007141,1.0134038196669684,1.9339372846815321,1.3625996297669891,0.8530467947324117,5211
3,9,0.001264220657700448,0.0009600370467603165,0.001264220657700448,0.0,0.0,0.001264220657700448,0.0,0.0,0.9682894945144653,0.14780154658688438,0.0863836482167244,0.2229933887720108,0.0,0.0,353.0,0.0,0.0008788200068491265,4.078646659851074,33.39691162109375,5.779006110145044,5.233116447925568,0.9618170261383057,0.9602627158164978,1.739220572842492,1.2961121439120151,0.865376247300042,5211
4,9,0.0011372447851438945,0.0008304575181298156,0.0011372447851438945,0.0,0.0,0.0011372447851438945,0.0,0.0,0.8177716732025146,0.11687252546350162,0.059706274420022964,0.18895070254802704,0.0,0.0,353.0,0.0,0.0008417116362207605,3.9832677841186523,30.82457733154297,5.551988592526373,5.186606198549271,0.9647579789161682,0.9512755804591708,1.6705971161524455,1.2698016511848684,0.8709210157394409,5211
5,9,0.0010719261818683944,0.0008062291243010416,0.0010719261818683944,0.0,0.0,0.0010719261818683944,0.0,0.0,0.6698108911514282,0.11637768894433975,0.07649258524179459,0.15723134577274323,0.0,0.0,353.0,0.0,0.0008485400995000415,4.292297840118408,33.34976577758789,5.774925607970019,5.690755695104599,0.9618709087371826,0.9760728544659085,1.698909964826372,1.2776961795208797,0.8707538975609673,5211
6,9,0.0010114457782341218,0.0008409362576590628,0.0010114457782341218,0.0,0.0,0.0010114457782341218,0.0,0.0,0.5789244771003723,0.12460865245925055,0.0445430725812912,0.1807081550359726,0.0,0.0,353.0,0.0,0.0008441132852291053,4.499974250793457,34.90761184692383,5.9082663994545666,6.100387126207352,0.9600898027420044,0.9829504026307,1.69047921233707,1.2745887753767673,0.8716085222032335,5211
7,9,0.0009831003155771824,0.0007628080077347043,0.0009831003155771824,0.0,0.0,0.0009831003155771824,0.0,0.0,0.5224694609642029,0.09965163014001316,0.05649176612496376,0.15768778324127197,0.0,0.0,353.0,0.0,0.0007961259699439965,3.697521686553955,26.30694007873535,5.129029155574703,4.826938360929489,0.9699230194091797,0.9326474666595459,1.576549854543474,1.2343330657650184,0.8780127763748169,5211
8,9,0.0009617579515921504,0.0007767403234088092,0.0009617579515921504,0.0,0.0,0.0009617579515921504,0.0,0.0,0.4881974160671234,0.09583472543292576,0.03532765433192253,0.14255760610103607,0.0,0.0,353.0,0.0,0.0007896318732694154,3.880779981613159,27.485990524291992,5.242708319589408,5.139674246311188,0.9685750007629395,0.9381398293707106,1.5708839363522,1.2309190049765542,0.8791943192481995,5211
9,9,0.0009457345787332131,0.0008003076428402677,0.0009457345787332131,0.0,0.0,0.0009457345787332131,0.0,0.0,0.4362688660621643,0.1083647691541248,0.055102817714214325,0.15560220181941986,0.0,0.0,353.0,0.0,0.0008012380162076544,4.022559642791748,28.458282470703125,5.334630490549755,5.392680317163467,0.9674633741378784,0.9537960886955261,1.594960437880622,1.2398985825784152,0.8778517974747552,5211
10,9,0.0009177628455833551,0.0007428846332950498,0.0009177628455833551,0.0,0.0,0.0009177628455833551,0.0,0.0,0.3975948691368103,0.1016648341384199,0.05125153437256813,0.14396822452545166,0.0,0.0,353.0,0.0,0.0007670420833737606,3.6089532375335693,24.034059524536133,4.902454438802684,4.721210524439812,0.9725216627120972,0.9201610287030538,1.5180791351530287,1.2114600687469745,0.8824120892418755,5211
