round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.004119023465468954,0.0015045264383349974,0.004119023465468954,0.0,0.0,0.004119023465468954,0.0,0.0,1.179780125617981,0.3020291245645947,0.16180111467838287,0.7674554586410522,0.0,0.0,353.0,0.0,0.002303545050527825,9.96513557434082,202.18113708496094,14.219041356046509,11.656569689512253,0.768844485282898,1.489827659395006,4.533071915308635,2.088813507982183,0.6528039044804044,5211
2,9,0.001542332784828832,0.0010682178715231186,0.001542332784828832,0.00013146994892537903,0.00013146994892537903,0.0016738027331516855,0.08566179167953118,0.08524097401892977,1.1794180870056152,0.02114269758264224,0.009387410245835781,0.05093054845929146,0.0,0.0,353.0,0.0,0.0010470090592588726,5.207633018493652,51.8138542175293,7.198184091667099,6.883705407381058,0.9407607316970825,1.067828529410892,2.1130860646565757,1.4209976455215132,0.8417008519172668,5211
3,9,0.001259831466040582,0.001005564661375404,0.001259831466040582,8.70515749279756e-05,8.70515749279756e-05,0.0013468830406138722,0.0689301037292999,0.0690977937965503,1.1764159202575684,0.023917762873073418,0.008945971727371216,0.0493658147752285,0.0,0.0,353.0,0.0,0.0008994184971837216,4.241347789764404,35.16273880004883,5.929817771234529,5.495865643024445,0.9597980976104736,0.9775200817320082,1.784562799665663,1.3121213281719184,0.8625794980261061,5211
4,9,0.0011606674414125929,0.0008553491496860261,0.0011606674414125929,6.961625691802739e-05,6.961625691802739e-05,0.0012302836977942978,0.06009124544569902,0.05997950349440427,1.1767412424087524,0.015151596214208338,0.008052839897572994,0.03231338411569595,0.0,0.0,353.0,0.0,0.0008524415346343709,3.9987308979034424,31.02295684814453,5.569825567120081,5.1949139684438705,0.9645311832427979,0.9562150239944458,1.6874746812714472,1.2769559576805662,0.8693960573938158,5211
5,9,0.001107813818555786,0.0008675199772835004,0.001107813818555786,6.251373204850798e-05,6.251373204850798e-05,0.0011703275507764829,0.055455911479708825,0.05642981784933402,1.1745489835739136,0.015222653177463345,0.007784685585647821,0.024799635633826256,0.0,0.0,353.0,0.0,0.0008556414540162164,4.071018695831299,32.0063362121582,5.6574142690948666,5.196156725287437,0.9634068608283997,0.9474180605676439,1.6812649965286255,1.276168645127073,0.8684969941775004,5211
6,9,0.001078306390101533,0.0008541957698706367,0.001078306390101533,5.6024900878576095e-05,5.6024900878576095e-05,0.0011343312902378268,0.052349188900162144,0.051956383956274645,1.1737167835235596,0.014885161072015762,0.00791931338608265,0.022427672520279884,0.0,0.0,353.0,0.0,0.0008434441761881585,4.432668209075928,34.16902160644531,5.845427410074075,5.963052809238434,0.9609342813491821,0.9791002670923868,1.6857299076186285,1.2735239348102534,0.8714470598432753,5211
7,9,0.0010179769666239325,0.0007737126150760645,0.0010179769666239325,4.5641897371194136e-05,4.5641897371194136e-05,0.0010636188621408185,0.046045745280906804,0.04483588413373166,1.1722137928009033,0.014368937454289861,0.0046188849955797195,0.024182535707950592,0.0,0.0,353.0,0.0,0.0008009847718305114,3.7913804054260254,26.797327041625977,5.176613472302716,5.005369335412979,0.9693623781204224,0.9377583397759331,1.5865991049342685,1.2381487161761529,0.8774893681208292,5211
8,9,0.0010071852813578006,0.0007797351926843282,0.0010071852813578006,4.3615962516340375e-05,4.3615962516340375e-05,0.001050801243678414,0.04375973673022565,0.043304805263075605,1.17422616481781,0.016695532482117414,0.006666377652436495,0.02634374424815178,0.0,0.0,353.0,0.0,0.0007929321282293219,3.9048798084259033,27.72124481201172,5.265096847353496,5.1745980978012085,0.9683060646057129,0.93948585457272,1.5755708151393466,1.233087385093837,0.8784961369302537,5211
9,9,0.0009818929036940164,0.0008320456096883743,0.0009818929036940164,3.718950341635763e-05,3.718950341635763e-05,0.001019082406507515,0.03868114362570907,0.037875315361349776,1.1758060455322266,0.014906590183575949,0.007077982183545828,0.026836423203349113,0.0,0.0,353.0,0.0,0.0008132170012887463,4.300051212310791,31.222318649291992,5.587693499941813,5.886436253786087,0.9643032550811768,0.9669622447755601,1.6230937441190083,1.2497582838845573,0.8763729135195414,5211
10,9,0.0009488146023691835,0.0007751068087805267,0.0009488146023691835,3.325318291939917e-05,3.325318291939917e-05,0.000982067784793559,0.03594165702020059,0.035047081696802644,1.1749591827392578,0.013401627644068666,0.004859521519392729,0.02538355067372322,0.0,0.0,353.0,0.0,0.0007745354590481077,3.656202793121338,24.759639739990234,4.9759059215373265,4.816992208361626,0.9716920852661133,0.9250584642092387,1.5323273407088385,1.2171382571051632,0.8812170889642503,5211
