target,method,client_id,client_name,MAE,MSE,RMSE,MAPE_percent,R2
gc,FedAvg,1,client_1,1.0366933345794678,1.7674274444580078,1.3294462924308028,14.025652408599854,0.8948004841804504
gc,FedAvg,2,client_2,0.9808616042137146,1.742640495300293,1.3200910935614607,10.6299489736557,0.8978343605995178
gc,FedAvg,3,client_3,0.9607108235359192,1.6311101913452148,1.2771492439590664,11.288993805646896,0.8518997430801392
gc,FedAvg,4,client_4,1.1077532768249512,2.1787455081939697,1.476057420358019,10.1604163646698,0.8958629965782166
gc,FedAvg,5,client_5,1.0465706586837769,1.875869870185852,1.3696239886136092,12.50883936882019,0.8948413133621216
gc,FedAvg,6,client_6,0.7255567908287048,1.0041348934173584,1.0020653139478275,10.892929881811142,0.9095556735992432
gc,FedAvg,7,client_7,0.7442722916603088,0.9922969937324524,0.9961410511230084,10.807042568922045,0.9083289504051208
gc,FedAvg,8,client_8,0.8858327269554138,1.5177950859069824,1.2319882653284415,9.459295868873596,0.914619207382202
gc,FedAvg,9,client_9,1.3374196290969849,2.9028890132904053,1.7037866689496093,14.767955243587494,0.7165437936782837
gc,Local,1,client_1,0.959130048751831,1.7227141857147217,1.3125220705628995,11.5737184882164,0.8974618911743164
gc,Local,2,client_2,0.9793297648429872,1.7653948068618774,1.3286816047728958,10.758648067712784,0.8965003490447998
gc,Local,3,client_3,0.9416025280952454,1.5341482162475586,1.2386073696888609,11.315226554870604,0.8607036471366882
gc,Local,4,client_4,1.126594066619873,2.3062527179718018,1.5186351497222108,10.121337324380876,0.8897686004638672
gc,Local,5,client_5,0.90977680683136,1.561572790145874,1.2496290610200589,10.154899954795836,0.9124603867530824
gc,Local,6,client_6,0.8130807876586914,1.1276357173919678,1.061901933980708,13.6984184384346,0.8984317183494568
gc,Local,7,client_7,0.7601599097251892,1.0737394094467163,1.0362139786003255,10.565315932035446,0.900805115699768
gc,Local,8,client_8,0.9163364171981812,1.5090259313583374,1.228424165896429,10.221216082572935,0.9151124954223632
gc,Local,9,client_9,1.1084153652191162,2.058231830596924,1.4346539062076693,12.371956557035446,0.7990213632583618
gg,FedAvg,1,client_1,0.2877006828784942,0.4318419396877289,0.6571468174523323,64553231.25,0.9776567220687866
gg,FedAvg,2,client_2,0.2786847651004791,0.4052658379077911,0.6366049307912963,60835731.25,0.978827714920044
gg,FedAvg,3,client_3,0.3044971525669098,0.5168151259422302,0.7188985505217201,62738762.5,0.9714624285697936
gg,FedAvg,4,client_4,0.3205519914627075,0.5785160064697266,0.7606023970970158,84106937.5,0.9681382179260254
gg,FedAvg,5,client_5,0.4667709171772003,1.1690555810928345,1.0812287367124658,104080362.5,0.972709894180298
gg,FedAvg,6,client_6,0.2567403316497803,0.3621142208576202,0.6017592715177891,66274156.25,0.9736939072608948
gg,FedAvg,7,client_7,0.2138882279396057,0.2472960799932479,0.4972887290028279,59355843.75,0.9738261699676514
gg,FedAvg,8,client_8,0.272847056388855,0.4093279838562011,0.6397874520934286,71993387.5,0.9705819487571716
gg,FedAvg,9,client_9,0.3093269765377044,0.4970450103282928,0.705014191579356,65502018.75,0.9768090844154358
gg,Local,1,client_1,0.3083387613296509,0.4550516009330749,0.6745751262335982,116706350.0,0.9764558672904968
gg,Local,2,client_2,0.2990748286247253,0.4293980896472931,0.6552847393670121,197033487.5,0.9775669574737548
gg,Local,3,client_3,0.3471982479095459,0.5713825821876526,0.7558985263827762,144009312.5,0.9684492945671082
gg,Local,4,client_4,0.3768454790115356,0.6369991898536682,0.7981222900368515,298797075.0,0.964917242527008
gg,Local,5,client_5,0.5295476317405701,1.338853359222412,1.1570883109004308,191986812.5,0.9687461853027344
gg,Local,6,client_6,0.2774766385555267,0.3763908743858337,0.6135070287990463,132692037.5,0.972656786441803
gg,Local,7,client_7,0.2500604093074798,0.2496667355298996,0.4996666243906026,334166525.0,0.9735752940177916
gg,Local,8,client_8,0.311201274394989,0.4208554029464721,0.6487336918539627,299819375.0,0.9697535037994384
gg,Local,9,client_9,0.3354431688785553,0.5244438052177429,0.7241849247379725,146357150.0,0.975530743598938
net_load,FedAvg,1,client_1,1.15117347240448,2.251604557037353,1.500534757024093,71.03695273399353,0.9473276734352112
net_load,FedAvg,2,client_2,1.0920960903167725,2.2269186973571777,1.4922863992401652,63.18008899688721,0.9464703798294068
net_load,FedAvg,3,client_3,1.098016619682312,2.24072265625,1.496904357749686,70.72691321372986,0.92520409822464
net_load,FedAvg,4,client_4,1.236221432685852,2.814629316329956,1.6776857024871958,53.40535044670105,0.9277556538581848
net_load,FedAvg,5,client_5,1.2744427919387815,3.052086114883423,1.7470220705198385,177.27175951004028,0.9577592611312866
net_load,FedAvg,6,client_6,0.8529307246208191,1.4066941738128662,1.186041387900467,59.89607572555542,0.9501951336860656
net_load,FedAvg,7,client_7,0.8257335424423218,1.253404140472412,1.1195553315814328,1229904.00390625,0.947306990623474
net_load,FedAvg,8,client_8,1.0093169212341309,1.9888087511062624,1.410251307783922,3546752.734375,0.9454711079597472
net_load,FedAvg,9,client_9,1.420181393623352,3.314265251159668,1.8205123595185144,56.351637840271,0.9186795949935912
net_load,Local,1,client_1,1.0867022275924685,2.239687919616699,1.496558692339428,64.29020166397095,0.9476064443588256
net_load,Local,2,client_2,1.0982545614242554,2.272087574005127,1.507344543893375,66.63344502449036,0.9453846216201782
net_load,Local,3,client_3,1.0960253477096558,2.207974910736084,1.485925607403037,65.08316397666931,0.9262972474098206
net_load,Local,4,client_4,1.274619698524475,3.0481135845184326,1.7458847569408562,50.60025453567505,0.9217627048492432
net_load,Local,5,client_5,1.1973061561584473,2.9726316928863525,1.7241321564446133,153.8541555404663,0.9588589072227478
net_load,Local,6,client_6,0.941538155078888,1.5480105876922607,1.2441907360578843,57.83653259277344,0.9451917409896852
net_load,Local,7,client_7,0.8515596985816956,1.365265727043152,1.1684458596970386,1639437.6953125,0.94260436296463
net_load,Local,8,client_8,1.0438451766967771,1.9887868165969849,1.41024353095378,4965815.234375,0.9454717636108398
net_load,Local,9,client_9,1.2235078811645508,2.5544395446777344,1.5982614131229391,51.88246369361877,0.9373230934143066
