round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.0024287724605125335,0.0026729682546472204,0.0024287724605125335,0.0,0.0,0.0024287724605125335,0.0,0.0,0.4282999634742737,0.20113314447592062,71.0,353.0,2.0148342729145144e-05,0.002565070799198411,2.9275035858154297,25.024869918823242,5.002486373676918,309428650.0,0.9888522028923035,0.5044671992460886,1.0041346185737186,0.9746646055329149,0.9669939941830106,5211
2,9,0.0023568282717925577,0.0025891520736786742,0.0023568282717925577,4.503364916545057e-05,0.00045033649165450565,0.002807164762497686,0.19269148151874174,0.191077346132186,0.42893680930137634,0.20113314447592062,71.0,353.0,0.00010482408187171031,0.0024757874056794155,2.9487085342407227,24.059083938598633,4.905006008008414,370119550.0,0.9892824292182922,0.5110201007790036,0.9683602650960287,0.9572860327188215,0.9681536687744988,5211
3,9,0.002264325781657161,0.0024673381710049345,0.002264325781657161,2.159488345545737e-05,0.0002159488345545737,0.0024802746149037366,0.09612851486334575,0.09537003738974352,0.4307033121585846,0.20113314447592062,71.0,353.0,3.638339937121297e-05,0.00244343694122976,2.99351167678833,24.086214065551758,4.907770783721644,378380625.0,0.9892703890800476,0.5070391628477309,0.9555299911234114,0.9507602151600003,0.9685661925209893,5211
4,9,0.0022336387119371746,0.0024831235290622613,0.0022336387119371746,1.4436808612104474e-05,0.00014436808612104473,0.0023780067971910725,0.06516027303538717,0.06463358880953697,0.43154147267341614,0.20113314447592062,71.0,353.0,2.145713006029837e-05,0.002382781954676399,2.632882595062256,22.80759048461914,4.775729314420902,158664937.5,0.9898399710655212,0.47003062897258335,0.9327737026744418,0.9390907167623721,0.9693447417683072,5211
5,9,0.002200486457728132,0.0024957515052569084,0.002200486457728132,1.1052563702944346e-05,0.00011052563702944345,0.002311012093235078,0.05027740320115016,0.05022781966735056,0.43117350339889526,0.20113314447592062,71.0,353.0,1.4602784984971448e-05,0.002361130621878995,2.523033380508423,22.33067512512207,4.725534374557238,125549537.5,0.9900524020195007,0.4595652487542894,0.9253375596470303,0.9349547760848874,0.9696255524953207,5211
6,9,0.002188272567972441,0.0025417508325387634,0.002188272567972441,9.00951668384676e-06,9.009516683846759e-05,0.0022783677332337206,0.04156940932264336,0.0411718211505864,0.43252673745155334,0.20113314447592062,71.0,353.0,1.0061048720268041e-05,0.0023885625578466078,2.790717124938965,23.629547119140625,4.861023258444731,193127575.0,0.989473819732666,0.48157306512196857,0.936850561036004,0.9402635736821422,0.9692487054400973,5211
7,9,0.0021899348514759337,0.0024351856396316704,0.0021899348514759337,7.968563335728912e-06,7.968563335728912e-05,0.0022696204846064673,0.03662820567348203,0.036387216390111686,0.4312085509300232,0.20113314447592062,71.0,353.0,8.069979786442775e-06,0.0023514024651038325,2.5830800533294678,22.558643341064453,4.749594018551949,139543925.0,0.9899508357048035,0.46234239141146344,0.9252900116973453,0.9338016400731066,0.9697529408666823,5211
8,9,0.002165956503019973,0.0025082406365642494,0.002165956503019973,7.369424249034246e-06,7.369424249034247e-05,0.0022396507462548575,0.03431222852071105,0.03402387922082802,0.4317975640296936,0.20113314447592062,71.0,353.0,7.584476659556256e-06,0.0023785596730737466,2.699150562286377,22.58348846435547,4.752208798480499,215772050.0,0.98993980884552,0.4800196687380473,0.9324080016877916,0.9391606753288977,0.9694283604621887,5211
9,9,0.002156334510036498,0.0024331452026256878,0.002156334510036498,6.515759035170122e-06,6.515759035170121e-05,0.0022214921001516928,0.03034743738039772,0.03021682861272833,0.431465744972229,0.20113314447592062,71.0,353.0,7.422494895258245e-06,0.00233116738290039,2.5217225551605225,22.036184310913086,4.694271435581148,118530862.5,0.9901835918426514,0.45767465233802795,0.9134896397590637,0.9289851338968244,0.9700046247906156,5211
10,9,0.0021431693036253006,0.002390043753095551,0.0021431693036253006,6.2122591443699415e-06,6.212259144369942e-05,0.0022052918963616198,0.029158896340860614,0.028986320077293463,0.431131511926651,0.20113314447592062,71.0,353.0,5.273279334182411e-06,0.002315615302438,2.4586822986602783,21.59017562866211,4.646522961168072,88151506.25,0.9903822541236877,0.45604779654079014,0.9074173602792952,0.9258462289024902,0.9702047308286031,5211
